,epochs,epochs,hidden_neurons,hidden_neurons,hidden_layers,hidden_layers,regularization,regularization,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
random_state_trainsplit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8558346272472805,0.025878691295937287,95.30225647879995,17.10742065261005,6.573268934442624,0.6431877317161868,9.727985970211927,0.8956866252165483,0.9601666666666667,0.008084965470963159,0.7643890968842083,0.020004801822534314,154.86868687103672,13.149295505431803,7.873516200847772,0.2691928963020079,12.435220372485375,0.5298843180484764,0.9328333333333334,0.004622409184252971
18,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8553824250090137,0.014410947441711728,94.66047476030677,9.432789387204718,6.483108825249174,0.3777210582605056,9.71882678654849,0.49583947407320667,0.96,0.005513619500836085,0.7756249114370178,0.02492148206430939,153.26328212762465,17.023049043114437,7.981487470480815,0.476647688298708,12.364345376399191,0.680804413094394,0.9368333333333334,0.005036533199202201
20,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8525593224710223,0.021689760896068822,98.25414856251649,14.454009741978831,6.646572785673773,0.5972099823797224,9.88958762560109,0.7350144146131559,0.9591666666666666,0.00604703784233787,0.7788702259262826,0.01761720597815697,140.54049556107404,11.196732185627377,7.766690827369806,0.3043823431319936,11.847075816089449,0.47407615704976824,0.9369999999999999,0.006870225614927032
22,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8598978641101231,0.021436246727987433,92.10737923389856,14.092836588002513,6.471364608056479,0.5042026277945993,9.57317232387846,0.7443796541223084,0.9613333333333333,0.006250333324444932,0.7660614514948012,0.010508524532863462,157.1618585650766,7.059714001452082,8.005011921786673,0.25604276561009914,12.53381698722446,0.2799077616076833,0.9338333333333334,0.0034880749227426885
24,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.851927929982379,0.02247406469585033,98.74019361213247,14.986577138117777,6.533988917891186,0.5349438049005117,9.911576156750186,0.7752561133511964,0.9578333333333333,0.007494442385305706,0.7782745955069812,0.019294422556632603,140.60534293992646,12.235399487065072,7.742976239692773,0.30801309215259504,11.848363573655378,0.515701735195233,0.9358333333333334,0.0047504385762439155
26,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8509337704384446,0.018125785905633712,97.7586656471247,11.88701592005118,6.573039596291881,0.45589127951655584,9.871739473674365,0.6073800237321882,0.9583333333333334,0.005537749241945376,0.7818696139092834,0.018696672082980103,147.9656051040858,12.682618170584899,7.942127401604982,0.2408232995024039,12.154860641439635,0.5195781649770336,0.9378333333333333,0.00591326193117353
28,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8575531421146757,0.021633973426965006,91.94278426926353,13.963717987263152,6.350850170999867,0.5063731719366588,9.565511879576054,0.7297397489129259,0.9605,0.00723187389270581,0.7767199577332429,0.01501703899506632,160.67134721885807,10.806195941564756,8.019451632843245,0.21736636069949894,12.66964994229082,0.42612330422306016,0.9343333333333333,0.0038297084310253476
30,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8444551215743722,0.01722328364539155,100.78446814487705,11.159734087542585,6.707083657116235,0.3557917362988171,10.026143817857625,0.5595444095108769,0.9568333333333333,0.006615638039272315,0.7747046558643745,0.019145344480304437,159.86206008298194,13.58489773218462,7.993448460104826,0.31858244950439085,12.634257436635211,0.5339652885457473,0.935,0.006033241251599283
32,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8502308045838626,0.025675913095097307,97.1178061046138,16.64954093263355,6.586129887191301,0.6091152752779443,9.822515445383727,0.8736107346949787,0.9581666666666665,0.009108603991099124,0.7742375394012097,0.009128782806117359,159.73950442383602,6.459121846804673,8.093865592604962,0.19614569680526883,12.636696733003367,0.25314051893313383,0.9346666666666668,0.0032041639575194313
34,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8497777472332109,0.015937469815573715,99.33500918430217,10.538709687454189,6.612048945222054,0.29724708923332016,9.955207436567738,0.5240466535054648,0.9574999999999999,0.005924525297439462,0.7709183841315409,0.012624223697813316,150.37985468132865,8.287129100014049,7.96552163301083,0.2412888375911332,12.259035197583785,0.3392533667875413,0.9335,0.004370354676682442
36,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8582352207813915,0.023049701250091377,95.41121370473239,15.513020821705156,6.5161719310210735,0.5583158480366991,9.740985856082524,0.7932779510355338,0.961,0.00695701085237045,0.7621859512911683,0.011948354223768698,144.8593936763316,7.278087050291604,7.883405731663244,0.16984794655007393,12.032606589768909,0.3015407080606064,0.9329999999999999,0.0033466401061363242
38,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8533411191711678,0.020339056618312992,97.36791987530937,13.50325069957816,6.565378240129149,0.433982411495255,9.84772747651907,0.684266109218377,0.9578333333333332,0.007332575718440735,0.7609990347906245,0.013100087841106663,154.32445444237925,8.458810647291585,7.73885193564838,0.1845227643164154,12.418890868418822,0.3387105679181075,0.927,0.004647580015448892
40,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8519350171096303,0.016383855560835176,97.38253258607911,10.775683195938276,6.625607012311359,0.4269047254810009,9.855664862777497,0.545969997738485,0.9593333333333334,0.005202563470700418,0.7788742206497273,0.01600848315567402,148.26682234044594,10.733831826195964,7.9046316331232385,0.2804994789556193,12.169830572140226,0.4409710001989004,0.9385,0.004324349662087868
42,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8546183468306842,0.028973031861288592,96.97990236132601,19.327072844239645,6.578143010222831,0.763736535471342,9.806495333258768,0.987452261185317,0.96,0.007509993342207432,0.7727630317046335,0.012138735647037784,143.90480082753302,7.687227781152661,7.9536446226866095,0.1932990187062051,11.992394617628259,0.32361488707489183,0.9346666666666668,0.004589843860815558
44,150.0,54.772255750516614,91.66666666666667,12.909944487358057,5.5,2.588435821108957,0.34166666666666673,0.4212085785767743,0.8514442731867091,0.021203245758256443,96.99943414937809,13.844655368055912,6.524437574662351,0.5313205392042339,9.82784058995559,0.7039745630058716,0.9584999999999999,0.006090976933136387,0.7733752771707882,0.012408544929785844,156.31561577402508,8.558860292664907,7.8204262335786865,0.1914709963364032,12.498749102742998,0.3409750267210201,0.9333333333333335,0.0042268979957725845
