,6c_model,6b_model,epochs,hidden_neurons,hidden_layers,activation,regularization,random_state_trainsplit,random_WeightInit,acc_train,mse_train,mae_train,rmse_train,ia_train,acc_test,mse_test,mae_test,rmse_test,ia_test
model17,model59,model1254,200,100,10,relu,1.0,16,32,0.8478049331311883,100.61038251133009,6.554983276120696,10.030472696305498,0.954,0.7439107690212916,168.32923433935937,8.047485973785669,12.974175670899458,0.919
model18,model59,model1254,200,100,10,relu,1.0,16,34,0.875985269353706,81.98143175112384,5.9920247035455,9.05435982006038,0.966,0.7645537287861377,154.76047317578025,7.86258679100228,12.440276249978545,0.932
model19,model59,model1254,200,100,10,relu,1.0,16,36,0.8543647726749305,96.27392155180543,6.494587458687274,9.811927514602084,0.957,0.7439242958628064,168.32034305226185,8.31409201206075,12.973833013117668,0.921
model20,model59,model1254,200,100,10,relu,1.0,16,38,0.8810983368317158,78.60137689552046,5.805190357692956,8.865741756645095,0.968,0.7462929923411523,166.76338236688477,8.133302527515568,12.91368972706425,0.928
model21,model59,model1254,200,100,10,relu,1.0,16,40,0.8824934405505476,77.67912677478797,5.882281359226461,8.813576276108806,0.968,0.7476610811164881,165.86412809062944,8.070757395281616,12.878824794624292,0.926
model22,model59,model1254,200,100,10,relu,1.0,16,42,0.8821818694179485,77.88509462562051,5.874395743223643,8.825253232945812,0.97,0.7337161520727604,175.03022703151981,8.476326667425221,13.229898980397387,0.928
model23,model59,model1254,200,100,10,relu,1.0,16,44,0.8745552838261402,82.92674091175564,6.186631953568371,9.10641207675974,0.967,0.7666533539437802,153.380374942696,8.142398329315608,12.384683078007932,0.936
model24,model59,model1254,200,100,10,relu,1.0,16,46,0.876027130734925,81.95375878074742,6.011755942283899,9.052831533876427,0.966,0.7391037246026015,171.48893810097778,8.159195228788512,13.09537850163094,0.923
model25,model59,model1254,200,100,10,relu,1.0,16,48,0.8703574231591518,85.70178727905369,6.113456164045896,9.257525980468738,0.964,0.750294399579907,164.13322953224431,7.9894866160011535,12.811449158164907,0.926
model26,model59,model1254,200,100,10,relu,1.0,16,50,0.8568691025449118,94.61840412054364,6.553824442066517,9.727199191984486,0.964,0.6963640350041913,199.58203361501927,8.544028171118725,14.127350551855761,0.919
model27,model59,model1254,200,100,10,relu,1.0,16,52,0.8785625068648371,80.27771784533113,5.977141233618539,8.959783359285598,0.968,0.7376365026776752,172.45335328659453,8.339355630075948,13.132149606465598,0.926
model28,model59,model1254,200,100,10,relu,1.0,16,54,0.8706833172621101,85.48635105611035,6.12379212595379,9.245882924637883,0.963,0.771666632234635,150.08511222116482,7.801661945936267,12.250922913036586,0.932
model29,model59,model1254,200,100,10,relu,1.0,16,56,0.8165447946027409,121.27527368953936,7.502836529767248,11.012505332100382,0.953,0.7334891583359993,175.1794315949558,8.665075848852455,13.235536694632213,0.93
model30,model59,model1254,200,100,10,relu,1.0,16,58,0.862862683191646,90.6562754268441,6.387725071247148,9.52135890652401,0.963,0.7536559953518678,161.92362922890456,8.066236245486634,12.724921580461883,0.93
model31,model59,model1254,200,100,10,relu,1.0,16,60,0.8758228860062859,82.0887772192361,6.148876138070992,9.060285713995786,0.967,0.7551816125249664,160.92083044013393,8.203626935451775,12.68545743913612,0.932
model32,model59,model1254,200,100,10,relu,1.0,16,62,0.8739056608863566,83.35618198237924,6.234228876131706,9.129960678030287,0.966,0.7546100719898314,161.2965080127733,8.164226428301848,12.700256218390765,0.93
model33,model59,model1254,200,100,10,relu,1.0,16,64,0.8561437496116916,95.09790741567942,6.470233383723315,9.751815595861082,0.958,0.7456636034692046,167.17708405403414,8.062695979242996,12.929697755710848,0.922
model34,model59,model1254,200,100,10,relu,1.0,16,66,0.8817464288044254,78.17294788912537,5.876559951349058,8.841546690999566,0.969,0.7363390068081443,173.30620635441747,8.345598331832297,13.164581510796971,0.927
model35,model59,model1254,200,100,10,relu,1.0,16,68,0.8819399073573612,78.04504656079006,5.767609917412876,8.834310757540175,0.966,0.7510402265161626,163.64299229481813,8.013759718919577,12.792302071746827,0.925
model36,model59,model1254,200,100,10,relu,1.0,16,70,0.8666154273891369,88.17547866421198,6.295413089289165,9.390179905849088,0.964,0.754194379591602,161.56974552005641,8.21223436197535,12.711008831719708,0.932
model37,model59,model1254,200,100,10,relu,1.0,16,72,0.8680087799466398,87.25438616977296,6.161482758737231,9.341005629469075,0.962,0.7374756993945819,172.55905040403636,7.993639671494887,13.136173354673588,0.921
model38,model59,model1254,200,100,10,relu,1.0,16,74,0.853372019266831,96.93019315234558,6.736020223423984,9.845313258213046,0.962,0.7573808397227388,159.47526309267246,8.211342229334837,12.628351558801032,0.934
model39,model59,model1254,200,100,10,relu,1.0,16,76,0.8785329738026751,80.29724103187043,5.926611896898564,8.960872782930824,0.966,0.7485885728570534,165.25448131263425,7.966589475864367,12.855134433860824,0.926
model40,model59,model1254,200,100,10,relu,1.0,16,78,0.8541800322578803,96.39604643014162,6.569938288239929,9.818148829088996,0.964,0.7311413590731133,176.72265639513088,8.540335299185202,13.293707398432195,0.931
model41,model59,model1254,200,100,10,relu,1.0,16,80,0.8417660165660797,104.60248106005179,6.998703866523542,10.227535434309274,0.96,0.7428237540178979,169.0437368685652,8.468061958635792,13.001682078429898,0.933
model42,model59,model1254,200,100,10,relu,1.0,16,82,0.8526210286964413,97.42664451639965,6.503982311629416,9.870493630837297,0.957,0.7366787546818591,173.08288771180113,7.917884732100253,13.156096978655984,0.92
model43,model59,model1254,200,100,10,relu,1.0,16,84,0.8528043914886718,97.30543033354735,6.676329600714891,9.864351490774615,0.961,0.7613766281800134,156.84880352221512,8.087002509526265,12.523929236554123,0.934
model44,model59,model1254,200,100,10,relu,1.0,16,86,0.8824914813107357,77.68042195386943,5.893379636385254,8.813649752166773,0.97,0.7323009506054715,175.9604488081805,8.359219732348777,13.2650084360388,0.928
model45,model59,model1254,200,100,10,relu,1.0,16,88,0.8671003587451043,87.85490894917865,6.204678016631479,9.373094950398116,0.965,0.7466759606957838,166.51165460127373,8.106973168891638,12.903939499287562,0.93
model46,model59,model1254,200,100,10,relu,1.0,16,90,0.8517612236772654,97.99502898275702,6.442063737439604,9.89924385914182,0.956,0.720378171789104,183.7973743270186,8.252850840305896,13.557189027487173,0.912
model47,model59,model1254,200,100,10,relu,1.0,16,92,0.8645972510951728,89.50961841715188,6.263136257907074,9.460952299697524,0.963,0.759111601134055,158.33762156796826,7.97484514049876,12.58322778813005,0.93
model48,model59,model1254,200,100,10,relu,1.0,16,94,0.8811897191851861,78.54096748983743,5.959215969575598,8.862334200978736,0.969,0.7566661452436416,159.9450367492734,8.153256194088852,12.646937840808478,0.933
model49,model59,model1254,200,100,10,relu,1.0,16,96,0.8492028065662258,99.68630143633196,6.78746980984146,9.984302751636289,0.959,0.7687209318780224,152.021341572656,8.196282185093184,12.329693490620762,0.935
model50,model59,model1254,200,100,10,relu,1.0,16,98,0.878671170689047,80.20588431521854,5.933898943163928,8.955773797680385,0.967,0.7384514988171418,171.91765065036242,8.160177679614574,13.111737133208644,0.926
model51,model255,model788,100,100,3,relu,0.1,8,0,0.8398901555905467,105.86795821874793,6.942801374975521,10.289215626992561,0.955,0.7956787944698669,134.16190082291294,7.676816601897776,11.582827842237531,0.942
model52,model255,model788,100,100,3,relu,0.1,8,2,0.8372628958116127,107.60515701206305,7.017801977646934,10.373290558548096,0.955,0.7983634284124372,132.39910977137015,7.719094194135888,11.50648120718798,0.944
model53,model255,model788,100,100,3,relu,0.1,8,4,0.8124116992996417,124.03728486603214,7.656962323168973,11.137202739738203,0.951,0.7779035033897572,145.8335568940512,8.159755368075833,12.076156544780762,0.941
model54,model255,model788,100,100,3,relu,0.1,8,6,0.8338219698259314,109.8803688194915,7.064002674541695,10.482383737465991,0.952,0.7980439509303792,132.60888587440272,7.619309766773224,11.51559316207388,0.942
model55,model255,model788,100,100,3,relu,0.1,8,8,0.8423501280123431,104.24137330430631,6.828635698048455,10.209866468485584,0.955,0.7977032185626161,132.83261841362884,7.4801693382186905,11.525303397899286,0.942
model56,model255,model788,100,100,3,relu,0.1,8,10,0.8295840879121743,112.68254445732589,7.25935154807942,10.615203458122028,0.953,0.7987006375483234,132.17769066546794,7.761939602926241,11.496855686032939,0.945
model57,model255,model788,100,100,3,relu,0.1,8,12,0.8271184416722834,114.31288101826478,7.146450996694655,10.69172020856629,0.953,0.7906006044493903,137.49635465074437,7.7665918618188154,11.725883960313796,0.944
model58,model255,model788,100,100,3,relu,0.1,8,14,0.8365377017666648,108.08467039323091,6.993978926179561,10.396377753488515,0.953,0.805510905981753,127.70591517954833,7.493381352799953,11.300704189542717,0.944
