,epochs,epochs,hidden_neurons,hidden_neurons,hidden_layers,hidden_layers,regularization,regularization,random_state_trainsplit,random_state_trainsplit,acc_train,acc_train,mse_train,mse_train,mae_train,mae_train,rmse_train,rmse_train,ia_train,ia_train,acc_test,acc_test,mse_test,mse_test,mae_test,mae_test,rmse_test,rmse_test,ia_test,ia_test
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
random_WeightInit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8551803660879109,0.025291285067665353,95.68476665579908,16.54943538618833,6.510585550443359,0.6017119438458025,9.7520784853997,0.8807056794816122,0.9584999999999999,0.008504900548115346,0.7803215411365422,0.030912976150249523,144.5355173119084,20.57338314591665,7.733008009129146,0.3047973639939035,12.000692283352475,0.8317868574683092,0.9355,0.009255628917943166
18,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8359966643989857,0.011008551323808465,108.40693630005339,7.795389812139759,6.848307807255889,0.2630717391656234,10.406809330012056,0.374621353417795,0.9522499999999999,0.003947573094108997,0.7796410046155062,0.02607607923629162,144.9072721699442,16.69349017184755,7.683463754207216,0.18183522410668262,12.023499477211912,0.6760004846438833,0.93325,0.01147097787171312
20,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8255187288800476,0.02293531874564837,115.31666490929767,15.307658096894167,7.103815641266386,0.5308332390341265,10.720149074740146,0.7257811650405235,0.9517500000000001,0.00826135582092921,0.7813830642566504,0.01943842363861315,143.83029522983026,13.122293433572601,7.8154009965305615,0.24701048061563316,11.983720775999414,0.5425023412671564,0.9387500000000001,0.006238322424070915
22,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8426270303567837,0.01796312593471994,103.99328112213288,11.800747030700302,6.922775857333763,0.4248801532134729,10.184890725835185,0.5902338801179612,0.958,0.005477225575051712,0.7755159200950728,0.02787466491433648,147.5384720573633,17.02673089977867,7.959327139167824,0.33111709061512473,12.131972984898747,0.6867348358236238,0.9385,0.006952217871538012
24,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8366345884037233,0.017734677605707346,107.95985886365486,11.736459535962375,6.887673869804747,0.4047826858727933,10.378164367762862,0.5814501633584016,0.95275,0.0057373048260195335,0.7866480231980082,0.02014500764360578,140.24673304207616,11.884104800762218,7.685993749540083,0.18731487956448278,11.834816694843326,0.4951051626120762,0.93675,0.007365459931328068
26,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8421674193847882,0.012835716573607981,104.29675129833751,8.381935780192185,6.858317908226487,0.2954831572073311,10.206143087832693,0.4185603405681987,0.958,0.005477225575051635,0.7777104311528389,0.037948905772838055,146.1546730794026,24.50672396843666,7.852176248667435,0.4389768135924625,12.059777903533233,0.977363799107408,0.93925,0.008261355820929064
28,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.840468141024661,0.026359153258550393,105.41568014510011,17.331762782695375,6.811967357184581,0.5671524533631553,10.238698549583523,0.8829738809699542,0.95425,0.008421203397773188,0.7837953575629765,0.024080191778890175,142.17630763952565,15.343695881760201,7.738721356598123,0.26920616288930893,11.911284373308165,0.6299335602112892,0.93725,0.008421203397773143
30,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8322517915540693,0.015267204816518618,110.82895538980955,9.648965600296775,7.051449056733041,0.224545728994153,10.520038953306898,0.45860049529714214,0.9532499999999999,0.006344288770224731,0.7811811944590665,0.02954378190229447,143.89787184929588,19.05574139624482,7.8171105893282995,0.47422316611573384,11.9771288786312,0.7713673348493324,0.93825,0.005678908345800193
32,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8376743790112096,0.009986880018582965,107.28935215651121,7.0032071946389785,6.915119456952839,0.2585823131788938,10.353989481853157,0.3351695415465808,0.9524999999999999,0.0034156502553198843,0.7812035759680236,0.02620100043255254,143.85052070886724,16.464108874201116,7.748098657883074,0.20037164400502908,11.979746606102458,0.6695191930969251,0.9345,0.011150485789118444
34,125.0,50.00000000000001,87.5,14.433756729740647,5.75,2.9860788111948193,0.32500000000000007,0.45000000000000007,35.0,40.97153483415854,0.8425328089708484,0.02279664828110815,104.06793998341443,15.139040059402799,6.7464726862717725,0.5178858680814918,10.179635547028576,0.7685138151754389,0.956,0.007164728420068261,0.7892100819625143,0.016571075765792767,138.66696459421493,11.040126758046787,7.636603916763435,0.16286334882856746,11.768909467014524,0.4614969142992555,0.94,0.005416025603090557
