,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model432,100,5,2,relu,0.05,0.779,147.306,7.868,12.137,12.025,0.932,0.76,153.803,8.024,12.402,12.262,0.927
model433,100,5,2,relu,0.01,0.77,153.338,8.363,12.383,12.264,0.934,0.752,158.929,8.447,12.607,12.514,0.929
model434,100,5,2,relu,0.005,0.787,141.549,7.867,11.897,11.897,0.938,0.774,144.825,7.943,12.034,12.032,0.934
model435,100,5,3,relu,1,0.779,147.131,8.104,12.13,12.129,0.934,0.758,155.061,8.22,12.452,12.447,0.928
model436,100,5,3,relu,0.75,0.778,147.998,8.042,12.165,12.157,0.933,0.763,151.692,8.127,12.316,12.299,0.929
model437,100,5,3,relu,0.5,0.782,145.098,7.988,12.046,12.042,0.936,0.771,146.539,8.0,12.105,12.105,0.934
model438,100,5,3,relu,0.1,0.78,146.608,7.847,12.108,12.005,0.932,0.765,150.204,7.882,12.256,12.121,0.928
model439,100,5,3,relu,0.05,0.746,168.798,8.442,12.992,12.973,0.921,0.739,166.855,8.401,12.917,12.879,0.919
model440,100,5,3,relu,0.01,0.768,154.391,8.461,12.425,12.22,0.935,0.752,158.638,8.552,12.595,12.426,0.932
model441,100,5,3,relu,0.005,0.779,147.301,8.247,12.137,11.955,0.939,0.759,154.315,8.37,12.422,12.27,0.934
model442,100,5,4,relu,1,0.783,144.404,8.0,12.017,11.989,0.937,0.768,148.45,8.079,12.184,12.169,0.934
model443,100,5,4,relu,0.75,0.779,146.897,8.12,12.12,12.105,0.936,0.757,155.51,8.28,12.47,12.46,0.931
model444,100,5,4,relu,0.5,0.764,157.229,8.139,12.539,12.519,0.928,0.754,157.823,8.116,12.563,12.527,0.925
model445,100,5,4,relu,0.1,0.785,143.309,7.849,11.971,11.971,0.937,0.77,147.366,7.923,12.139,12.138,0.934
model446,100,5,4,relu,0.05,0.776,149.252,8.088,12.217,12.209,0.933,0.757,155.848,8.179,12.484,12.468,0.928
model447,100,5,4,relu,0.01,0.782,144.898,8.032,12.037,12.035,0.936,0.767,149.348,8.148,12.221,12.221,0.932
model448,100,5,4,relu,0.005,0.785,143.15,7.938,11.965,11.961,0.937,0.772,146.229,7.98,12.093,12.092,0.934
model449,100,5,5,relu,1,0.771,152.322,8.292,12.342,12.301,0.936,0.761,153.284,8.349,12.381,12.357,0.934
model450,100,5,5,relu,0.75,0.782,145.066,8.129,12.044,11.988,0.938,0.764,151.224,8.221,12.297,12.259,0.933
model451,100,5,5,relu,0.5,0.784,143.492,7.958,11.979,11.96,0.938,0.766,149.779,8.111,12.238,12.232,0.933
model452,100,5,5,relu,0.1,0.774,150.326,7.962,12.261,12.253,0.932,0.761,153.289,7.983,12.381,12.358,0.929
model453,100,5,5,relu,0.05,0.755,163.022,8.745,12.768,12.716,0.929,0.744,163.947,8.754,12.804,12.775,0.926
model454,100,5,5,relu,0.01,0.78,146.146,8.034,12.089,12.083,0.937,0.76,153.652,8.145,12.396,12.395,0.932
model455,100,5,5,relu,0.005,0.77,152.83,8.317,12.362,12.361,0.932,0.748,161.405,8.398,12.705,12.703,0.926
model456,100,5,6,relu,1,-0.019,677.929,17.394,26.037,25.794,0.159,-0.02,653.079,17.127,25.555,25.304,0.163
model457,100,5,6,relu,0.75,0.761,158.956,8.28,12.608,12.599,0.928,0.746,162.533,8.306,12.749,12.72,0.923
model458,100,5,6,relu,0.5,0.78,146.426,7.934,12.101,12.07,0.934,0.759,154.07,8.088,12.413,12.368,0.928
model459,100,5,6,relu,0.1,0.772,151.84,8.078,12.322,12.271,0.93,0.752,158.972,8.114,12.608,12.536,0.924
model460,100,5,6,relu,0.05,0.778,147.383,7.863,12.14,12.009,0.932,0.755,156.993,8.029,12.53,12.375,0.925
model461,100,5,6,relu,0.01,-0.018,677.5,17.401,26.029,25.794,0.157,-0.019,652.647,17.135,25.547,25.304,0.161
model462,100,5,6,relu,0.005,0.771,152.234,8.056,12.338,12.325,0.931,0.751,159.344,8.125,12.623,12.599,0.926
model463,100,5,7,relu,1,0.781,145.522,8.012,12.063,12.039,0.937,0.765,150.435,8.113,12.265,12.255,0.933
model464,100,5,7,relu,0.75,0.779,146.797,8.162,12.116,12.013,0.938,0.754,157.455,8.298,12.548,12.477,0.931
model465,100,5,7,relu,0.5,0.785,143.368,7.837,11.974,11.96,0.936,0.768,148.824,7.947,12.199,12.167,0.931
model466,100,5,7,relu,0.1,-0.018,677.416,17.403,26.027,25.794,0.156,-0.019,652.562,17.136,25.545,25.304,0.16
model467,100,5,7,relu,0.05,0.791,139.291,7.762,11.802,11.789,0.938,0.774,144.817,7.843,12.034,12.011,0.934
model468,100,5,7,relu,0.01,0.771,152.429,7.947,12.346,12.096,0.928,0.752,158.504,8.082,12.59,12.298,0.923
model469,100,5,7,relu,0.005,0.768,154.653,8.36,12.436,12.411,0.932,0.753,158.085,8.453,12.573,12.562,0.928
model470,100,5,8,relu,1,0.765,156.605,8.339,12.514,12.478,0.932,0.749,160.757,8.415,12.679,12.66,0.928
model471,100,5,8,relu,0.75,0.749,167.242,8.314,12.932,12.857,0.921,0.735,169.358,8.332,13.014,12.917,0.918
model472,100,5,8,relu,0.5,-0.018,677.45,17.402,26.028,25.794,0.157,-0.019,652.597,17.135,25.546,25.304,0.161
model473,100,5,8,relu,0.1,0.782,145.31,7.985,12.054,12.049,0.936,0.767,149.147,8.066,12.213,12.211,0.932
model474,100,5,8,relu,0.05,0.789,140.706,7.847,11.862,11.86,0.938,0.767,148.998,7.967,12.206,12.199,0.932
model475,100,5,8,relu,0.01,-0.019,677.666,17.398,26.032,25.794,0.158,-0.02,652.814,17.132,25.55,25.304,0.162
model476,100,5,8,relu,0.005,0.772,151.378,8.159,12.304,12.292,0.933,0.756,156.12,8.243,12.495,12.492,0.928
model477,100,5,9,relu,1,-0.0,665.357,18.113,25.795,25.794,0.01,-0.0,640.296,17.831,25.304,25.304,0.009
model478,100,5,9,relu,0.75,0.782,145.339,8.083,12.056,12.033,0.937,0.765,150.601,8.165,12.272,12.263,0.933
model479,100,5,9,relu,0.5,0.792,138.613,7.779,11.773,11.771,0.939,0.769,147.763,7.909,12.156,12.147,0.933
model480,100,5,9,relu,0.1,0.755,162.783,8.24,12.759,12.552,0.923,0.744,163.9,8.333,12.802,12.564,0.921
model481,100,5,9,relu,0.05,0.777,148.669,8.107,12.193,12.192,0.932,0.751,159.472,8.26,12.628,12.628,0.924
model482,100,5,9,relu,0.01,-0.0,665.365,18.118,25.795,25.794,0.011,-0.0,640.302,17.836,25.304,25.304,0.01
model483,100,5,9,relu,0.005,0.775,149.742,8.005,12.237,12.184,0.932,0.76,153.855,8.058,12.404,12.331,0.927
model484,100,5,10,relu,1,0.78,146.066,7.883,12.086,12.013,0.933,0.761,153.172,8.054,12.376,12.29,0.928
model485,100,5,10,relu,0.75,0.782,145.241,8.133,12.052,11.989,0.938,0.765,150.444,8.199,12.266,12.224,0.934
model486,100,5,10,relu,0.5,0.777,148.233,7.908,12.175,11.976,0.932,0.765,150.738,7.973,12.278,12.033,0.929
model487,100,5,10,relu,0.1,0.761,159.142,8.332,12.615,12.6,0.928,0.749,160.633,8.363,12.674,12.639,0.925
model488,100,5,10,relu,0.05,0.771,152.031,8.225,12.33,12.245,0.935,0.758,154.635,8.225,12.435,12.376,0.932
model489,100,5,10,relu,0.01,0.778,147.945,7.989,12.163,12.151,0.933,0.761,152.76,8.074,12.36,12.333,0.928
model490,100,5,10,relu,0.005,0.785,143.23,7.88,11.968,11.968,0.935,0.771,146.842,7.929,12.118,12.117,0.932
model491,100,10,1,relu,1,0.784,143.442,7.919,11.977,11.976,0.936,0.771,146.848,7.987,12.118,12.118,0.933
model492,100,10,1,relu,0.75,0.785,143.077,7.855,11.961,11.94,0.936,0.768,148.687,7.924,12.194,12.153,0.931
model493,100,10,1,relu,0.5,0.782,145.245,7.845,12.052,12.034,0.934,0.769,148.015,7.866,12.166,12.143,0.931
model494,100,10,1,relu,0.1,0.786,142.506,7.83,11.938,11.928,0.936,0.767,149.364,7.949,12.221,12.204,0.931
model495,100,10,1,relu,0.05,0.787,141.858,7.726,11.91,11.813,0.935,0.771,146.545,7.816,12.106,11.983,0.931
model496,100,10,1,relu,0.01,0.784,143.993,7.902,12.0,12.0,0.937,0.766,149.912,8.008,12.244,12.24,0.932
model497,100,10,1,relu,0.005,0.784,143.843,8.032,11.993,11.985,0.937,0.765,150.43,8.132,12.265,12.262,0.932
model498,100,10,2,relu,1,0.787,141.643,7.79,11.901,11.739,0.936,0.766,150.08,7.927,12.251,12.062,0.93
model499,100,10,2,relu,0.75,0.793,137.521,7.597,11.727,11.631,0.936,0.772,146.23,7.727,12.093,11.968,0.93
model500,100,10,2,relu,0.5,0.788,140.845,7.758,11.868,11.767,0.936,0.769,147.965,7.899,12.164,12.026,0.93
model501,100,10,2,relu,0.1,0.784,143.924,8.035,11.997,11.991,0.938,0.766,149.954,8.148,12.246,12.245,0.933
model502,100,10,2,relu,0.05,0.798,134.694,7.687,11.606,11.605,0.942,0.779,141.487,7.816,11.895,11.895,0.937
model503,100,10,2,relu,0.01,0.79,139.39,7.928,11.806,11.79,0.941,0.768,148.238,8.102,12.175,12.17,0.935
model504,100,10,2,relu,0.005,0.793,137.718,7.883,11.735,11.727,0.94,0.775,144.26,7.976,12.011,12.01,0.935
model505,100,10,3,relu,1,0.8,133.345,7.622,11.548,11.544,0.942,0.78,141.15,7.764,11.881,11.869,0.936
model506,100,10,3,relu,0.75,0.781,145.396,7.957,12.058,12.042,0.934,0.759,154.107,8.072,12.414,12.382,0.928
model507,100,10,3,relu,0.5,0.786,142.264,7.796,11.927,11.924,0.936,0.772,145.883,7.89,12.078,12.067,0.932
model508,100,10,3,relu,0.1,0.792,138.678,7.796,11.776,11.774,0.938,0.773,145.429,7.978,12.059,12.053,0.933
model509,100,10,3,relu,0.05,0.8,132.937,7.563,11.53,11.509,0.942,0.777,142.763,7.778,11.948,11.912,0.935
model510,100,10,3,relu,0.01,0.797,135.314,7.71,11.632,11.629,0.941,0.785,137.737,7.804,11.736,11.736,0.938
model511,100,10,3,relu,0.005,0.793,137.479,7.783,11.725,11.725,0.94,0.775,144.108,7.991,12.004,12.004,0.935
model512,100,10,4,relu,1,0.77,152.935,8.397,12.367,12.192,0.94,0.751,159.726,8.508,12.638,12.515,0.935
model513,100,10,4,relu,0.75,0.79,139.434,7.695,11.808,11.769,0.937,0.771,146.911,7.894,12.121,12.06,0.932
model514,100,10,4,relu,0.5,0.793,137.599,7.827,11.73,11.713,0.941,0.774,144.422,7.922,12.018,12.012,0.936
model515,100,10,4,relu,0.1,0.794,136.86,7.808,11.699,11.687,0.94,0.772,146.044,7.95,12.085,12.081,0.934
model516,100,10,4,relu,0.05,0.795,136.358,7.866,11.677,11.622,0.943,0.773,145.295,8.037,12.054,12.017,0.938
model517,100,10,4,relu,0.01,0.793,137.857,7.7,11.741,11.629,0.937,0.771,146.31,7.836,12.096,11.967,0.931
model518,100,10,4,relu,0.005,0.795,136.494,7.696,11.683,11.681,0.939,0.775,143.756,7.77,11.99,11.99,0.933
model519,100,10,5,relu,1,0.792,138.604,7.934,11.773,11.683,0.941,0.769,147.732,8.143,12.155,12.092,0.935
model520,100,10,5,relu,0.75,0.795,136.084,7.75,11.666,11.651,0.942,0.767,149.301,7.965,12.219,12.215,0.934
model521,100,10,5,relu,0.5,0.801,132.697,7.61,11.519,11.465,0.941,0.772,145.967,7.856,12.082,12.007,0.932
model522,100,10,5,relu,0.1,0.787,141.931,7.915,11.913,11.882,0.938,0.77,147.498,8.005,12.145,12.133,0.934
model523,100,10,5,relu,0.05,0.792,138.308,7.962,11.76,11.651,0.942,0.773,145.388,8.093,12.058,11.98,0.937
model524,100,10,5,relu,0.01,0.783,144.658,8.164,12.027,11.83,0.941,0.756,156.077,8.33,12.493,12.336,0.935
model525,100,10,5,relu,0.005,0.797,135.375,7.672,11.635,11.634,0.94,0.776,143.717,7.893,11.988,11.988,0.935
model526,100,10,6,relu,1,0.783,144.61,8.199,12.025,11.891,0.94,0.763,151.607,8.301,12.313,12.215,0.935
model527,100,10,6,relu,0.75,0.801,132.211,7.605,11.498,11.498,0.943,0.782,139.768,7.733,11.822,11.821,0.938
model528,100,10,6,relu,0.5,0.786,142.265,7.679,11.927,11.872,0.935,0.763,151.707,7.82,12.317,12.246,0.929
model529,100,10,6,relu,0.1,0.766,155.366,8.244,12.465,12.442,0.932,0.752,158.694,8.284,12.597,12.583,0.928
model530,100,10,6,relu,0.05,0.795,136.588,7.603,11.687,11.564,0.937,0.773,145.534,7.822,12.064,11.922,0.931
model531,100,10,6,relu,0.01,0.776,149.078,8.362,12.21,11.945,0.938,0.755,156.913,8.494,12.526,12.328,0.932
model532,100,10,6,relu,0.005,0.79,139.78,8.143,11.823,11.547,0.942,0.763,151.508,8.296,12.309,12.095,0.935
model533,100,10,7,relu,1,0.804,130.468,7.606,11.422,11.416,0.944,0.775,144.201,7.806,12.008,12.008,0.936
model534,100,10,7,relu,0.75,0.796,135.9,7.615,11.658,11.611,0.939,0.774,144.747,7.81,12.031,11.968,0.933
model535,100,10,7,relu,0.5,0.795,136.355,7.673,11.677,11.596,0.938,0.772,146.13,7.885,12.088,11.982,0.932
model536,100,10,7,relu,0.1,0.792,138.633,7.758,11.774,11.697,0.938,0.767,149.137,7.904,12.212,12.116,0.931
model537,100,10,7,relu,0.05,0.787,141.809,8.056,11.908,11.816,0.94,0.766,150.0,8.199,12.247,12.182,0.935
model538,100,10,7,relu,0.01,0.787,141.536,7.77,11.897,11.857,0.936,0.762,152.255,7.967,12.339,12.28,0.928
model539,100,10,7,relu,0.005,0.791,139.141,7.709,11.796,11.709,0.937,0.766,149.888,7.847,12.243,12.137,0.93
model540,100,10,8,relu,1,0.779,146.887,8.337,12.12,11.783,0.94,0.757,155.883,8.5,12.485,12.226,0.934
model541,100,10,8,relu,0.75,0.798,134.257,7.746,11.587,11.578,0.944,0.781,140.532,7.889,11.855,11.853,0.939
model542,100,10,8,relu,0.5,0.796,135.429,7.836,11.637,11.569,0.942,0.779,141.791,7.959,11.908,11.861,0.937
model543,100,10,8,relu,0.1,0.788,141.062,7.692,11.877,11.806,0.937,0.767,148.977,7.845,12.206,12.115,0.931
model544,100,10,8,relu,0.05,0.798,134.483,7.762,11.597,11.582,0.941,0.778,142.364,7.911,11.932,11.927,0.935
model545,100,10,8,relu,0.01,0.789,140.54,7.848,11.855,11.853,0.937,0.774,144.397,7.884,12.017,12.01,0.934
model546,100,10,8,relu,0.005,0.774,150.256,8.514,12.258,11.752,0.939,0.749,160.836,8.682,12.682,12.253,0.933
model547,100,10,9,relu,1,0.803,131.306,7.537,11.459,11.378,0.941,0.775,144.12,7.806,12.005,11.898,0.933
model548,100,10,9,relu,0.75,0.786,142.109,7.694,11.921,11.749,0.933,0.766,149.992,7.898,12.247,12.04,0.927
model549,100,10,9,relu,0.5,0.795,136.304,7.803,11.675,11.664,0.941,0.777,142.825,7.89,11.951,11.948,0.937
model550,100,10,9,relu,0.1,0.79,139.512,7.977,11.812,11.757,0.941,0.774,144.716,8.026,12.03,11.998,0.937
model551,100,10,9,relu,0.05,0.795,136.651,8.005,11.69,11.517,0.944,0.762,152.187,8.286,12.336,12.205,0.936
model552,100,10,9,relu,0.01,0.798,134.657,7.706,11.604,11.604,0.941,0.773,145.102,7.86,12.046,12.044,0.934
model553,100,10,9,relu,0.005,0.773,151.118,7.986,12.293,12.272,0.931,0.768,148.817,7.964,12.199,12.157,0.93
model554,100,10,10,relu,1,0.792,138.134,7.68,11.753,11.658,0.937,0.767,149.187,7.847,12.214,12.09,0.93
model555,100,10,10,relu,0.75,0.79,139.916,7.713,11.829,11.778,0.936,0.768,148.419,7.86,12.183,12.108,0.929
model556,100,10,10,relu,0.5,0.789,140.149,7.944,11.838,11.784,0.939,0.773,145.108,8.046,12.046,12.01,0.935
model557,100,10,10,relu,0.1,0.787,141.709,7.745,11.904,11.888,0.938,0.77,147.175,7.858,12.132,12.101,0.933
model558,100,10,10,relu,0.05,0.795,136.334,8.036,11.676,11.541,0.942,0.77,147.132,8.172,12.13,12.036,0.934
model559,100,10,10,relu,0.01,0.803,131.372,7.517,11.462,11.405,0.941,0.772,146.256,7.756,12.094,12.017,0.932
model560,100,10,10,relu,0.005,0.792,138.666,7.795,11.776,11.776,0.938,0.776,143.686,7.859,11.987,11.983,0.934
model561,100,25,1,relu,1,0.785,142.781,8.214,11.949,11.712,0.941,0.768,148.692,8.274,12.194,12.01,0.937
model562,100,25,1,relu,0.75,0.787,142.0,8.016,11.916,11.83,0.94,0.775,144.053,8.044,12.002,11.948,0.937
model563,100,25,1,relu,0.5,0.794,136.914,7.78,11.701,11.701,0.939,0.775,144.272,7.862,12.011,12.009,0.934
model564,100,25,1,relu,0.1,0.799,133.952,7.601,11.574,11.573,0.941,0.779,141.675,7.762,11.903,11.897,0.935
model565,100,25,1,relu,0.05,0.795,136.547,7.692,11.685,11.656,0.94,0.776,143.684,7.82,11.987,11.944,0.935
model566,100,25,1,relu,0.01,0.787,141.7,8.034,11.904,11.883,0.94,0.767,148.972,8.11,12.205,12.196,0.935
model567,100,25,1,relu,0.005,0.796,135.969,7.758,11.661,11.66,0.941,0.775,143.99,7.907,12.0,11.999,0.935
model568,100,25,2,relu,1,0.81,126.416,7.528,11.244,11.243,0.945,0.778,142.044,7.781,11.918,11.913,0.935
model569,100,25,2,relu,0.75,0.803,131.085,7.506,11.449,11.407,0.941,0.777,142.792,7.733,11.95,11.889,0.933
model570,100,25,2,relu,0.5,0.795,136.133,7.621,11.668,11.503,0.936,0.769,148.142,7.88,12.171,11.999,0.928
model571,100,25,2,relu,0.1,0.805,129.649,7.727,11.386,11.289,0.947,0.781,140.241,7.928,11.842,11.767,0.941
model572,100,25,2,relu,0.05,0.797,134.785,7.757,11.61,11.61,0.941,0.77,147.316,7.908,12.137,12.135,0.933
model573,100,25,2,relu,0.01,0.806,128.755,7.555,11.347,11.346,0.945,0.782,139.695,7.786,11.819,11.819,0.938
model574,100,25,2,relu,0.005,0.802,131.739,7.584,11.478,11.475,0.942,0.774,144.857,7.846,12.036,12.026,0.934
model575,100,25,3,relu,1,0.814,123.593,7.389,11.117,11.116,0.946,0.783,139.095,7.653,11.794,11.788,0.936
model576,100,25,3,relu,0.75,0.817,121.656,7.296,11.03,10.994,0.946,0.787,136.591,7.535,11.687,11.635,0.938
model577,100,25,3,relu,0.5,0.807,128.458,7.591,11.334,11.32,0.946,0.779,141.682,7.851,11.903,11.898,0.938
model578,100,25,3,relu,0.1,0.804,130.593,7.493,11.428,11.198,0.941,0.767,148.927,7.886,12.204,11.951,0.931
model579,100,25,3,relu,0.05,0.783,144.049,7.764,12.002,11.622,0.931,0.763,151.958,7.885,12.327,11.911,0.925
model580,100,25,3,relu,0.01,0.813,124.664,7.463,11.165,11.165,0.946,0.779,141.212,7.744,11.883,11.882,0.936
model581,100,25,3,relu,0.005,0.81,126.57,7.549,11.25,11.21,0.946,0.784,138.589,7.787,11.772,11.751,0.939
model582,100,25,4,relu,1,0.806,129.097,7.703,11.362,11.221,0.947,0.772,145.725,7.997,12.072,11.978,0.938
model583,100,25,4,relu,0.75,0.813,124.309,7.472,11.149,11.144,0.949,0.783,139.122,7.794,11.795,11.795,0.94
model584,100,25,4,relu,0.5,0.81,126.524,7.451,11.248,11.248,0.944,0.777,142.983,7.758,11.958,11.957,0.935
model585,100,25,4,relu,0.1,0.813,124.545,7.599,11.16,11.081,0.947,0.785,137.532,7.823,11.727,11.679,0.938
model586,100,25,4,relu,0.05,0.81,126.356,7.579,11.241,11.224,0.945,0.789,134.852,7.731,11.613,11.607,0.939
model587,100,25,4,relu,0.01,0.805,129.587,7.446,11.384,11.371,0.942,0.782,139.626,7.662,11.816,11.798,0.936
model588,100,25,4,relu,0.005,0.813,124.569,7.479,11.161,11.158,0.948,0.772,145.969,7.915,12.082,12.081,0.937
model589,100,25,5,relu,1,0.809,127.178,7.409,11.277,11.104,0.944,0.768,148.838,7.763,12.2,12.0,0.931
model590,100,25,5,relu,0.75,0.811,125.75,7.496,11.214,11.162,0.948,0.783,138.965,7.783,11.788,11.761,0.94
model591,100,25,5,relu,0.5,0.812,124.967,7.381,11.179,11.178,0.947,0.786,137.183,7.661,11.713,11.712,0.94
model592,100,25,5,relu,0.1,0.819,120.334,7.332,10.97,10.969,0.948,0.781,140.204,7.664,11.841,11.84,0.937
model593,100,25,5,relu,0.05,0.808,127.479,7.617,11.291,11.224,0.949,0.77,147.379,7.997,12.14,12.097,0.939
model594,100,25,5,relu,0.01,0.812,125.359,7.385,11.196,11.143,0.944,0.781,140.378,7.698,11.848,11.78,0.936
model595,100,25,5,relu,0.005,0.818,121.324,7.476,11.015,10.962,0.949,0.778,142.207,7.895,11.925,11.896,0.937
model596,100,25,6,relu,1,0.818,121.24,7.337,11.011,10.989,0.946,0.789,134.891,7.561,11.614,11.579,0.937
model597,100,25,6,relu,0.75,0.814,123.817,7.419,11.127,11.127,0.948,0.772,146.155,7.823,12.089,12.089,0.937
model598,100,25,6,relu,0.5,0.819,120.648,7.369,10.984,10.971,0.948,0.784,138.217,7.738,11.757,11.751,0.938
model599,100,25,6,relu,0.1,0.821,118.979,7.3,10.908,10.901,0.949,0.778,142.323,7.765,11.93,11.918,0.937
model600,100,25,6,relu,0.05,0.806,128.809,7.465,11.349,11.186,0.943,0.765,150.466,7.897,12.266,12.09,0.932
model601,100,25,6,relu,0.01,0.81,126.598,7.571,11.252,11.22,0.947,0.776,143.225,7.827,11.968,11.955,0.938
model602,100,25,6,relu,0.005,0.819,120.346,7.351,10.97,10.969,0.947,0.783,139.012,7.679,11.79,11.79,0.936
model603,100,25,7,relu,1,0.808,127.978,7.741,11.313,11.152,0.947,0.775,143.874,8.031,11.995,11.872,0.938
model604,100,25,7,relu,0.75,0.815,122.854,7.396,11.084,11.084,0.946,0.777,142.807,7.724,11.95,11.946,0.935
model605,100,25,7,relu,0.5,0.809,127.143,7.432,11.276,10.98,0.943,0.77,147.484,7.815,12.144,11.798,0.931
model606,100,25,7,relu,0.1,0.806,129.194,7.389,11.366,11.174,0.94,0.775,143.969,7.71,11.999,11.78,0.93
model607,100,25,7,relu,0.05,0.82,120.032,7.287,10.956,10.955,0.949,0.789,135.243,7.629,11.629,11.622,0.94
model608,100,25,7,relu,0.01,0.82,119.68,7.318,10.94,10.927,0.948,0.782,139.367,7.655,11.805,11.781,0.936
model609,100,25,7,relu,0.005,0.78,146.638,7.853,12.109,11.448,0.929,0.744,163.782,8.192,12.798,12.107,0.918
model610,100,25,8,relu,1,0.817,121.994,7.282,11.045,11.016,0.945,0.783,139.237,7.622,11.8,11.755,0.934
model611,100,25,8,relu,0.75,0.816,122.502,7.461,11.068,11.057,0.948,0.778,142.203,7.809,11.925,11.922,0.937
model612,100,25,8,relu,0.5,0.815,122.99,7.339,11.09,10.898,0.946,0.772,146.287,7.749,12.095,11.876,0.933
model613,100,25,8,relu,0.1,0.814,123.895,7.597,11.131,11.027,0.95,0.764,151.334,8.089,12.302,12.237,0.937
model614,100,25,8,relu,0.05,0.819,120.287,7.348,10.968,10.967,0.948,0.789,135.01,7.615,11.619,11.611,0.94
model615,100,25,8,relu,0.01,0.82,119.898,7.305,10.95,10.949,0.948,0.785,137.361,7.643,11.72,11.713,0.938
model616,100,25,8,relu,0.005,0.811,126.006,7.692,11.225,11.092,0.949,0.771,146.89,8.066,12.12,12.022,0.938
model617,100,25,9,relu,1,0.805,129.46,7.393,11.378,11.155,0.941,0.778,142.458,7.673,11.936,11.672,0.933
model618,100,25,9,relu,0.75,0.822,118.626,7.298,10.892,10.891,0.95,0.786,136.971,7.669,11.703,11.703,0.939
model619,100,25,9,relu,0.5,0.807,128.085,7.333,11.317,11.158,0.941,0.778,142.428,7.648,11.934,11.75,0.932
model620,100,25,9,relu,0.1,0.814,123.709,7.305,11.122,10.963,0.943,0.766,150.103,7.742,12.252,12.085,0.929
model621,100,25,9,relu,0.05,0.797,135.355,7.632,11.634,11.63,0.94,0.759,154.528,7.955,12.431,12.418,0.928
model622,100,25,9,relu,0.01,0.809,127.167,7.692,11.277,11.183,0.946,0.773,145.653,8.011,12.069,11.998,0.937
model623,100,25,9,relu,0.005,0.776,149.308,8.709,12.219,11.259,0.943,0.737,168.66,9.019,12.987,12.157,0.933
model624,100,25,10,relu,1,0.817,121.793,7.369,11.036,11.027,0.947,0.785,137.819,7.696,11.74,11.723,0.938
model625,100,25,10,relu,0.75,0.81,126.408,7.39,11.243,11.209,0.944,0.783,139.112,7.616,11.795,11.746,0.936
model626,100,25,10,relu,0.5,0.807,128.426,7.365,11.333,10.986,0.94,0.764,151.074,7.794,12.291,11.905,0.927
model627,100,25,10,relu,0.1,0.807,128.493,7.457,11.335,11.207,0.943,0.766,149.756,7.82,12.237,12.075,0.931
model628,100,25,10,relu,0.05,0.817,121.631,7.312,11.029,10.965,0.947,0.779,141.712,7.7,11.904,11.823,0.936
model629,100,25,10,relu,0.01,0.815,123.104,7.298,11.095,10.987,0.943,0.781,140.153,7.588,11.839,11.7,0.933
model630,100,25,10,relu,0.005,0.813,124.307,7.349,11.149,11.1,0.944,0.779,141.205,7.673,11.883,11.815,0.934
model631,100,50,1,relu,1,0.808,127.854,7.579,11.307,11.303,0.945,0.779,141.464,7.8,11.894,11.894,0.937
model632,100,50,1,relu,0.75,0.809,127.255,7.515,11.281,11.28,0.945,0.786,136.727,7.768,11.693,11.69,0.939
model633,100,50,1,relu,0.5,0.804,130.17,7.493,11.409,11.345,0.941,0.776,143.308,7.698,11.971,11.89,0.933
model634,100,50,1,relu,0.1,0.806,129.344,7.619,11.373,11.372,0.945,0.784,138.272,7.798,11.759,11.759,0.94
model635,100,50,1,relu,0.05,0.802,131.605,7.709,11.472,11.435,0.945,0.774,144.835,7.947,12.035,12.015,0.937
model636,100,50,1,relu,0.01,0.807,128.327,7.585,11.328,11.327,0.944,0.779,141.322,7.808,11.888,11.887,0.936
model637,100,50,1,relu,0.005,0.81,126.612,7.53,11.252,11.245,0.946,0.782,139.278,7.762,11.802,11.801,0.938
model638,100,50,2,relu,1,0.816,122.611,7.387,11.073,11.073,0.946,0.779,141.412,7.72,11.892,11.89,0.936
model639,100,50,2,relu,0.75,0.813,124.361,7.328,11.152,10.999,0.943,0.783,138.715,7.659,11.778,11.605,0.934
model640,100,50,2,relu,0.5,0.819,120.522,7.337,10.978,10.97,0.949,0.784,138.251,7.694,11.758,11.742,0.938
model641,100,50,2,relu,0.1,0.818,121.0,7.416,11.0,10.996,0.948,0.769,147.947,7.863,12.163,12.163,0.933
model642,100,50,2,relu,0.05,0.814,123.502,7.483,11.113,11.106,0.95,0.77,146.981,7.941,12.124,12.122,0.937
model643,100,50,2,relu,0.01,0.82,119.663,7.254,10.939,10.803,0.947,0.784,138.076,7.64,11.751,11.598,0.936
model644,100,50,2,relu,0.005,0.816,122.148,7.415,11.052,11.042,0.949,0.78,140.74,7.794,11.863,11.861,0.938
model645,100,50,3,relu,1,0.831,112.454,7.056,10.604,10.586,0.951,0.79,134.416,7.497,11.594,11.564,0.94
model646,100,50,3,relu,0.75,0.821,119.347,7.253,10.925,10.899,0.948,0.78,140.651,7.689,11.86,11.821,0.936
model647,100,50,3,relu,0.5,0.8,132.813,7.452,11.524,11.278,0.939,0.772,145.669,7.759,12.069,11.798,0.93
model648,100,50,3,relu,0.1,0.826,115.445,7.216,10.745,10.74,0.951,0.788,135.531,7.644,11.642,11.64,0.94
model649,100,50,3,relu,0.05,0.824,116.914,7.376,10.813,10.754,0.951,0.788,135.727,7.735,11.65,11.616,0.94
