,epochs,hidden_neurons,hidden_layers,activation,regularization,acc_train,mse_train,mae_train,rmse_train,std_res_train,ia_train,acc_test,mse_test,mae_test,rmse_test,std_res_test,ia_test
model141,50,25,1,relu,1,0.787,141.723,7.936,11.905,11.88,0.939,0.768,148.47,8.056,12.185,12.172,0.934
model142,50,25,1,relu,0.75,0.791,138.789,7.836,11.781,11.775,0.94,0.777,142.608,7.905,11.942,11.941,0.936
model143,50,25,1,relu,0.5,0.787,141.826,7.898,11.909,11.909,0.938,0.771,146.571,8.004,12.107,12.103,0.934
model144,50,25,1,relu,0.1,0.777,148.269,7.949,12.177,12.116,0.932,0.762,152.2,8.003,12.337,12.243,0.928
model145,50,25,1,relu,0.05,0.788,141.118,7.75,11.879,11.808,0.936,0.767,149.419,7.875,12.224,12.129,0.93
model146,50,25,1,relu,0.01,0.781,145.666,8.035,12.069,12.038,0.937,0.767,149.408,8.134,12.223,12.204,0.933
model147,50,25,1,relu,0.005,0.789,140.389,7.942,11.849,11.79,0.941,0.768,148.708,8.103,12.195,12.155,0.935
model148,50,25,2,relu,1,0.798,134.092,7.577,11.58,11.55,0.941,0.778,142.372,7.8,11.932,11.891,0.935
model149,50,25,2,relu,0.75,0.797,135.041,7.585,11.621,11.578,0.939,0.776,143.307,7.712,11.971,11.908,0.933
model150,50,25,2,relu,0.5,0.791,139.295,7.694,11.802,11.802,0.938,0.768,148.532,7.832,12.187,12.181,0.931
model151,50,25,2,relu,0.1,0.798,134.123,7.821,11.581,11.545,0.944,0.772,145.758,8.036,12.073,12.053,0.937
model152,50,25,2,relu,0.05,0.798,134.558,7.74,11.6,11.593,0.941,0.775,144.132,7.931,12.006,12.004,0.935
model153,50,25,2,relu,0.01,0.8,133.232,7.653,11.543,11.541,0.943,0.776,143.441,7.81,11.977,11.976,0.937
model154,50,25,2,relu,0.005,0.801,132.18,7.626,11.497,11.497,0.943,0.78,140.623,7.786,11.858,11.858,0.937
model155,50,25,3,relu,1,0.798,134.098,7.637,11.58,11.578,0.941,0.776,143.664,7.823,11.986,11.986,0.935
model156,50,25,3,relu,0.75,0.802,131.795,7.669,11.48,11.479,0.943,0.776,143.128,7.842,11.964,11.964,0.935
model157,50,25,3,relu,0.5,0.791,139.202,7.727,11.798,11.795,0.938,0.77,147.005,7.911,12.125,12.117,0.932
model158,50,25,3,relu,0.1,0.793,138.021,7.635,11.748,11.504,0.937,0.769,147.754,7.801,12.155,11.873,0.931
model159,50,25,3,relu,0.05,0.805,129.872,7.477,11.396,11.381,0.942,0.783,139.101,7.713,11.794,11.762,0.936
model160,50,25,3,relu,0.01,0.79,139.914,7.774,11.829,11.717,0.936,0.769,147.624,7.966,12.15,12.011,0.93
model161,50,25,3,relu,0.005,0.799,133.789,7.732,11.567,11.553,0.942,0.771,146.597,7.986,12.108,12.102,0.935
model162,50,25,4,relu,1,0.789,140.24,8.077,11.842,11.643,0.941,0.766,149.626,8.23,12.232,12.067,0.936
model163,50,25,4,relu,0.75,0.802,132.034,7.578,11.491,11.484,0.941,0.778,142.299,7.755,11.929,11.914,0.935
model164,50,25,4,relu,0.5,0.802,131.548,7.634,11.469,11.453,0.943,0.78,140.788,7.776,11.865,11.86,0.938
model165,50,25,4,relu,0.1,0.798,134.374,7.637,11.592,11.588,0.94,0.77,147.415,7.817,12.141,12.13,0.931
model166,50,25,4,relu,0.05,0.788,141.017,7.732,11.875,11.486,0.936,0.763,151.439,7.964,12.306,11.878,0.929
model167,50,25,4,relu,0.01,0.793,137.732,7.909,11.736,11.635,0.942,0.775,144.188,8.037,12.008,11.943,0.938
model168,50,25,4,relu,0.005,0.784,143.456,8.207,11.977,11.636,0.944,0.763,151.507,8.381,12.309,12.03,0.939
model169,50,25,5,relu,1,0.801,132.497,7.694,11.511,11.501,0.943,0.772,145.771,7.889,12.074,12.071,0.935
model170,50,25,5,relu,0.75,0.797,135.032,7.58,11.62,11.477,0.939,0.767,149.124,7.8,12.212,12.043,0.931
model171,50,25,5,relu,0.5,0.804,130.108,7.576,11.406,11.404,0.943,0.78,140.819,7.828,11.867,11.867,0.936
model172,50,25,5,relu,0.1,0.803,130.784,7.54,11.436,11.403,0.941,0.771,146.933,7.725,12.122,12.07,0.932
model173,50,25,5,relu,0.05,0.801,132.422,7.846,11.507,11.311,0.946,0.776,143.183,8.038,11.966,11.819,0.94
model174,50,25,5,relu,0.01,0.811,125.504,7.461,11.203,11.202,0.946,0.786,137.042,7.74,11.707,11.706,0.939
model175,50,25,5,relu,0.005,0.803,130.884,7.658,11.44,11.423,0.943,0.783,139.228,7.801,11.799,11.791,0.937
model176,50,25,6,relu,1,0.806,129.136,7.496,11.364,11.362,0.943,0.783,138.731,7.702,11.778,11.778,0.937
model177,50,25,6,relu,0.75,0.797,135.336,7.532,11.633,11.542,0.936,0.776,143.481,7.663,11.978,11.849,0.93
model178,50,25,6,relu,0.5,0.786,142.319,7.946,11.93,11.807,0.943,0.77,147.549,8.06,12.147,12.062,0.939
model179,50,25,6,relu,0.1,0.805,129.725,7.588,11.39,11.38,0.945,0.786,136.763,7.774,11.695,11.691,0.941
model180,50,25,6,relu,0.05,0.8,133.368,7.715,11.548,11.514,0.944,0.774,144.442,7.982,12.018,11.993,0.938
model181,50,25,6,relu,0.01,0.808,128.057,7.594,11.316,11.28,0.945,0.785,137.395,7.838,11.722,11.702,0.939
model182,50,25,6,relu,0.005,0.791,139.361,8.018,11.805,11.62,0.942,0.776,143.16,8.103,11.965,11.818,0.939
model183,50,25,7,relu,1,0.792,138.341,7.829,11.762,11.739,0.943,0.766,149.582,8.023,12.23,12.219,0.937
model184,50,25,7,relu,0.75,0.803,130.952,7.601,11.443,11.442,0.943,0.782,139.568,7.724,11.814,11.807,0.937
