,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
98,-1.0,-1.0,50.7,129.5,41.96,40.6,71.519,59.0,42.3,47.3,44.19922
99,-1.0,21.2,-1.0,-1.0,9.6,-1.0,16.342,-1.0,17.97,13.13,28.670788
100,43.33,62.03,32.32,212.7,-1.0,-1.0,-1.0,30.33,99.81,49.55,71.191216
101,-1.0,25.6,58.8,147.4,57.1,18.0,79.138,22.9,47.82,76.9,45.15591
102,40.8,32.0,36.4,188.3,171.79,73.7,164.92,26.9,76.8,52.9,75.48032
103,-1.0,8.2,4.6,11.9,-1.0,-1.0,-1.0,-1.0,7.99,19.56,14.98165
104,-1.0,24.4,22.5,47.1,44.98,12.2,79.77,36.6,24.8,25.3,27.992102
105,-1.0,25.8,-1.0,-1.0,77.5,-1.0,35.887,-1.0,33.2,69.18,50.53571
106,11.5,33.4,-1.0,16.1,16.3,-1.0,-1.0,-1.0,18.66,35.34,21.369404
107,-1.0,58.6,91.0,109.9,-1.0,33.4,-1.0,35.9,32.21,54.35,56.48921
108,-1.0,75.9,100.8,71.4,153.61,56.1,138.22,-1.0,93.9,76.6,95.78604
109,11.3,-1.0,-1.0,16.0,9.7,-1.0,13.053,-1.0,23.32,25.46,22.888746
110,-1.0,26.1,23.8,54.7,33.81,22.3,40.949,-1.0,25.6,28.4,29.4397
111,-1.0,44.5,56.0,121.0,88.15,50.5,92.606,-1.0,36.6,42.7,53.554688
112,8.5,-1.0,-1.0,9.4,-1.0,0.4,17.664,3.1,11.9,14.3,8.906675
113,-1.0,31.6,38.7,28.9,34.19,48.3,51.802,-1.0,25.5,28.9,36.568863
114,-1.0,-1.0,121.6,36.8,-1.0,-1.0,-1.0,-1.0,23.31,7.81,43.683567
115,-1.0,33.1,66.0,77.5,-1.0,52.5,-1.0,82.9,63.77,98.04,76.18034
116,-1.0,59.0,85.0,101.9,98.23,47.7,109.46,104.0,89.04,88.9,79.10435
117,26.8,-1.0,-1.0,45.8,38.24,39.9,43.025,17.7,35.9,40.7,39.24576
118,-1.0,-1.0,-1.0,16.6,30.2,19.8,36.665,15.2,19.0,11.9,21.68117
119,28.03,-1.0,14.46,16.86,-1.0,7.15,72.69,12.38,19.1,32.01,17.610594
120,-1.0,5.4,-1.0,-1.0,57.0,-1.0,43.945,-1.0,35.34,58.81,35.73548
121,23.3,21.6,34.6,68.8,33.98,15.5,48.05,21.7,30.94,45.1,31.590412
122,-1.0,33.4,65.2,60.3,69.9,36.4,75.441,-1.0,40.6,69.3,52.68622
123,-1.0,-1.0,120.9,290.6,-1.0,-1.0,-1.0,19.4,46.85,123.1,77.61796
124,-1.0,23.9,39.8,54.1,-1.0,-1.0,-1.0,-1.0,26.85,36.13,47.193768
125,-1.0,19.9,15.0,27.4,-1.0,-1.0,-1.0,-1.0,14.74,12.3,24.332695
