,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
23,-1.0,30.4,40.4,43.5,-1.0,-1.0,-1.0,55.1,49.49,30.4,41.49971
24,27.91,36.84,32.9,-1.0,-1.0,123.13,22.27,24.36,25.53,41.74,29.033379
25,12.57,32.13,25.81,41.74,-1.0,-1.0,36.51,23.27,25.45,30.96,31.891922
26,56.46,51.88,56.49,86.98,-1.0,37.2,61.38,58.56,57.28,60.59,54.290535
27,32.89,26.23,31.02,-1.0,-1.0,87.09,29.84,38.38,30.67,30.06,28.128487
28,14.5,17.9,-1.0,-1.0,26.2,33.321,23.15,-1.0,15.17,19.0,14.046169
29,16.09,28.49,29.34,-1.0,69.32,151.33,23.72,12.3,23.39,23.65,24.028612
30,-1.0,-1.0,-1.0,97.1,95.44,136.01,41.5,60.9,27.4,23.6,34.259853
31,14.0,16.6,-1.0,-1.0,21.7,24.048,14.58,-1.0,9.54,9.4,12.641489
32,-1.0,-1.0,28.1,44.6,57.54,49.083,45.7,23.1,40.2,33.9,29.06764
33,-1.0,14.2,21.0,20.8,17.56,16.468,19.1,-1.0,20.7,20.1,20.25512
34,50.53,84.17,-1.0,-1.0,-1.0,126.67,134.85,55.38,179.84,68.7,79.509636
35,-1.0,18.5,24.2,-1.0,-1.0,-1.0,-1.0,-1.0,24.83,21.1,29.523327
36,44.6,39.7,-1.0,43.2,52.94,46.34,-1.0,48.9,46.89,33.0,37.82421
37,-1.0,23.9,26.6,31.7,-1.0,-1.0,-1.0,38.2,28.33,28.1,29.215385
38,-1.0,-1.0,-1.0,15.7,13.4,35.715,76.4,26.0,35.3,15.5,20.161335
39,-1.0,-1.0,-1.0,72.9,62.76,70.664,33.5,48.8,29.8,18.2,28.863226
40,-1.0,45.7,36.1,-1.0,-1.0,-1.0,-1.0,-1.0,20.63,26.3,37.121685
41,-1.0,63.6,72.1,131.0,203.66,174.15,45.5,-1.0,20.7,54.9,58.27089
42,-1.0,-1.0,-1.0,55.8,23.74,62.055,37.6,-1.0,29.2,13.2,20.756273
43,-1.0,43.8,47.8,72.3,46.1,83.93,67.83,-1.0,-1.0,39.6,35.338196
44,-1.0,74.7,122.0,110.9,-1.0,-1.0,95.39,27.2,45.05,38.5,43.891212
45,-1.0,-1.0,-1.0,13.1,21.43,33.485,50.0,33.3,21.5,15.9,19.38118
46,4.14,8.05,16.68,-1.0,-1.0,59.23,12.62,6.83,10.73,9.78,11.242695
47,-1.0,33.1,32.0,94.0,45.57,61.395,49.0,38.4,-1.0,35.4,32.197018
48,-1.0,-1.0,-1.0,14.9,19.41,28.06,35.4,26.0,38.7,20.1,21.567345
49,-1.0,39.8,66.0,110.4,-1.0,103.72,41.9,37.1,43.2,52.4,39.554916
50,-1.0,42.5,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,21.53,24.2,26.84861
51,3.73,22.59,17.8,-1.0,-1.0,56.15,20.82,0.04,19.05,15.85,21.139435
52,37.2,-1.0,-1.0,45.3,24.08,91.273,46.4,24.4,32.53,31.3,29.031685
53,-1.0,-1.0,64.9,30.3,21.87,43.803,45.9,63.6,22.3,26.3,35.40225
54,47.5,35.6,-1.0,81.6,135.81,150.89,-1.0,46.2,57.16,56.2,43.968037
55,23.41,29.56,14.22,-1.0,-1.0,52.38,16.61,34.16,21.23,12.74,25.042816
56,36.7,32.0,59.7,149.9,156.02,158.82,63.0,22.3,99.35,56.9,42.899986
57,-1.0,56.2,56.1,72.2,-1.0,-1.0,60.31,62.3,62.76,54.8,63.043423
58,-1.0,-1.0,15.2,40.3,56.5,74.28,15.15,-1.0,-1.0,18.8,18.503325
59,-1.0,-1.0,-1.0,20.8,18.85,89.218,32.7,29.5,43.9,35.4,27.855747
60,-1.0,-1.0,-1.0,16.9,36.27,57.468,9.8,15.3,24.2,30.5,22.249647
61,-1.0,-1.0,7.3,10.0,16.93,21.169,19.2,14.8,11.9,3.1,12.200388
62,-1.0,35.8,63.6,-1.0,-1.0,-1.0,49.17,43.4,36.77,46.3,44.266186
63,-1.0,16.7,31.3,40.7,48.48,90.206,32.8,31.3,22.7,27.9,22.101522
64,16.78,8.7,13.33,15.46,-1.0,-1.0,13.73,6.6,4.9,12.14,12.576923
65,32.1,35.0,-1.0,121.0,148.36,84.177,54.2,36.9,58.75,25.6,37.913063
66,-1.0,-1.0,10.6,22.7,38.47,31.798,13.9,35.2,13.8,11.0,15.0569
67,-1.0,70.7,92.2,133.9,157.71,99.793,93.2,-1.0,56.6,57.2,73.578255
68,-1.0,-1.0,112.4,121.3,50.42,213.56,39.9,33.5,33.3,21.6,36.054825
69,18.2,-1.0,-1.0,104.3,86.49,85.1,35.9,11.8,48.62,28.4,36.87703
70,-1.0,-1.0,-1.0,16.7,19.35,48.819,9.1,8.1,5.7,7.6,11.513424
71,16.11,23.23,16.86,-1.0,291.67,153.04,21.42,11.65,33.51,28.95,37.28897
72,-1.0,23.1,34.8,46.5,-1.0,-1.0,-1.0,31.6,22.67,40.4,27.487211
73,37.2,3.2,-1.0,58.3,-1.0,62.186,23.42,-1.0,23.25,18.0,15.358431
74,-1.0,78.6,62.4,78.7,114.36,230.04,54.6,57.0,61.43,60.3,53.573883
75,37.5,-1.0,-1.0,31.9,25.69,42.754,40.7,28.9,39.08,35.6,32.689636
76,-1.0,31.9,37.6,80.9,58.18,73.239,49.6,-1.0,45.9,46.2,37.800415
77,-1.0,-1.0,26.8,25.6,34.03,19.974,21.6,38.8,25.1,25.0,25.334723
78,33.64,41.08,34.14,-1.0,179.52,80.34,33.88,42.93,45.46,38.26,43.08506
79,-1.0,22.5,27.3,65.9,-1.0,105.51,32.5,19.3,24.8,24.3,22.718616
80,97.4,49.1,-1.0,102.9,84.29,100.9,52.7,44.3,52.91,49.9,45.67595
81,39.8,-1.0,-1.0,118.9,60.12,161.95,-1.0,51.1,22.44,24.3,37.7743
82,-1.0,15.52,72.18,46.07,19.27,349.61,34.86,15.36,18.12,21.97,29.620169
83,-1.0,11.6,15.0,41.5,70.8,43.258,20.6,-1.0,2.9,5.3,18.237843
84,19.09,37.29,30.58,-1.0,172.56,50.99,24.49,33.33,30.45,30.33,34.67144
85,-1.0,7.0,-1.0,24.3,-1.0,-1.0,7.8,10.8,11.08,7.8,15.046122
86,90.2,74.1,97.6,86.6,132.51,98.836,100.8,31.9,87.7,67.2,61.80684
87,-1.0,43.9,50.4,45.5,106.09,55.005,45.5,-1.0,47.5,46.2,48.438545
88,-1.0,19.3,40.8,39.1,-1.0,-1.0,20.86,18.4,15.89,20.3,20.397425
89,-1.0,26.3,27.9,-1.0,-1.0,-1.0,-1.0,19.3,21.77,18.0,24.024693
90,14.49,38.93,28.74,-1.0,-1.0,89.83,20.84,19.39,19.68,57.96,27.787357
91,-1.0,18.7,23.5,23.4,17.28,25.403,-1.0,-1.0,13.7,48.6,23.449999
92,-1.0,-1.0,-1.0,31.1,16.88,26.194,10.5,24.4,17.3,6.4,14.868145
93,43.7,48.0,-1.0,123.6,62.54,105.2,-1.0,54.7,43.89,55.1,44.98326
94,-1.0,70.0,101.7,193.8,71.05,203.47,87.7,43.6,79.29,49.1,59.83689
95,-1.0,42.7,49.1,30.0,-1.0,-1.0,36.24,16.1,-1.0,14.1,27.091326
96,-1.0,17.1,28.6,36.2,-1.0,-1.0,-1.0,-1.0,15.69,20.5,22.625778
97,-1.0,13.7,44.6,66.2,29.79,55.909,31.9,23.3,24.09,16.8,17.166378
98,-1.0,24.9,46.5,149.8,-1.0,-1.0,-1.0,16.4,-1.0,31.7,31.618322
99,2.9,6.5,-1.0,-1.0,31.1,51.259,5.38,-1.0,27.07,10.9,18.748049
100,17.31,22.58,20.86,-1.0,-1.0,12.34,34.57,-1.0,27.09,12.39,24.292149
101,25.92,37.85,37.04,-1.0,-1.0,93.15,28.08,30.51,33.68,46.7,34.905098
102,22.9,-1.0,-1.0,170.5,99.01,116.52,63.3,53.7,72.75,41.6,47.226467
103,14.1,-1.0,-1.0,70.7,38.68,-1.0,25.2,12.3,31.14,14.9,21.37683
104,-1.0,-1.0,-1.0,118.3,97.33,87.083,51.6,54.8,52.6,13.8,40.532093
105,-1.0,22.7,21.4,31.1,26.93,60.236,19.1,-1.0,28.0,20.6,25.232582
106,41.1,89.6,-1.0,65.2,69.1,70.137,88.82,-1.0,43.93,38.5,38.07212
107,-1.0,-1.0,-1.0,19.0,16.16,31.327,16.0,18.8,19.6,12.9,15.032656
108,-1.0,45.8,46.0,226.9,176.52,85.194,79.0,48.8,63.7,50.0,46.322227
109,36.3,21.4,-1.0,-1.0,33.9,43.122,30.08,-1.0,25.18,13.7,21.683155
110,-1.0,-1.0,-1.0,35.7,19.72,39.393,14.8,19.5,10.6,10.9,12.858099
111,-1.0,40.2,67.3,61.1,-1.0,-1.0,55.73,63.5,49.61,68.1,54.64635
112,-1.0,-1.0,17.5,39.8,36.87,34.472,44.8,62.2,38.5,34.0,33.543755
113,-1.0,22.1,30.1,58.8,52.96,81.132,28.3,-1.0,15.4,21.7,26.75568
114,-1.0,29.3,50.2,-1.0,-1.0,-1.0,-1.0,49.6,47.57,26.2,39.622833
115,-1.0,28.1,43.5,37.1,-1.0,-1.0,32.62,26.7,-1.0,32.5,25.494503
116,48.7,-1.0,-1.0,86.0,60.65,130.01,42.5,39.9,40.11,30.1,34.638523
117,19.0,24.0,-1.0,42.3,59.26,36.349,-1.0,25.0,14.95,26.9,16.763983
118,-1.0,31.6,38.7,28.9,34.19,51.802,28.9,-1.0,25.5,48.3,32.71253
119,22.96,-1.0,40.16,-1.0,72.44,29.53,42.01,19.44,32.86,32.08,33.77028
120,-1.0,34.4,34.8,381.8,-1.0,-1.0,86.87,53.6,116.51,61.9,55.264557
121,-1.0,-1.0,25.3,39.5,40.21,54.56,27.7,59.7,22.4,15.3,23.598228
122,15.56,58.68,61.85,226.87,-1.0,-1.0,61.22,18.13,46.04,34.41,42.998753
123,-1.0,24.4,36.9,97.8,69.99,98.6,36.4,-1.0,19.1,17.9,31.759876
124,-1.0,-1.0,-1.0,15.3,21.33,10.702,11.1,16.4,11.1,14.5,11.621838
125,-1.0,-1.0,-1.0,7.8,12.24,10.143,13.2,14.9,14.4,2.2,11.262941
126,-1.0,-1.0,63.2,196.1,86.69,130.77,59.2,88.1,57.0,55.1,46.613636
127,-1.0,29.7,34.7,48.4,24.7,51.008,81.12,-1.0,-1.0,23.5,20.059942
128,-1.0,57.7,35.7,48.9,-1.0,-1.0,-1.0,-1.0,20.99,18.8,33.399746
129,-1.0,30.4,58.4,57.6,-1.0,-1.0,-1.0,32.2,35.65,32.4,37.217136
130,-1.0,83.0,97.8,174.8,89.54,70.024,89.0,-1.0,85.1,93.8,92.69244
131,-1.0,4.1,62.2,75.1,-1.0,-1.0,1.97,46.3,22.22,32.2,38.11731
132,17.7,23.0,37.5,53.6,88.59,49.669,42.1,14.0,31.53,18.2,26.340717
133,27.4,71.0,-1.0,36.1,36.3,49.217,-1.0,-1.0,24.94,25.3,23.242695
134,-1.0,31.9,50.2,49.3,-1.0,-1.0,-1.0,26.9,27.68,26.5,31.908684
135,19.31,32.95,42.74,-1.0,-1.0,47.66,21.04,27.58,29.79,26.2,33.216614
136,17.71,25.08,36.13,-1.0,-1.0,37.75,27.31,19.33,23.97,23.79,26.44891
137,20.05,15.6,17.88,23.98,-1.0,-1.0,19.7,11.97,15.23,10.12,19.28869
138,-1.0,39.0,8.3,21.6,82.74,93.178,30.0,-1.0,23.2,35.6,32.36316
139,-1.0,-1.0,34.2,51.4,47.47,49.389,56.4,37.9,44.9,29.9,36.34738
140,-1.0,20.8,17.7,51.9,-1.0,-1.0,19.16,21.3,32.33,18.8,26.903046
141,-1.0,-1.0,-1.0,26.6,161.3,45.93,29.8,42.9,26.8,24.9,24.403244
142,-1.0,-1.0,-1.0,29.8,33.25,59.529,10.0,7.8,18.0,19.8,18.65851
143,19.4,39.25,11.97,-1.0,-1.0,26.68,25.18,85.26,26.8,14.04,29.788588
144,70.1,56.6,-1.0,113.4,114.23,112.29,52.4,57.0,48.49,47.4,44.481117
145,20.5,27.5,-1.0,37.7,54.47,47.484,-1.0,34.7,29.89,21.8,26.15087
146,-1.0,66.4,95.5,86.4,-1.0,-1.0,-1.0,31.3,58.69,45.5,57.613457
147,-1.0,66.2,76.3,251.2,252.3,189.79,101.1,72.7,166.6,76.5,73.1642
148,55.2,46.0,-1.0,77.3,103.28,90.852,-1.0,79.5,81.91,57.9,57.62178
149,-1.0,24.4,51.1,32.2,-1.0,-1.0,40.28,28.3,32.75,35.4,32.604057
150,-1.0,36.4,38.7,55.5,-1.0,-1.0,39.82,49.1,37.05,43.4,42.263985
151,-1.0,34.8,56.2,56.0,-1.0,-1.0,-1.0,37.4,27.21,27.2,36.58009
152,-1.0,-1.0,18.6,38.7,65.19,85.877,44.3,84.7,37.9,27.9,30.407776
153,-1.0,-1.0,28.5,36.4,35.66,83.902,35.2,36.8,25.5,29.5,26.39082
154,-1.0,77.0,-1.0,217.5,177.09,245.82,96.4,63.6,84.4,93.5,36.95232
155,19.9,41.6,-1.0,28.8,39.16,49.789,-1.0,22.9,24.28,31.6,24.021664
156,-1.0,51.6,69.1,72.3,85.32,98.717,57.5,-1.0,38.3,55.4,53.19672
157,-1.0,26.1,25.7,40.6,32.19,-1.0,34.4,-1.0,26.4,25.7,28.898977
158,25.2,20.5,-1.0,36.0,30.7,30.28,-1.0,-1.0,25.88,9.4,17.713501
159,-1.0,42.4,60.8,66.7,-1.0,-1.0,-1.0,17.3,35.38,34.0,34.09403
160,-1.0,20.9,49.9,50.1,-1.0,-1.0,30.55,33.2,32.39,38.9,33.049355
161,-1.0,-1.0,85.1,74.1,116.69,61.508,51.4,40.0,48.4,43.0,40.348946
162,21.77,34.11,33.22,-1.0,-1.0,54.9,25.98,28.96,39.63,45.62,36.49521
163,-1.0,31.8,39.8,100.7,58.5,103.56,36.3,44.2,-1.0,34.2,31.510414
164,30.3,57.74,42.53,-1.0,110.99,65.6,42.7,51.09,51.79,53.57,43.827892
165,14.5,-1.0,-1.0,15.7,-1.0,22.195,12.0,-1.0,21.8,21.5,13.433422
166,-1.0,21.6,30.1,109.2,-1.0,-1.0,37.75,23.9,30.31,25.2,27.126799
167,-1.0,-1.0,-1.0,30.0,36.72,87.579,23.2,15.1,19.6,19.3,19.414759
168,-1.0,-1.0,-1.0,40.0,33.45,45.264,32.4,54.2,32.8,21.7,28.025356
169,-1.0,50.3,81.1,101.9,-1.0,-1.0,17.11,43.3,34.8,34.7,45.281715
170,-1.0,-1.0,20.9,19.7,19.45,45.123,16.0,1.2,16.6,14.7,16.86963
171,-1.0,-1.0,-1.0,74.2,27.13,53.532,48.7,31.9,34.0,18.6,30.028801
172,-1.0,49.1,50.7,84.7,112.02,107.24,81.5,-1.0,45.6,61.8,53.65818
173,-1.0,64.7,55.4,92.6,76.44,96.668,74.2,-1.0,106.3,78.0,71.72663
174,-1.0,20.5,30.6,58.1,61.89,48.792,29.7,-1.0,30.7,29.6,28.250668
175,-1.0,52.1,46.7,84.0,-1.0,-1.0,-1.0,78.4,77.69,56.3,58.225105
176,-1.0,-1.0,-1.0,52.9,46.96,55.501,29.2,39.1,-1.0,28.3,28.690166
177,-1.0,49.7,81.6,135.7,-1.0,-1.0,69.67,47.8,56.21,59.4,55.72155
178,68.88,92.38,67.55,167.94,-1.0,79.96,66.52,57.86,52.75,72.1,67.16239
179,-1.0,37.1,51.1,79.5,71.96,50.365,35.3,-1.0,-1.0,34.5,35.07351
180,87.2,96.9,134.0,-1.0,147.73,191.99,140.9,50.3,141.63,74.8,82.744255
181,-1.0,37.7,59.0,80.9,-1.0,-1.0,-1.0,19.3,21.87,23.6,30.930092
182,31.5,36.3,-1.0,65.3,41.24,62.774,41.5,26.7,34.08,25.0,30.885675
183,-1.0,27.3,101.7,-1.0,-1.0,-1.0,-1.0,52.1,54.48,54.4,48.914555
184,48.8,33.0,-1.0,63.9,-1.0,53.804,41.14,-1.0,33.04,26.2,27.08424
185,-1.0,66.3,87.8,74.0,104.45,92.569,97.8,-1.0,71.1,48.8,73.83264
186,-1.0,40.9,70.0,67.0,-1.0,-1.0,-1.0,55.5,41.6,39.4,50.168266
187,9.28,10.7,2.82,-1.0,42.97,69.75,2.66,7.24,11.18,10.24,11.562523
188,35.3,-1.0,-1.0,44.9,40.25,76.78,28.6,-1.0,31.49,37.0,25.59135
189,-1.0,-1.0,13.3,11.7,17.77,14.071,9.9,0.2,19.2,10.4,17.099041
190,5.4,-1.0,-1.0,11.3,-1.0,-1.0,20.7,26.4,9.3,9.7,11.454166
191,23.0,37.51,48.75,-1.0,45.28,93.33,26.94,26.14,48.41,41.68,38.613228
192,13.6,-1.0,-1.0,26.7,29.31,32.638,29.9,18.1,37.12,21.3,21.251942
193,-1.0,70.6,92.3,118.0,-1.0,-1.0,35.57,49.1,67.41,52.8,66.60189
194,16.7,-1.0,-1.0,37.8,18.27,59.903,25.0,19.3,57.81,27.3,29.444668
195,-1.0,-1.0,-1.0,69.5,27.28,58.723,27.7,19.4,26.6,5.4,24.59055
196,-1.0,5.45,19.44,40.49,-1.0,77.09,10.86,16.27,16.17,3.17,12.751413
197,31.5,-1.0,-1.0,36.8,45.95,63.801,28.6,40.6,22.11,17.5,23.28099
198,-1.0,41.5,56.1,106.5,-1.0,-1.0,-1.0,46.8,27.26,42.6,36.964287
199,-1.0,53.1,71.8,356.7,164.7,181.63,50.9,-1.0,40.5,4.3,55.355392
200,35.7,42.1,-1.0,-1.0,41.3,109.87,67.31,-1.0,32.96,20.6,26.444986
201,-1.0,23.0,30.4,34.9,-1.0,-1.0,35.51,48.1,35.56,19.5,36.917545
202,-1.0,-1.0,16.3,13.2,37.8,63.66,7.2,5.8,20.6,23.6,17.053997
203,-1.0,35.9,43.0,106.3,-1.0,84.51,26.2,34.6,34.2,34.7,34.575386
204,43.1,26.2,45.4,59.5,42.38,74.377,35.0,25.2,35.18,29.7,32.044983
205,11.1,30.7,-1.0,36.2,25.82,38.102,15.9,20.0,19.74,23.2,20.872007
206,14.4,51.7,-1.0,12.1,16.0,15.41,21.21,-1.0,12.44,13.5,11.654528
207,-1.0,31.7,36.6,146.6,-1.0,-1.0,-1.0,58.2,48.81,35.0,42.481762
208,37.09,29.43,28.28,-1.0,49.05,64.3,27.29,43.0,36.8,23.71,31.524872
209,17.66,25.21,23.71,-1.0,-1.0,41.03,21.56,16.22,35.52,34.11,29.919971
210,-1.0,-1.0,16.4,38.5,26.8,61.772,39.0,21.8,31.3,23.8,28.574223
211,13.69,15.75,31.64,-1.0,-1.0,54.62,19.25,21.71,26.13,25.75,21.559456
212,11.62,18.75,32.8,-1.0,41.05,28.47,22.5,22.45,21.57,18.77,26.69511
213,-1.0,44.0,45.5,51.2,-1.0,96.294,46.2,-1.0,28.3,32.6,36.961655
214,-1.0,51.0,74.2,103.2,-1.0,-1.0,-1.0,52.1,40.98,39.7,48.98717
215,8.4,24.1,-1.0,56.2,16.26,26.334,-1.0,18.3,12.45,13.4,13.858042
216,19.13,30.16,14.57,-1.0,68.96,94.67,22.55,19.32,38.22,33.08,29.555145
217,-1.0,40.4,57.1,77.1,53.49,83.354,41.8,-1.0,37.7,26.0,41.623795
218,-1.0,18.9,22.8,36.6,46.22,51.351,23.2,-1.0,17.2,15.1,24.562044
219,20.93,28.94,32.81,66.46,-1.0,52.68,15.45,28.4,25.24,27.64,29.018406
220,21.8,45.6,-1.0,23.5,31.3,36.004,-1.0,-1.0,31.51,25.5,26.55966
221,10.6,19.7,-1.0,-1.0,32.9,30.544,22.3,-1.0,13.23,7.7,13.417767
222,-1.0,23.1,32.6,81.0,68.4,60.333,35.5,-1.0,61.7,6.2,33.682816
223,-1.0,-1.0,-1.0,76.4,42.73,64.008,31.3,22.9,12.5,11.9,20.425213
224,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,44.5,45.32,77.8,46.26672
225,-1.0,45.1,35.2,79.6,59.46,139.78,34.7,-1.0,69.8,55.2,44.271973
226,-1.0,-1.0,26.8,39.0,31.56,61.898,22.8,10.9,16.5,22.3,17.568272
227,-1.0,-1.0,22.4,25.7,32.07,76.181,21.8,29.5,21.2,23.1,22.11796
228,-1.0,-1.0,-1.0,13.1,26.38,46.071,14.0,32.3,15.0,13.3,15.692886
229,16.0,-1.0,-1.0,21.3,20.48,52.159,-1.0,31.5,22.5,22.0,21.564392
230,30.7,-1.0,-1.0,185.8,67.75,94.626,-1.0,34.3,34.8,37.3,36.53971
231,-1.0,41.8,79.2,128.1,-1.0,175.24,96.4,45.0,95.6,34.6,56.462112
232,-1.0,28.5,42.3,57.6,64.83,60.671,49.0,-1.0,31.4,34.5,36.662773
233,33.1,23.41,28.7,-1.0,-1.0,66.48,32.95,30.32,36.13,29.92,31.151852
234,9.45,-1.0,22.56,-1.0,41.76,27.91,29.12,13.54,16.17,13.36,17.813755
235,-1.0,-1.0,-1.0,81.0,23.77,61.696,17.2,23.8,17.2,14.7,20.918581
236,-1.0,23.0,35.4,62.2,26.42,71.479,23.0,-1.0,18.5,39.0,22.915262
237,-1.0,-1.0,70.0,129.7,100.6,231.15,84.7,-1.0,-1.0,34.1,39.491432
238,28.9,23.7,-1.0,92.0,61.61,96.249,-1.0,36.8,40.87,48.4,36.0258
239,20.67,30.24,18.95,-1.0,-1.0,115.63,18.69,16.44,19.81,20.12,23.192585
240,7.9,-1.0,-1.0,7.3,-1.0,12.366,15.4,16.8,3.9,0.4,5.9360557
241,-1.0,62.9,121.1,146.6,166.08,207.69,90.7,-1.0,92.4,73.1,78.50573
242,-1.0,37.3,64.1,73.0,-1.0,108.99,82.2,-1.0,52.6,40.7,52.733818
243,-1.0,-1.0,-1.0,56.9,34.06,71.66,26.3,8.9,16.9,18.5,20.852648
244,-1.0,19.2,19.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.3,2.5009422
245,-1.0,-1.0,39.0,41.7,55.5,96.325,9.24,-1.0,-1.0,25.6,24.83614
246,-1.0,17.4,39.1,46.7,-1.0,-1.0,66.65,34.4,-1.0,31.0,26.304468
247,-1.0,22.0,32.0,27.0,-1.0,-1.0,16.36,13.7,16.12,14.5,19.175
248,34.63,53.54,44.63,-1.0,142.02,62.04,48.96,54.74,50.5,51.94,47.20734
249,-1.0,62.4,91.9,163.9,-1.0,-1.0,56.09,39.9,55.87,47.7,58.284653
250,-1.0,42.0,55.8,100.0,-1.0,-1.0,-1.0,48.5,41.67,47.8,43.808052
251,6.1,-1.0,-1.0,21.9,-1.0,27.279,18.6,12.3,16.8,16.9,13.237944
252,35.7,12.9,-1.0,32.4,40.8,76.546,28.47,-1.0,33.01,22.1,26.869549
253,55.07,42.8,56.78,97.3,-1.0,31.08,52.24,43.34,-1.0,42.37,60.644363
254,56.3,78.77,39.66,-1.0,-1.0,58.55,58.08,32.82,72.24,56.37,65.817375
255,-1.0,20.2,52.7,39.9,33.02,79.655,22.3,-1.0,25.3,32.0,24.648163
256,25.9,16.4,-1.0,73.9,47.02,44.132,23.9,31.7,14.13,10.2,16.10355
257,108.53,108.47,147.06,-1.0,-1.0,39.81,70.74,89.93,90.44,86.83,95.95612
258,-1.0,89.0,103.2,228.8,-1.0,-1.0,138.42,62.6,121.53,88.2,92.98319
259,52.4,60.7,64.1,132.0,65.58,119.86,59.2,43.7,46.71,37.5,41.952515
260,-1.0,49.2,39.4,74.4,-1.0,-1.0,-1.0,26.0,34.53,26.6,34.071007
261,44.3,-1.0,-1.0,86.9,55.39,65.092,-1.0,61.7,47.21,32.6,45.810474
262,-1.0,26.93,20.36,23.46,-1.0,167.66,38.26,13.74,14.68,30.51,22.07508
263,24.3,-1.0,-1.0,68.6,72.0,34.441,52.23,-1.0,16.55,22.3,15.807205
264,-1.0,-1.0,90.8,100.5,66.12,111.73,67.0,54.4,38.7,68.6,37.69371
265,-1.0,21.1,35.7,55.7,69.13,67.006,44.3,-1.0,27.9,22.5,30.234146
266,-1.0,-1.0,7.1,7.6,7.35,18.556,14.9,13.5,4.2,5.9,8.822168
267,-1.0,39.7,31.8,188.1,220.46,141.43,67.0,59.0,70.81,23.3,39.49308
268,-1.0,51.2,21.1,92.4,126.26,168.26,48.3,-1.0,42.8,41.9,46.80273
269,-1.0,7.5,29.7,23.6,-1.0,-1.0,-1.0,-1.0,24.2,39.4,25.225784
270,-1.0,64.9,36.2,370.9,130.53,259.53,61.0,53.2,164.95,31.6,54.182625
271,21.3,9.7,-1.0,31.1,26.23,57.159,23.3,19.0,15.96,23.2,14.311996
272,51.89,87.2,51.83,-1.0,-1.0,-1.0,73.64,56.92,94.0,111.9,88.256645
273,14.0,32.5,-1.0,-1.0,23.8,23.776,38.95,-1.0,19.33,10.6,16.26032
274,-1.0,71.2,95.9,197.0,106.75,108.66,71.9,-1.0,66.5,69.2,73.983864
275,31.2,20.4,-1.0,48.9,29.56,66.155,26.8,14.9,19.09,25.0,20.14103
276,55.1,-1.0,-1.0,147.0,80.81,89.295,64.0,54.7,50.69,45.4,43.755966
277,-1.0,43.9,38.4,37.2,-1.0,110.06,43.3,45.8,36.3,47.0,38.605076
278,-1.0,60.1,69.9,59.0,-1.0,85.156,64.1,130.0,86.6,72.3,66.09951
279,-1.0,32.4,83.6,155.6,-1.0,-1.0,57.83,45.9,38.39,54.9,43.9457
