,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
143,-1.0,-1.0,25.29,33.87,-1.0,52.48,-1.0,-1.0,-1.0,53.21,28.455153
144,-1.0,22.8,-1.0,64.7,-1.0,52.09,67.99,-1.0,-1.0,78.7,57.188087
145,-1.0,79.2,-1.0,-1.0,-1.0,-1.0,68.54,39.1,67.28,71.4,78.080154
146,-1.0,17.5,64.1,-1.0,13.9,-1.0,62.27,10.8,12.93,22.5,38.438755
147,22.69,13.5,17.96,-1.0,14.55,-1.0,8.25,10.07,14.46,13.11,12.556717
148,31.2,36.28,-1.0,-1.0,32.63,37.97,30.0,40.25,37.91,31.9,32.828575
149,-1.0,-1.0,58.05,-1.0,-1.0,69.86,-1.0,-1.0,-1.0,40.11,41.676254
150,-1.0,64.2,140.9,-1.0,-1.0,-1.0,68.0,-1.0,82.54,90.7,61.466713
151,-1.0,-1.0,36.04,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.43,26.775076
152,-1.0,14.0,57.4,24.1,-1.0,50.9,-1.0,-1.0,-1.0,42.2,55.558502
153,-1.0,19.1,46.3,-1.0,13.8,-1.0,-1.0,11.2,18.48,28.6,34.64002
154,-1.0,61.6,97.0,137.32,73.7,130.23,56.5,-1.0,51.4,49.3,79.31345
155,-1.0,-1.0,-1.0,-1.0,-1.0,89.57,-1.0,-1.0,-1.0,12.57,29.018284
156,-1.0,1.9,69.8,-1.0,-1.0,-1.0,-1.0,-1.0,32.66,17.4,38.66244
157,-1.0,-1.0,113.6,-1.0,-1.0,88.15,-1.0,-1.0,-1.0,46.7,59.428757
158,-1.0,15.3,11.1,-1.0,-1.0,-1.0,-1.0,-1.0,12.91,19.1,21.346378
159,-1.0,12.3,18.2,-1.0,-1.0,-1.0,97.62,-1.0,25.75,14.5,39.239735
160,-1.0,34.3,-1.0,-1.0,25.6,-1.0,105.18,25.2,39.84,38.0,59.04311
161,-1.0,-1.0,32.35,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.8,25.432209
162,-1.0,31.6,81.7,-1.0,48.1,-1.0,83.5,29.7,56.54,93.6,60.98097
163,13.37,52.19,-1.0,-1.0,52.5,53.98,41.29,14.14,29.45,84.17,44.14032
164,-1.0,37.8,32.8,29.95,29.4,62.871,48.4,39.5,30.4,40.1,40.883915
165,-1.0,-1.0,30.7,52.11,29.2,152.33,26.2,48.7,35.7,28.5,26.955576
166,-1.0,-1.0,25.18,-1.0,-1.0,100.79,-1.0,-1.0,-1.0,33.28,24.821846
167,35.61,76.43,-1.0,53.42,57.09,70.14,56.21,59.98,46.32,56.92,65.62463
168,-1.0,54.5,249.3,68.89,42.5,180.87,36.2,-1.0,37.5,59.7,64.592285
169,-1.0,50.3,62.5,53.55,43.7,88.037,48.3,-1.0,77.0,60.1,50.484657
170,26.42,55.49,-1.0,57.93,18.73,-1.0,20.25,26.45,27.89,21.2,47.092186
171,-1.0,-1.0,10.0,16.93,3.1,21.169,19.2,14.8,11.9,7.3,12.704796
172,-1.0,54.3,117.6,47.93,55.4,81.968,-1.0,-1.0,38.1,40.5,107.89457
173,7.34,19.33,-1.0,38.1,20.24,101.11,11.52,10.42,16.5,28.46,11.619405
174,-1.0,92.3,315.2,201.67,42.2,318.27,203.3,137.8,225.66,62.7,129.90688
175,-1.0,13.8,124.7,-1.0,-1.0,-1.0,-1.0,9.5,25.27,87.7,46.99717
176,-1.0,-1.0,21.5,34.66,25.1,49.435,23.1,24.7,24.8,14.4,23.655317
177,-1.0,30.8,54.1,-1.0,23.7,-1.0,-1.0,21.6,19.84,45.9,41.14133
178,-1.0,-1.0,75.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.47,42.44001
179,-1.0,19.4,26.3,20.0,20.5,36.71,13.59,-1.0,-1.0,17.3,20.074677
180,-1.0,27.5,92.2,-1.0,23.0,70.544,35.1,-1.0,26.3,44.1,39.96508
181,-1.0,-1.0,203.9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.24,69.86204
182,23.54,19.36,-1.0,-1.0,20.62,96.52,28.94,26.32,27.63,32.47,33.086594
183,-1.0,27.2,15.9,-1.0,-1.0,-1.0,17.34,-1.0,12.3,8.4,16.383532
184,-1.0,54.0,120.6,-1.0,52.1,121.51,55.2,-1.0,45.0,63.4,55.438538
185,-1.0,-1.0,37.8,42.52,23.3,84.313,28.3,43.1,24.4,18.0,26.696148
186,-1.0,29.8,38.5,-1.0,-1.0,-1.0,31.2,-1.0,0.9,46.1,42.837845
187,-1.0,-1.0,5.27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.31,7.2011495
188,-1.0,21.9,14.2,-1.0,-1.0,-1.0,24.5,-1.0,22.32,19.5,20.724632
189,-1.0,-1.0,76.2,36.11,28.2,37.144,55.6,44.1,45.6,45.0,43.292435
190,10.62,22.02,-1.0,-1.0,24.65,21.14,31.23,20.34,25.09,31.06,32.212635
191,-1.0,27.5,54.5,73.51,-1.0,56.835,23.1,-1.0,16.7,13.0,37.14124
192,-1.0,-1.0,22.3,-1.0,-1.0,-1.0,24.87,-1.0,14.98,16.7,25.976439
193,-1.0,25.8,18.6,-1.0,-1.0,-1.0,-1.0,-1.0,28.28,20.9,42.262905
194,-1.0,63.7,114.2,75.13,89.7,147.47,88.1,-1.0,57.8,82.7,94.19457
195,-1.0,14.3,-1.0,-1.0,22.0,-1.0,-1.0,-1.0,15.93,6.1,26.782053
196,-1.0,36.6,121.1,-1.0,38.7,72.644,36.6,45.2,-1.0,44.6,54.060593
197,-1.0,19.5,34.4,-1.0,-1.0,-1.0,14.89,-1.0,-1.0,22.6,35.295494
198,-1.0,3.7,189.9,-1.0,-1.0,-1.0,-1.0,21.0,45.96,75.5,60.020775
199,-1.0,33.4,80.8,-1.0,42.3,-1.0,32.19,33.6,22.15,43.9,52.178165
200,-1.0,74.3,114.1,76.7,-1.0,100.35,-1.0,-1.0,-1.0,116.5,108.727684
201,4.85,18.0,-1.0,-1.0,28.37,93.54,18.16,13.31,15.84,19.44,23.169304
202,-1.0,86.7,-1.0,-1.0,50.0,-1.0,-1.0,-1.0,23.61,27.3,31.728497
203,-1.0,33.0,42.3,-1.0,-1.0,-1.0,-1.0,-1.0,8.82,21.1,37.47028
204,-1.0,-1.0,45.8,41.13,27.5,81.116,22.2,52.1,20.9,21.3,24.72039
205,-1.0,-1.0,287.74,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,81.65,86.57507
206,-1.0,35.9,52.5,-1.0,40.9,-1.0,35.43,22.5,23.23,81.4,41.85385
207,-1.0,-1.0,34.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.56,26.34985
