,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
112,56.3,17.8,29.3,41.0,30.3,86.882,28.5,-1.0,29.49,53.81,45.863262
113,-1.0,-1.0,-1.0,-1.0,-1.0,59.004,26.41,-1.0,19.8,35.2,34.195213
114,-1.0,37.8,73.8,238.2,33.2,267.37,79.7,-1.0,57.3,101.51,142.03198
115,-1.0,40.1,52.6,57.8,54.1,64.396,41.9,-1.0,54.9,41.96,61.60338
116,-1.0,42.5,66.6,96.8,44.8,124.84,59.6,-1.0,31.2,64.48,89.937294
117,43.8,58.6,-1.0,43.8,36.5,55.563,-1.0,69.6,35.51,49.43,44.802414
118,-1.0,-1.0,-1.0,27.1,44.2,58.876,83.2,44.4,34.1,32.34,64.491974
119,39.0,46.5,43.6,49.1,35.4,69.454,44.1,49.1,53.53,55.17,68.71197
120,-1.0,40.2,86.7,131.7,76.3,133.21,88.0,52.9,111.96,77.44,152.01878
121,40.14,34.03,-1.0,-1.0,43.82,-1.0,29.77,25.98,12.11,61.68,75.23434
122,-1.0,16.6,4.6,31.1,26.1,66.078,16.4,23.6,12.34,29.97,23.256586
123,-1.0,9.9,-1.0,-1.0,-1.0,24.402,16.68,-1.0,16.75,15.7,23.674246
124,-1.0,-1.0,17.89,64.99,-1.0,-1.0,-1.0,-1.0,-1.0,34.93,74.77058
125,-1.0,49.0,80.3,309.3,37.9,64.287,75.6,-1.0,63.9,52.51,88.762566
126,11.2,-1.0,-1.0,43.4,22.6,41.107,-1.0,24.6,28.2,37.24,32.131817
127,-1.0,-1.0,-1.0,32.7,17.2,52.569,20.5,30.7,25.4,26.43,34.89549
128,-1.0,48.1,49.1,92.6,37.6,81.903,49.5,-1.0,41.4,75.59,66.09231
129,-1.0,41.9,104.1,229.5,113.5,173.24,110.6,118.1,91.5,317.33,186.40149
130,-1.0,22.7,-1.0,-1.0,-1.0,35.845,22.03,-1.0,21.85,22.9,27.93691
131,-1.0,49.2,61.5,84.5,-1.0,35.137,-1.0,-1.0,-1.0,74.2,81.358894
132,36.7,24.4,41.5,73.8,25.5,48.604,35.2,24.3,19.3,118.56,48.636612
133,-1.0,-1.0,-1.0,82.8,21.6,109.06,42.9,32.4,34.0,48.99,50.437668
134,86.0,58.1,105.9,384.9,75.1,220.55,128.0,-1.0,184.41,299.76,241.0113
135,-1.0,26.1,23.8,54.7,22.3,40.949,28.4,-1.0,25.6,33.81,38.70003
136,-1.0,52.1,111.6,-1.0,-1.0,86.787,68.11,-1.0,-1.0,43.3,103.54202
137,-1.0,-1.0,27.37,40.8,-1.0,99.73,-1.0,-1.0,-1.0,9.57,34.29104
138,69.9,49.6,-1.0,163.1,31.4,114.43,-1.0,42.1,32.02,56.22,76.203865
139,54.6,40.9,-1.0,99.5,23.2,77.53,36.3,26.7,30.79,44.57,65.784195
140,15.9,14.8,-1.0,-1.0,16.0,48.757,16.75,-1.0,17.5,29.3,40.057873
141,-1.0,15.6,26.4,42.1,17.9,55.177,22.9,19.0,18.1,43.67,31.40519
142,-1.0,-1.0,-1.0,35.2,24.9,79.708,23.5,10.6,23.9,44.27,44.263054
143,18.3,10.5,-1.0,27.8,14.0,33.626,22.06,-1.0,15.51,39.0,33.678032
144,-1.0,-1.0,-1.0,35.3,27.5,45.875,25.4,30.8,38.2,39.58,31.799143
145,-1.0,77.6,79.0,38.5,63.8,102.68,59.5,-1.0,64.3,118.99,132.79027
146,55.9,43.7,-1.0,66.6,47.0,89.251,-1.0,61.8,32.29,89.04,63.46178
147,-1.0,37.0,47.5,80.7,32.8,74.058,58.1,66.0,50.2,57.98,95.48742
148,-1.0,-1.0,-1.0,-1.0,-1.0,38.939,-1.0,-1.0,14.94,23.6,27.495987
149,29.4,-1.0,-1.0,-1.0,24.4,56.573,73.75,-1.0,33.9,92.7,42.729874
150,21.38,33.84,26.58,-1.0,29.76,124.45,13.77,20.47,27.83,86.09,88.995384
151,-1.0,-1.0,24.0,45.0,24.5,44.235,40.9,28.5,40.9,67.66,42.23169
152,-1.0,-1.0,50.7,129.5,40.6,71.519,47.3,59.0,42.3,41.96,84.70887
153,26.3,32.9,-1.0,59.6,23.2,78.364,-1.0,25.0,23.38,35.31,39.002865
154,35.3,27.4,-1.0,38.1,19.9,-1.0,48.07,-1.0,33.61,57.1,53.376
155,-1.0,-1.0,117.2,107.3,31.0,142.35,6.46,-1.0,-1.0,73.6,40.728256
156,-1.0,58.0,20.3,220.5,34.5,178.8,36.8,117.8,35.5,130.48,134.1442
157,-1.0,41.2,43.7,56.7,42.0,135.16,31.64,-1.0,-1.0,58.8,71.222015
158,67.5,48.4,-1.0,59.8,23.2,81.888,58.8,51.7,61.32,63.34,67.06133
159,-1.0,50.6,66.3,224.2,47.7,112.71,54.5,-1.0,45.7,109.09,80.52416
160,-1.0,-1.0,-1.0,27.9,12.0,31.28,20.2,17.3,14.0,30.05,25.350763
161,-1.0,-1.0,-1.0,81.4,17.2,73.347,20.8,15.6,15.1,20.08,31.33647
162,38.6,52.1,31.9,200.2,44.2,194.14,61.8,76.3,118.02,167.2,195.47014
163,32.7,-1.0,-1.0,49.0,27.7,80.083,39.4,44.6,42.25,57.67,51.1397
164,20.3,43.7,-1.0,25.0,18.5,33.3,45.72,-1.0,27.8,28.9,30.940771
165,-1.0,-1.0,-1.0,-1.0,-1.0,10.339,16.45,-1.0,4.24,9.4,26.455305
166,14.0,12.7,-1.0,21.6,14.2,-1.0,30.23,-1.0,19.23,20.9,26.675419
167,-1.0,49.5,67.1,147.5,67.5,156.46,-1.0,-1.0,55.0,110.66,124.36718
168,-1.0,32.4,49.9,75.3,23.1,110.85,35.1,18.9,36.53,36.44,71.94823
169,-1.0,21.0,39.8,58.7,50.1,64.369,32.6,-1.0,20.6,46.37,39.028873
170,-1.0,30.2,38.9,32.2,40.2,78.265,95.3,43.5,33.0,32.45,80.944565
171,-1.0,-1.0,-1.0,14.56,-1.0,34.2,-1.0,-1.0,-1.0,63.89,28.173405
172,-1.0,102.4,102.9,207.8,57.4,223.77,83.6,72.7,92.2,154.25,268.26508
173,32.4,18.5,-1.0,45.6,24.9,80.645,26.5,24.2,22.58,25.3,27.626322
174,-1.0,29.6,37.9,-1.0,-1.0,79.165,13.13,-1.0,-1.0,35.5,128.47292
175,-1.0,-1.0,27.94,23.88,-1.0,102.44,-1.0,-1.0,-1.0,38.57,26.777819
176,-1.0,50.7,39.9,146.6,44.7,182.7,89.2,168.0,86.5,124.49,192.7112
177,-1.0,-1.0,41.7,49.5,16.8,46.124,23.6,26.0,25.4,33.04,46.676098
178,91.6,82.7,45.4,69.7,63.3,147.35,69.3,98.4,86.91,149.29,129.8557
179,25.11,33.62,54.64,-1.0,34.95,20.5,53.83,27.42,43.57,13.4,44.86924
180,31.81,19.68,31.49,-1.0,16.7,105.88,29.1,31.79,27.4,40.27,35.88399
181,34.6,26.7,-1.0,52.9,26.8,66.288,-1.0,33.4,32.37,57.04,51.761314
182,25.7,20.0,-1.0,29.1,14.8,-1.0,20.57,-1.0,16.47,43.4,41.068966
183,10.6,-1.0,-1.0,14.1,5.4,24.553,13.1,8.6,12.95,13.08,28.249338
184,-1.0,-1.0,-1.0,11.1,18.1,13.205,18.9,14.0,23.3,20.52,16.813885
185,-1.0,-1.0,43.7,77.0,29.8,109.39,31.6,36.0,22.3,97.92,69.2385
186,-1.0,-1.0,29.9,25.9,21.7,83.092,30.4,71.3,38.7,48.69,51.44791
187,-1.0,-1.0,-1.0,12.3,16.8,18.192,7.4,14.6,12.0,12.96,11.427162
188,8.6,31.4,-1.0,-1.0,10.9,-1.0,29.26,-1.0,2.15,18.5,14.820558
189,-1.0,7.0,-1.0,-1.0,-1.0,27.741,4.49,-1.0,11.82,10.8,21.962389
190,-1.0,-1.0,-1.0,39.0,25.1,79.595,27.9,53.0,28.8,44.79,45.81017
191,-1.0,79.1,59.3,353.4,39.0,244.61,72.0,67.9,112.79,96.86,213.30904
192,-1.0,13.7,54.6,32.4,16.3,89.316,36.8,27.1,27.73,37.68,48.61582
193,-1.0,-1.0,17.8,86.53,-1.0,-1.0,-1.0,-1.0,-1.0,42.68,139.4907
194,-1.0,-1.0,-1.0,21.5,27.3,35.171,18.5,31.8,24.4,23.21,31.201275
195,-1.0,-1.0,-1.0,79.5,42.4,67.707,46.4,35.4,36.8,93.92,54.236458
196,36.3,19.3,28.2,41.5,20.9,48.712,32.0,35.2,22.91,31.64,28.6506
