,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
114,-1.0,-1.0,-1.0,80.4,71.04,32.0,67.954,28.6,29.6,28.7,27.074776
115,42.7,125.6,-1.0,27.4,69.06,26.1,85.466,-1.0,25.7,32.0,40.94099
116,26.24,-1.0,38.12,-1.0,-1.0,38.37,69.26,32.77,22.81,37.11,33.45508
117,12.7,10.86,9.67,18.32,-1.0,11.39,-1.0,6.1,17.58,13.25,11.072637
118,-1.0,-1.0,-1.0,39.1,43.83,23.6,73.032,24.8,20.8,22.8,23.789785
119,-1.0,73.0,114.9,285.0,279.15,66.1,273.09,110.1,72.7,159.5,135.11206
120,-1.0,21.7,35.7,48.2,39.46,24.8,92.112,29.5,-1.0,27.6,28.302664
121,-1.0,31.5,28.3,78.9,98.26,25.0,107.38,30.6,-1.0,26.8,29.60559
122,-1.0,-1.0,98.2,125.4,-1.0,68.7,-1.0,2.56,78.3,56.43,66.98763
123,34.2,11.1,-1.0,-1.0,29.3,15.4,38.326,24.96,-1.0,22.47,20.210012
124,-1.0,154.4,244.6,394.1,-1.0,205.0,433.26,250.3,-1.0,124.8,178.92409
125,-1.0,77.3,84.0,133.7,68.77,63.5,94.415,75.5,-1.0,48.8,59.427124
126,-1.0,-1.0,-1.0,32.1,19.69,10.5,32.392,10.5,28.9,12.5,17.50607
127,12.9,1.8,-1.0,-1.0,28.5,-1.0,35.418,16.7,-1.0,3.89,12.77755
128,16.2,13.5,-1.0,-1.0,30.9,12.7,41.022,22.54,-1.0,16.9,16.370134
129,35.2,29.6,-1.0,64.3,35.42,23.2,58.313,27.2,30.2,24.05,25.607014
130,-1.0,-1.0,-1.0,-1.0,18.0,-1.0,46.961,28.28,-1.0,21.45,16.191868
131,-1.0,42.7,27.3,62.0,37.08,105.1,65.085,36.7,-1.0,34.3,26.002817
132,-1.0,22.37,-1.0,14.78,-1.0,17.57,60.89,22.87,5.45,11.6,13.393071
133,-1.0,-1.0,70.1,-1.0,86.8,-1.0,69.125,91.31,-1.0,27.32,35.590675
134,99.77,83.15,69.34,-1.0,-1.0,102.88,9.07,77.07,70.19,88.73,87.316536
135,-1.0,29.3,41.0,69.6,-1.0,28.1,70.83,35.8,-1.0,25.3,30.101456
136,26.8,-1.0,-1.0,19.9,45.67,18.0,51.928,19.3,24.9,20.46,20.098366
137,-1.0,40.7,31.0,48.1,51.83,37.5,65.969,43.2,-1.0,37.5,41.206398
138,-1.0,26.1,59.0,59.0,-1.0,33.3,-1.0,-1.0,23.3,23.3,29.743622
139,-1.0,26.2,37.3,66.0,-1.0,29.5,72.767,36.1,26.1,28.9,30.379295
140,75.22,61.08,47.89,138.02,-1.0,-1.0,-1.0,54.32,51.98,43.21,49.058
141,-1.0,20.3,42.3,17.2,-1.0,-1.0,-1.0,55.89,-1.0,23.84,19.92767
142,40.4,26.8,-1.0,24.9,39.5,20.1,58.454,22.2,-1.0,24.34,21.15709
143,-1.0,32.2,56.2,39.3,87.9,43.3,53.203,68.3,-1.0,43.9,53.13968
