,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
1600,27.4,-1.0,37.6,58.5,29.6,-1.0,43.08,-1.0,20.84,29.7,34.37891
1601,41.61,32.57,41.21,-1.0,29.62,34.3,30.13,24.51,-1.0,26.56,23.598675
1602,45.83,36.41,37.35,-1.0,32.17,-1.0,33.92,33.67,27.72,25.45,38.099236
1603,73.72,69.16,216.99,-1.0,94.89,119.48,82.46,54.87,80.31,67.17,47.948036
1604,18.3,26.2,52.0,33.84,27.6,82.589,31.3,27.2,31.45,41.5,32.90393
1605,35.0,-1.0,40.6,70.24,35.8,132.79,-1.0,28.9,33.29,31.3,37.583733
1606,21.77,19.53,-1.0,103.12,34.73,51.66,36.26,13.76,40.79,14.78,19.274258
1607,-1.0,-1.0,91.9,49.22,39.6,99.559,72.1,51.9,67.39,42.7,55.129776
1608,53.6,-1.0,77.9,57.4,15.9,50.305,-1.0,-1.0,33.33,45.3,19.285652
1609,30.2,-1.0,26.0,29.2,19.5,58.914,38.3,37.7,28.05,22.9,43.256435
1610,23.93,70.6,-1.0,-1.0,25.47,191.15,38.47,46.03,32.5,41.86,25.030159
1611,60.54,-1.0,-1.0,-1.0,36.75,91.07,41.04,65.58,46.04,34.55,46.3466
1612,-1.0,-1.0,45.6,-1.0,18.7,-1.0,31.2,64.7,40.7,14.5,13.717343
1613,65.59,28.63,-1.0,24.29,40.31,15.65,38.54,50.39,39.54,28.34,42.77998
1614,41.6,-1.0,51.0,120.25,35.5,109.68,-1.0,45.6,36.62,25.3,53.45971
1615,47.4,-1.0,48.4,81.99,30.6,70.475,22.8,25.8,32.32,21.2,25.327147
1616,25.37,48.1,-1.0,-1.0,23.23,53.73,65.6,32.75,31.82,24.37,37.549183
1617,-1.0,-1.0,89.5,78.44,-1.0,76.859,-1.0,45.0,45.61,46.6,60.429726
1618,54.9,-1.0,46.9,33.7,34.0,44.106,48.45,-1.0,39.85,19.4,7.189374
1619,53.3,-1.0,103.2,61.38,37.0,128.89,-1.0,53.8,52.77,54.6,51.219097
1620,20.34,-1.0,-1.0,-1.0,29.33,95.18,22.46,26.1,31.33,25.14,22.176947
1621,-1.0,-1.0,91.3,-1.0,48.4,160.53,77.4,119.3,-1.0,96.2,60.391033
1622,50.5,-1.0,21.4,36.6,17.2,45.144,30.23,-1.0,27.41,18.1,27.224413
1623,87.42,50.53,-1.0,-1.0,66.72,152.26,56.58,79.92,96.01,62.59,56.710594
1624,52.2,-1.0,61.8,133.36,23.2,69.19,114.0,34.1,49.62,58.7,27.732786
1625,16.6,11.31,22.17,-1.0,9.06,-1.0,7.64,18.06,11.42,16.61,14.894947
1626,33.95,30.61,31.31,-1.0,40.36,-1.0,38.89,33.02,34.74,28.91,24.014969
1627,141.98,78.4,-1.0,-1.0,110.29,51.66,85.97,139.79,115.82,101.65,77.89935
1628,31.9,-1.0,60.2,43.45,29.7,59.879,-1.0,23.9,51.39,30.4,30.386425
1629,-1.0,-1.0,59.7,34.2,30.4,52.99,33.4,23.3,24.98,25.4,31.779379
1630,13.8,-1.0,13.91,-1.0,11.11,-1.0,24.88,8.06,10.82,13.78,13.419484
1631,29.6,-1.0,-1.0,26.4,15.1,53.436,42.67,-1.0,15.45,16.4,16.186367
1632,36.49,88.05,-1.0,-1.0,51.98,31.5,44.92,42.22,34.64,31.18,31.485107
1633,12.33,17.14,-1.0,34.45,23.64,61.8,19.15,13.97,24.74,3.8,5.855669
1634,25.03,18.68,33.51,-1.0,20.65,-1.0,29.94,10.47,15.04,26.33,15.346917
1635,26.0,-1.0,55.2,43.67,29.3,53.187,34.1,37.8,27.84,44.8,36.230225
1636,44.84,28.26,-1.0,-1.0,54.83,-1.0,40.46,37.38,60.48,29.35,29.19319
1637,66.7,-1.0,62.4,40.63,37.0,85.928,-1.0,50.0,51.42,38.2,41.03078
1638,85.48,58.95,-1.0,68.13,62.15,197.41,87.68,31.95,89.19,28.44,46.79583
1639,42.6,-1.0,30.1,11.9,-1.0,35.583,13.96,-1.0,8.41,9.2,22.725887
1640,18.1,-1.0,58.2,38.83,25.5,56.014,41.6,24.1,34.55,39.2,29.555573
1641,27.0,-1.0,61.2,72.84,23.2,81.07,34.5,14.4,29.4,20.0,25.898575
1642,11.2,-1.0,37.5,46.7,-1.0,35.516,0.0,-1.0,36.59,21.2,22.164795
1643,35.79,45.29,55.66,-1.0,35.97,-1.0,35.33,27.0,33.69,22.54,23.697727
1644,11.9,-1.0,21.3,35.7,11.6,29.207,13.44,-1.0,11.79,22.1,14.628795
1645,-1.0,-1.0,157.7,131.01,26.8,128.99,60.7,39.8,73.13,47.0,47.901283
1646,103.72,-1.0,-1.0,36.13,96.88,100.29,83.05,56.26,96.59,27.68,43.404724
1647,-1.0,-1.0,8.7,-1.0,7.4,29.687,6.74,20.8,3.62,10.1,8.828808
1648,32.48,37.42,-1.0,-1.0,33.24,24.86,28.91,20.91,24.12,17.86,20.971428
1649,-1.0,29.2,79.7,28.02,27.8,54.506,42.0,51.3,43.91,33.6,22.183897
1650,41.4,-1.0,92.9,90.18,54.7,190.32,-1.0,48.1,63.34,53.3,58.05611
1651,28.1,33.6,91.7,33.0,39.7,57.233,34.4,23.5,31.14,34.8,20.24278
1652,-1.0,-1.0,59.9,67.71,23.8,47.193,25.5,26.8,33.2,22.9,29.256945
1653,-1.0,-1.0,27.7,-1.0,11.1,30.965,41.84,51.1,12.13,6.4,13.377338
1654,-1.0,-1.0,25.5,27.28,17.9,52.723,21.8,9.1,19.4,24.5,21.105509
1655,23.0,-1.0,32.1,34.2,14.7,35.35,21.21,-1.0,16.5,31.1,22.067898
1656,34.1,-1.0,12.5,-1.0,11.6,46.328,12.16,25.5,19.72,39.5,26.074411
1657,-1.0,-1.0,-1.0,38.0,29.7,66.156,31.51,-1.0,45.75,31.3,30.03251
1658,25.6,-1.0,49.3,60.89,36.9,52.018,59.6,39.7,44.28,39.4,54.679104
1659,26.6,-1.0,53.9,44.94,43.4,58.731,-1.0,27.4,32.93,42.8,33.63147
1660,101.58,53.5,-1.0,32.96,81.75,48.82,64.34,96.84,71.96,79.8,60.708714
1661,15.1,-1.0,52.8,-1.0,26.1,58.828,45.43,-1.0,29.44,25.0,34.588184
1662,32.8,-1.0,77.2,105.35,40.6,93.738,-1.0,36.6,58.6,35.0,43.367634
1663,-1.0,-1.0,34.3,33.22,31.7,85.656,29.4,29.0,26.18,35.6,31.911388
1664,63.2,-1.0,69.6,63.89,32.7,115.83,-1.0,63.9,52.98,58.0,45.18592
1665,-1.0,-1.0,27.4,-1.0,12.7,16.829,18.4,8.4,12.6,33.3,10.947109
1666,-1.0,-1.0,159.9,67.87,35.5,88.822,57.2,35.3,44.58,49.2,51.86106
1667,30.53,32.15,-1.0,121.76,21.96,109.76,34.35,6.43,26.41,17.29,19.115826
1668,39.53,27.67,26.33,-1.0,31.89,-1.0,24.37,31.47,31.64,30.81,31.90106
1669,15.85,-1.0,-1.0,-1.0,11.87,28.99,29.34,12.1,30.32,14.29,10.695673
1670,29.35,52.62,81.63,-1.0,38.49,-1.0,47.05,-1.0,36.36,14.97,35.42985
1671,8.8,-1.0,-1.0,35.7,13.9,52.551,33.29,-1.0,21.58,32.7,24.029549
1672,37.63,10.69,13.11,-1.0,45.37,205.1,42.88,13.6,13.32,26.44,21.514013
1673,10.56,23.06,34.25,-1.0,15.47,-1.0,14.81,17.65,34.02,31.49,18.256422
1674,32.34,22.85,-1.0,33.29,22.76,-1.0,20.93,14.49,33.0,10.71,10.781066
1675,-1.0,-1.0,86.9,55.39,32.6,65.092,-1.0,61.7,47.21,44.3,49.05899
1676,-1.0,-1.0,89.4,-1.0,59.6,185.97,86.5,125.6,-1.0,80.9,72.89661
1677,-1.0,38.66,-1.0,37.83,33.06,32.34,26.2,41.16,35.55,21.79,37.9481
1678,-1.0,-1.0,-1.0,51.8,22.8,47.82,29.83,-1.0,28.35,25.5,38.020542
1679,43.33,31.64,-1.0,69.81,37.89,132.13,24.56,30.25,37.88,23.22,23.624899
1680,11.2,29.1,33.0,27.68,24.7,59.477,24.4,6.8,20.36,15.9,9.245835
1681,-1.0,-1.0,43.5,36.44,31.3,56.433,-1.0,11.2,34.07,28.3,33.953915
1682,33.0,-1.0,83.1,44.57,27.0,72.338,-1.0,37.1,36.95,34.4,37.7599
1683,28.83,45.65,-1.0,-1.0,24.77,50.7,27.34,21.75,24.53,19.18,17.564693
1684,144.73,77.38,-1.0,43.05,96.45,24.0,127.44,92.82,135.89,83.61,90.05617
1685,28.49,29.34,-1.0,69.32,23.65,151.33,23.72,12.3,23.39,16.09,12.788481
1686,30.0,-1.0,42.9,31.5,10.9,22.124,36.95,-1.0,12.82,15.0,13.050459
1687,35.54,63.45,-1.0,-1.0,27.19,104.76,52.7,22.69,60.35,27.09,18.936752
1688,-1.0,-1.0,174.7,128.41,49.8,85.93,60.4,76.7,-1.0,70.2,75.2154
1689,-1.0,-1.0,-1.0,75.21,94.61,15.1,112.28,85.73,76.44,98.26,70.619804
1690,8.05,16.68,-1.0,-1.0,9.78,59.23,12.62,6.83,10.73,4.14,7.4018545
1691,19.1,-1.0,50.0,84.0,21.7,73.065,35.8,-1.0,26.38,18.5,30.01847
1692,-1.0,-1.0,62.4,40.3,32.0,51.886,39.2,35.3,28.51,32.2,33.38689
1693,60.92,-1.0,-1.0,53.68,40.53,116.29,43.51,33.94,67.75,31.84,44.493702
1694,29.16,26.74,-1.0,-1.0,29.98,34.79,32.43,15.95,38.92,22.22,11.673739
1695,-1.0,-1.0,115.5,-1.0,47.7,151.48,64.3,73.3,-1.0,47.7,44.28046
1696,17.98,-1.0,-1.0,-1.0,16.42,89.68,25.72,27.73,24.91,22.41,22.211346
1697,14.72,16.49,11.49,-1.0,18.74,-1.0,31.04,21.51,20.82,42.41,18.725769
1698,20.4,18.5,-1.0,-1.0,11.91,15.03,27.02,-1.0,17.34,8.64,14.965847
1699,19.7,-1.0,17.6,-1.0,18.5,13.113,24.63,4.5,17.86,16.2,17.31027
1700,26.1,-1.0,70.7,31.74,77.3,78.11,-1.0,37.8,27.8,29.8,40.787575
1701,40.63,24.49,-1.0,-1.0,41.5,32.18,21.85,29.73,26.2,29.88,19.630922
1702,17.28,10.33,-1.0,-1.0,12.74,72.69,0.95,13.89,13.14,6.14,3.744714
1703,59.0,-1.0,107.3,71.33,52.9,78.073,59.5,48.6,50.54,51.0,56.006813
1704,-1.0,-1.0,14.9,16.8,13.0,32.946,16.32,-1.0,9.04,7.4,15.454653
1705,8.89,9.32,-1.0,108.7,10.9,45.88,9.0,5.42,13.17,2.25,8.981872
1706,23.32,22.58,-1.0,-1.0,21.02,25.61,21.48,14.63,18.27,16.85,13.734869
1707,25.93,20.6,-1.0,-1.0,18.54,36.85,25.97,17.45,21.3,19.18,13.369091
1708,-1.0,-1.0,-1.0,38.5,16.4,41.312,47.31,-1.0,26.62,29.5,31.80082
