,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,AGU_med,AGU_pred
809,33.3,-1.0,118.9,171.08,39.2,158.42,62.8,49.2,57.27,41.1,47.999924
810,36.6,22.94,-1.0,44.53,27.45,109.31,18.79,15.44,37.89,22.0,12.773491
811,-1.0,-1.0,67.0,47.88,47.8,89.112,47.2,42.2,44.74,53.3,41.95766
812,-1.0,-1.0,151.6,47.94,70.2,219.05,94.8,57.5,89.68,65.3,72.88906
813,39.4,-1.0,87.7,48.37,45.9,57.356,-1.0,37.8,34.7,46.7,32.263493
814,49.5,-1.0,84.9,44.08,54.2,72.649,-1.0,45.4,39.21,47.9,37.310097
815,14.0,43.9,70.4,58.22,30.2,112.18,39.7,38.1,45.68,67.2,42.117325
816,93.41,75.85,-1.0,36.14,71.78,104.87,69.62,53.64,81.96,79.62,52.314114
817,37.32,30.13,-1.0,-1.0,44.95,51.05,58.3,19.74,51.07,24.43,17.079218
818,-1.0,94.3,116.4,118.28,85.7,197.02,66.8,103.0,93.62,134.5,91.47681
819,23.73,31.97,-1.0,55.46,30.56,-1.0,26.14,37.26,34.56,49.21,25.068178
820,20.93,38.48,-1.0,-1.0,23.01,102.52,30.24,19.92,24.64,19.02,14.834229
821,34.84,65.75,-1.0,-1.0,54.58,60.75,37.69,29.52,52.38,41.23,23.419394
822,23.0,23.9,33.6,47.83,31.0,-1.0,31.9,34.6,30.86,45.4,21.915976
823,-1.0,39.52,-1.0,44.33,16.19,47.13,22.5,13.84,15.47,13.19,10.683429
824,47.0,-1.0,34.7,27.9,17.3,59.347,37.56,-1.0,26.36,13.6,17.200533
825,52.89,-1.0,-1.0,-1.0,66.76,86.05,63.02,26.24,81.39,30.63,21.04276
826,66.3,-1.0,176.1,184.97,64.8,155.35,-1.0,78.6,68.05,68.6,71.98109
827,-1.0,-1.0,30.0,30.45,13.5,68.376,26.1,26.2,26.84,31.3,30.107319
828,4.0,-1.0,-1.0,30.0,6.8,20.162,36.47,-1.0,14.26,13.9,13.559269
829,62.84,58.38,-1.0,-1.0,44.32,199.12,38.24,51.05,60.17,38.48,38.27688
830,25.8,-1.0,25.8,-1.0,14.3,36.838,26.57,37.3,25.11,29.4,31.796892
831,76.64,82.67,-1.0,-1.0,61.22,125.66,79.62,66.5,87.57,53.78,61.62993
832,-1.0,-1.0,10.3,-1.0,2.6,5.811,18.63,7.9,6.81,0.9,4.839053
833,35.9,-1.0,19.3,32.8,13.1,27.687,15.63,-1.0,15.56,18.6,18.305616
834,15.6,-1.0,9.4,6.8,-1.0,17.947,12.53,-1.0,13.4,4.9,6.9184523
835,53.22,39.19,-1.0,-1.0,55.41,160.18,39.61,29.12,51.57,39.21,36.599182
836,-1.0,-1.0,46.6,-1.0,17.7,73.877,36.8,5.6,40.8,13.5,42.853245
837,101.78,-1.0,-1.0,-1.0,62.38,160.29,82.45,31.71,94.84,51.94,37.412346
838,34.1,-1.0,34.6,23.4,17.9,-1.0,-1.0,46.0,30.8,23.9,11.675127
839,-1.0,-1.0,144.1,148.64,55.5,96.31,75.9,52.2,62.37,56.0,43.947025
840,28.13,20.5,-1.0,-1.0,18.0,53.69,25.65,26.82,20.74,14.84,29.971727
841,30.7,-1.0,76.7,52.9,43.5,96.016,-1.0,31.8,38.49,44.4,35.577072
842,42.35,26.8,-1.0,147.02,45.77,121.34,39.62,53.54,43.01,43.8,46.03733
843,28.26,-1.0,-1.0,-1.0,25.84,108.6,20.95,28.06,41.03,19.85,18.378706
844,26.63,27.01,45.1,-1.0,28.07,31.07,16.32,21.88,-1.0,10.3,20.54617
845,-1.0,-1.0,89.0,-1.0,44.1,123.46,81.2,54.0,-1.0,38.1,39.1412
