,AGU,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,ATM_med,ATM_pred
103,-1.0,66.5,99.7,-1.0,-1.0,-1.0,10.56,29.3,27.1,7.8,34.99043
104,25.7,-1.0,28.0,70.61,19.3,38.215,-1.0,18.4,32.75,10.8,24.955791
105,-1.0,-1.0,-1.0,19.6,-1.0,13.452,24.58,-1.0,11.9,6.9,18.265533
106,41.1,-1.0,53.9,48.8,25.7,-1.0,51.73,-1.0,37.47,33.0,47.279655
107,31.2,-1.0,-1.0,35.9,17.5,48.562,43.44,-1.0,24.23,15.3,20.28015
108,-1.0,38.7,22.8,-1.0,-1.0,-1.0,7.05,-1.0,20.95,3.9,19.645557
109,-1.0,14.2,12.85,-1.0,-1.0,-1.0,8.46,-1.0,19.72,5.0,19.3913
110,-1.0,53.7,64.1,56.61,33.4,86.302,55.7,-1.0,32.0,29.8,32.07342
111,-1.0,72.9,106.6,-1.0,43.7,-1.0,25.66,34.7,35.55,45.7,37.59277
112,-1.0,30.1,109.2,-1.0,25.2,-1.0,37.75,23.9,30.31,21.6,27.088652
113,-1.0,18.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.6,10.528851
114,-1.0,31.7,53.0,27.1,21.5,47.836,17.56,-1.0,-1.0,16.8,17.554003
115,-1.0,41.5,43.1,-1.0,19.6,46.604,30.4,-1.0,26.7,25.0,22.877295
116,-1.0,101.6,241.6,143.54,89.1,215.92,133.8,-1.0,98.9,111.1,87.76321
117,-1.0,-1.0,-1.0,-1.0,48.6,-1.0,-1.0,-1.0,36.1,77.0,51.558468
118,71.4,-1.0,209.1,180.83,52.6,106.4,-1.0,62.8,70.71,76.5,67.13696
119,-1.0,48.0,50.9,-1.0,-1.0,-1.0,-1.0,20.7,-1.0,25.7,22.537432
120,-1.0,34.9,50.7,-1.0,27.2,-1.0,-1.0,19.5,27.27,6.9,27.06753
121,-1.0,16.5,13.3,-1.0,-1.0,-1.0,94.93,-1.0,8.21,33.1,9.521434
122,-1.0,1.9,19.7,18.8,-1.0,35.395,-1.0,-1.0,-1.0,23.8,16.08183
123,-1.0,42.5,35.6,-1.0,-1.0,-1.0,5.68,-1.0,20.17,16.7,20.56429
124,-1.0,38.9,20.4,-1.0,-1.0,-1.0,-1.0,-1.0,27.01,15.4,35.545437
125,-1.0,29.2,-1.0,8.4,-1.0,36.083,3.9,-1.0,-1.0,14.7,19.600266
126,21.7,-1.0,48.8,46.3,-1.0,32.578,-1.0,-1.0,27.6,6.5,13.3620615
127,-1.0,63.1,80.3,-1.0,50.6,-1.0,106.54,67.0,60.25,27.5,29.356115
128,71.1,88.0,153.5,91.43,44.1,110.74,86.1,47.5,54.23,79.6,64.374374
129,-1.0,13.0,-1.0,17.9,-1.0,39.603,-1.0,-1.0,28.61,29.4,13.782357
130,42.1,40.2,27.3,43.3,26.5,66.731,27.2,41.1,35.32,37.7,26.96383
131,-1.0,20.1,25.9,-1.0,-1.0,-1.0,27.48,-1.0,18.91,34.9,18.84476
132,-1.0,18.8,8.4,-1.0,-1.0,-1.0,36.11,-1.0,33.18,45.4,30.261929
133,43.8,-1.0,42.8,70.46,33.5,139.14,-1.0,39.4,34.2,30.1,39.731323
134,-1.0,23.1,22.2,-1.0,-1.0,-1.0,26.25,-1.0,26.55,17.8,23.239609
135,5.2,-1.0,-1.0,16.2,3.7,17.754,29.55,-1.0,7.83,29.8,33.359543
136,-1.0,50.0,62.8,-1.0,18.5,-1.0,24.7,22.0,25.28,19.1,22.892773
137,-1.0,26.1,57.5,-1.0,-1.0,-1.0,-1.0,-1.0,22.85,14.8,28.221045
138,-1.0,28.9,48.6,27.38,31.6,50.112,19.8,-1.0,13.8,27.7,23.315344
139,-1.0,27.2,13.2,-1.0,-1.0,-1.0,12.88,-1.0,20.78,20.6,12.006164
140,-1.0,1.4,10.9,-1.0,-1.0,-1.0,11.86,-1.0,4.03,5.0,7.3654027
141,-1.0,-1.0,32.2,41.61,31.1,52.288,45.9,32.9,45.11,29.4,27.274887
142,16.2,-1.0,17.6,-1.0,18.5,13.113,24.63,4.5,17.86,19.7,21.681736
143,-1.0,10.6,9.2,-1.0,-1.0,-1.0,34.44,-1.0,20.93,27.0,30.52982
144,-1.0,35.5,41.0,-1.0,13.9,38.427,26.9,-1.0,19.2,19.5,19.919872
145,-1.0,27.9,24.1,30.62,39.6,38.83,46.4,-1.0,41.2,42.7,27.168732
146,-1.0,53.6,90.1,40.74,60.7,62.831,54.1,59.0,73.59,64.8,39.45736
147,-1.0,-1.0,-1.0,41.3,-1.0,26.659,79.16,-1.0,30.3,9.8,47.66708
148,-1.0,-1.0,-1.0,22.2,-1.0,21.031,24.79,-1.0,7.74,26.0,12.448389
149,35.5,-1.0,66.1,54.57,35.6,65.983,-1.0,36.7,31.38,32.7,35.13495
150,-1.0,-1.0,-1.0,30.5,-1.0,44.051,42.36,-1.0,16.27,30.5,28.381416
151,37.7,-1.0,61.9,50.73,42.4,88.864,-1.0,44.0,40.82,27.3,40.14404
152,-1.0,47.7,76.2,-1.0,38.5,199.69,36.5,-1.0,42.0,47.7,51.023018
153,-1.0,41.3,-1.0,26.4,-1.0,38.456,26.22,-1.0,21.25,17.1,17.947456
154,-1.0,65.9,88.4,10.71,64.2,109.22,53.1,-1.0,62.5,59.3,56.61546
155,14.25,23.29,-1.0,-1.0,15.17,29.33,14.08,21.32,17.54,15.0,16.73393
156,-1.0,39.2,45.9,-1.0,24.9,-1.0,20.93,16.1,19.92,41.3,23.90189
157,32.3,-1.0,88.7,152.2,40.0,113.56,60.7,35.6,67.28,29.5,45.67434
158,-1.0,36.1,47.6,40.31,46.7,39.88,34.3,-1.0,32.7,39.4,36.15249
159,29.2,-1.0,101.9,169.43,22.7,115.47,70.9,17.6,29.83,38.3,38.95089
160,-1.0,17.4,22.1,-1.0,8.9,-1.0,28.22,-1.0,18.68,25.9,26.623379
161,-1.0,71.4,134.6,-1.0,24.0,-1.0,46.21,88.2,32.29,45.8,37.38688
162,-1.0,40.8,39.0,40.24,51.3,100.35,33.9,-1.0,38.6,39.6,36.289993
163,-1.0,-1.0,31.4,-1.0,65.6,-1.0,-1.0,18.3,13.75,6.0,16.984884
164,-1.0,51.1,51.9,-1.0,36.3,-1.0,-1.0,40.3,31.05,25.0,29.214546
165,-1.0,50.9,71.5,-1.0,16.3,-1.0,51.29,30.5,40.38,22.7,28.757555
166,23.6,-1.0,53.0,33.23,23.7,77.586,-1.0,28.9,23.95,43.3,29.176773
167,17.9,-1.0,21.3,28.8,-1.0,35.248,-1.0,-1.0,8.92,16.9,11.228504
168,70.6,-1.0,-1.0,84.0,-1.0,71.618,29.9,-1.0,23.67,13.2,17.089191
169,75.7,72.14,-1.0,76.04,53.84,59.5,59.17,74.85,57.18,78.64,66.84947
170,-1.0,77.7,89.3,76.38,62.6,171.95,85.0,-1.0,70.8,59.8,59.735718
171,-1.0,22.5,64.1,-1.0,13.9,-1.0,62.27,10.8,12.93,17.5,19.042816
172,-1.0,-1.0,-1.0,29.5,-1.0,25.565,16.62,-1.0,15.83,8.5,17.816809
173,-1.0,26.1,32.1,47.62,33.0,45.85,35.3,-1.0,40.2,38.7,26.834171
174,-1.0,38.4,-1.0,-1.0,22.5,-1.0,-1.0,-1.0,28.09,11.3,22.543562
175,-1.0,-1.0,-1.0,17.6,-1.0,23.476,34.66,-1.0,21.22,16.3,25.63258
176,28.1,-1.0,106.4,45.03,23.2,62.436,29.3,20.8,-1.0,5.3,32.03769
177,-1.0,22.7,42.2,-1.0,48.8,75.832,37.3,-1.0,-1.0,35.8,40.78512
178,-1.0,31.0,48.1,51.83,37.5,65.969,43.2,-1.0,37.5,40.7,34.760845
179,42.8,-1.0,53.9,44.94,43.4,58.731,-1.0,27.4,32.93,26.6,31.420782
180,-1.0,35.2,47.7,55.34,42.2,121.19,47.7,-1.0,42.0,30.6,38.891865
181,16.79,24.24,-1.0,-1.0,26.25,18.32,16.77,-1.0,23.68,39.96,22.110767
182,-1.0,39.1,10.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.1,14.361115
183,-1.0,57.1,-1.0,29.3,-1.0,42.204,110.37,-1.0,-1.0,34.8,50.111427
184,34.2,37.06,-1.0,-1.0,26.19,72.56,37.8,46.19,28.01,37.58,37.946205
185,11.93,37.51,-1.0,-1.0,30.19,145.66,17.69,20.96,22.13,21.83,27.937765
186,26.7,-1.0,23.1,49.8,-1.0,42.843,58.59,-1.0,24.07,62.2,86.701126
187,-1.0,63.4,104.4,-1.0,22.9,-1.0,-1.0,-1.0,32.1,38.5,34.33158
188,-1.0,42.9,30.7,-1.0,-1.0,-1.0,15.77,-1.0,-1.0,25.0,18.626999
189,-1.0,64.9,205.6,204.32,69.3,141.1,110.6,-1.0,89.3,86.9,51.40136
190,-1.0,50.6,18.7,-1.0,-1.0,-1.0,57.09,-1.0,-1.0,41.2,20.41265
191,-1.0,43.0,68.4,52.45,22.3,66.414,39.1,-1.0,61.7,22.6,34.58414
192,-1.0,110.2,89.7,142.79,57.3,103.99,66.2,221.5,84.8,66.9,91.216354
193,12.12,13.84,22.18,64.54,22.78,-1.0,19.97,11.94,19.93,25.52,18.29856
194,-1.0,-1.0,-1.0,22.9,-1.0,42.824,28.31,-1.0,21.25,15.2,24.50575
195,29.0,-1.0,34.5,32.7,19.5,43.282,46.99,-1.0,36.27,38.2,40.26178
196,-1.0,10.6,28.6,-1.0,-1.0,-1.0,50.43,-1.0,15.2,30.6,14.672793
197,-1.0,33.5,50.1,-1.0,45.3,-1.0,-1.0,-1.0,26.23,10.9,20.386005
198,-1.0,45.4,85.4,38.73,26.2,96.488,40.1,-1.0,29.5,71.9,30.463856
199,-1.0,17.9,5.8,-1.0,-1.0,-1.0,12.58,-1.0,9.21,12.7,14.417395
200,-1.0,73.5,96.5,-1.0,32.5,-1.0,52.27,42.1,43.55,47.7,36.497524
201,-1.0,14.4,24.4,-1.0,-1.0,-1.0,-1.0,-1.0,10.68,8.4,11.305604
202,-1.0,10.9,17.1,-1.0,-1.0,-1.0,21.96,-1.0,16.55,11.0,17.034184
203,31.0,-1.0,44.2,-1.0,23.2,32.616,38.3,39.6,29.27,24.1,38.554676
204,96.3,70.74,-1.0,58.71,81.03,101.37,97.23,72.57,112.57,82.12,110.98386
205,15.0,-1.0,-1.0,27.0,12.8,48.017,17.57,-1.0,12.91,14.2,14.911155
206,26.0,-1.0,-1.0,64.5,40.0,68.074,70.43,-1.0,42.27,57.9,47.175533
207,-1.0,50.8,62.7,-1.0,36.8,-1.0,16.74,39.4,35.02,10.3,30.215923
208,15.76,18.54,-1.0,-1.0,16.7,28.56,12.57,10.24,15.18,23.37,16.648813
209,16.43,7.72,-1.0,-1.0,7.4,24.49,10.26,16.78,13.7,13.58,12.387944
210,-1.0,52.7,-1.0,-1.0,30.9,-1.0,-1.0,35.4,45.66,27.4,29.193052
211,-1.0,22.5,14.2,-1.0,-1.0,-1.0,-1.0,-1.0,10.02,2.0,13.091621
212,16.62,10.91,20.65,-1.0,-1.0,-1.0,10.79,10.94,12.21,12.35,13.749049
213,-1.0,101.3,-1.0,-1.0,32.4,-1.0,-1.0,52.9,61.4,29.5,46.95534
214,-1.0,20.4,9.7,-1.0,-1.0,-1.0,25.37,-1.0,14.15,29.2,19.715014
215,-1.0,94.1,82.2,73.64,53.0,114.5,49.5,-1.0,60.6,61.7,59.098118
216,24.9,-1.0,61.6,30.28,23.2,50.421,49.8,24.0,33.66,22.4,27.40498
217,-1.0,14.2,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,12.28,15.5,15.535316
218,-1.0,51.3,76.8,-1.0,33.8,-1.0,3.63,37.8,41.33,44.3,32.12636
219,-1.0,41.6,26.3,-1.0,25.3,-1.0,53.95,26.4,43.7,27.7,25.138088
220,-1.0,65.8,88.7,96.47,53.6,117.72,74.0,-1.0,49.7,59.2,50.73752
221,14.29,30.66,-1.0,42.41,20.1,-1.0,23.39,12.67,31.24,31.12,23.257133
222,17.7,37.5,53.6,88.59,18.2,49.669,42.1,14.0,31.53,23.0,19.045734
223,-1.0,32.7,59.8,-1.0,34.9,-1.0,35.38,44.4,-1.0,23.1,34.18216
224,-1.0,12.8,17.3,-1.0,-1.0,-1.0,-1.0,-1.0,4.16,2.0,6.0833783
225,-1.0,50.4,21.2,-1.0,-1.0,-1.0,-1.0,-1.0,14.22,11.8,15.943095
226,-1.0,31.1,41.2,25.44,50.7,35.807,47.0,-1.0,49.4,50.0,47.83907
227,-1.0,18.6,19.6,-1.0,-1.0,-1.0,8.19,-1.0,-1.0,9.9,6.100304
228,-1.0,56.3,86.4,-1.0,38.7,-1.0,53.41,41.6,29.76,27.8,29.610403
229,-1.0,55.9,45.9,-1.0,24.1,-1.0,-1.0,45.7,30.78,33.4,20.731787
230,-1.0,65.2,121.6,-1.0,45.6,-1.0,32.24,49.6,39.78,32.9,39.60675
231,31.4,-1.0,53.9,34.08,43.5,63.424,40.4,30.9,32.89,34.2,31.29834
232,19.7,-1.0,25.1,22.7,29.5,-1.0,27.9,-1.0,23.33,31.6,30.954191
233,38.79,35.59,-1.0,36.83,37.88,53.25,43.17,59.5,49.2,62.25,51.72608
234,-1.0,55.9,21.2,-1.0,-1.0,-1.0,55.29,-1.0,12.15,50.2,21.333662
235,33.8,-1.0,63.4,203.99,29.7,74.722,-1.0,43.0,40.51,37.3,22.878376
236,-1.0,22.8,-1.0,33.5,-1.0,42.078,-1.0,-1.0,-1.0,27.6,16.593697
237,-1.0,135.1,98.7,154.92,92.5,211.4,97.1,101.0,113.01,87.6,120.469666
238,-1.0,33.7,46.4,50.28,48.9,48.28,41.5,50.3,-1.0,35.9,35.545967
239,43.68,62.67,67.12,-1.0,24.59,-1.0,48.41,37.25,28.92,36.36,24.358274
240,9.03,8.98,12.28,-1.0,5.98,-1.0,8.32,13.26,13.83,11.26,11.049587
241,-1.0,36.2,74.1,-1.0,33.1,-1.0,-1.0,-1.0,32.92,29.4,30.7024
242,21.2,21.59,-1.0,104.84,25.01,57.38,25.16,27.44,28.15,27.11,28.974825
243,-1.0,56.1,63.8,92.07,79.0,127.35,70.2,-1.0,-1.0,72.1,68.578705
244,62.8,-1.0,279.9,87.05,40.2,179.56,-1.0,38.1,48.49,54.2,56.085022
245,20.12,36.34,-1.0,-1.0,26.97,22.56,26.35,25.29,22.98,21.41,25.890484
246,67.1,56.1,61.7,68.0,33.1,106.07,48.6,56.2,42.94,26.7,32.139164
247,-1.0,88.5,100.8,-1.0,42.7,-1.0,-1.0,36.6,46.43,47.5,43.321857
248,-1.0,84.2,-1.0,-1.0,65.7,-1.0,-1.0,48.2,52.27,67.2,54.46956
249,23.3,34.6,68.8,33.98,15.5,48.05,45.1,21.7,30.94,21.6,29.345093
250,34.97,53.65,-1.0,56.37,34.83,82.65,35.77,33.97,36.41,34.98,42.485558
251,41.6,-1.0,31.2,55.93,41.5,50.189,-1.0,23.5,44.41,21.7,28.758661
252,-1.0,107.1,286.4,155.67,79.3,278.99,113.9,74.7,162.8,76.6,71.94794
253,28.12,32.31,-1.0,201.5,62.05,32.82,34.72,40.95,42.56,44.94,45.07747
254,41.17,-1.0,-1.0,-1.0,61.96,76.78,47.04,39.18,81.74,55.87,55.927258
255,-1.0,65.7,-1.0,230.0,-1.0,133.94,80.6,-1.0,-1.0,55.6,33.453568
256,-1.0,-1.0,40.5,30.46,20.7,66.992,28.6,21.4,21.92,11.8,24.004673
257,-1.0,41.1,-1.0,-1.0,29.0,-1.0,-1.0,50.3,36.77,99.2,30.259592
258,-1.0,63.8,281.3,30.57,80.6,79.43,37.1,-1.0,25.1,41.6,69.11674
259,-1.0,-1.0,-1.0,7.1,-1.0,49.644,-1.0,-1.0,12.15,0.6,10.326942
260,-1.0,36.7,101.3,49.45,22.5,185.44,29.7,-1.0,22.7,20.6,29.440273
261,-1.0,69.1,74.8,-1.0,51.1,-1.0,40.2,40.9,44.12,55.7,41.43201
262,17.3,-1.0,-1.0,7.8,4.6,21.376,14.46,-1.0,8.78,6.6,10.812611
263,-1.0,52.7,-1.0,-1.0,23.4,-1.0,-1.0,-1.0,26.4,11.3,22.398504
264,-1.0,-1.0,115.1,-1.0,41.0,-1.0,-1.0,38.8,37.86,48.3,43.884518
265,78.5,70.8,176.0,112.8,66.3,162.52,51.4,82.3,86.78,87.0,68.45387
266,-1.0,47.7,85.2,77.63,35.3,151.54,32.9,-1.0,24.1,42.2,38.234447
267,-1.0,17.6,50.9,-1.0,-1.0,-1.0,12.63,-1.0,10.23,3.65,12.998586
268,-1.0,-1.0,-1.0,20.3,-1.0,20.08,33.02,-1.0,17.56,9.9,22.107038
269,76.24,84.05,-1.0,82.23,174.2,94.01,162.35,108.86,190.65,132.46,150.6059
270,40.0,-1.0,46.0,55.36,33.7,60.41,-1.0,34.0,47.56,34.1,30.89684
271,-1.0,-1.0,-1.0,55.4,-1.0,22.449,48.23,-1.0,30.87,50.9,30.583448
272,-1.0,43.6,78.2,-1.0,27.7,-1.0,60.83,30.1,32.07,45.6,35.18961
273,-1.0,139.4,49.5,-1.0,-1.0,-1.0,50.35,-1.0,36.96,56.9,23.578398
274,-1.0,46.7,24.7,-1.0,-1.0,-1.0,18.09,-1.0,9.205,10.6,13.619402
