,AGU,ATM,LPIN,MIR,OBL,SFE,TLA,VAL,CEN,LDO_med,LDO_pred
107,-1.0,49.1,-1.0,269.6,-1.0,78.297,153.45,-1.0,-1.0,92.5,73.00313
108,-1.0,-1.0,3.87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.02,7.3172755
109,-1.0,117.4,143.2,220.01,91.8,221.95,132.4,-1.0,85.6,102.3,143.88617
110,-1.0,6.3,30.8,-1.0,16.0,-1.0,18.33,-1.0,16.71,19.7,16.274584
111,-1.0,21.7,44.9,25.42,18.9,50.015,22.8,-1.0,22.0,24.0,27.469063
112,-1.0,36.1,67.4,44.65,33.7,68.655,47.5,-1.0,34.5,37.0,44.605755
113,-1.0,59.6,148.8,-1.0,49.7,-1.0,47.43,28.7,37.34,92.6,73.4706
114,-1.0,-1.0,32.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.17,26.645245
115,-1.0,-1.0,48.6,59.71,33.8,157.7,21.0,65.7,35.0,35.1,32.94538
116,22.01,-1.0,-1.0,67.7,23.94,37.54,31.46,22.68,19.82,41.48,47.88679
117,-1.0,37.0,93.6,51.23,48.7,59.691,46.2,-1.0,40.8,46.5,49.193882
118,-1.0,-1.0,54.8,-1.0,-1.0,-1.0,49.88,-1.0,27.81,47.6,47.815273
119,-1.0,27.4,63.5,-1.0,29.7,-1.0,-1.0,32.0,30.29,46.1,45.58638
120,68.18,38.73,-1.0,60.07,43.47,49.49,37.87,43.95,41.99,78.88,41.413216
121,-1.0,33.9,74.2,-1.0,30.6,-1.0,25.81,18.8,18.07,52.5,36.76088
122,-1.0,38.2,53.3,-1.0,44.2,-1.0,-1.0,29.0,30.43,52.1,50.247307
123,-1.0,40.8,53.7,68.87,30.1,78.972,30.4,-1.0,36.3,33.8,43.34294
124,-1.0,67.3,91.1,70.81,47.7,107.68,89.1,-1.0,84.2,60.6,94.76731
125,-1.0,-1.0,28.05,-1.0,-1.0,158.91,-1.0,-1.0,-1.0,24.2,30.733644
126,-1.0,-1.0,34.11,23.09,-1.0,43.83,-1.0,-1.0,-1.0,39.02,26.296413
127,-1.0,19.49,17.25,-1.0,16.94,92.19,13.4,12.32,11.01,14.89,14.469614
128,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.21,12.0,10.757806
129,45.89,64.21,-1.0,71.73,52.63,111.5,63.78,28.42,43.84,90.35,57.10428
130,-1.0,1.8,22.8,-1.0,-1.0,-1.0,29.94,-1.0,17.65,36.5,27.660076
131,-1.0,-1.0,16.16,-1.0,-1.0,49.27,-1.0,-1.0,-1.0,42.85,18.140566
