,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,VAL,CEN,TLA_med,TLA_pred
144,-1.0,7.3,11.1,25.3,-1.0,8.6,-1.0,-1.0,17.91,11.96,17.302303
145,-1.0,44.6,40.5,-1.0,-1.0,27.6,-1.0,23.4,19.73,44.71,54.50544
146,20.9,19.3,-1.0,20.0,23.4,14.5,-1.0,-1.0,21.02,41.36,27.163385
147,-1.0,-1.0,25.4,-1.0,13.9,-1.0,31.367,-1.0,-1.0,36.3,13.805343
148,45.6,-1.0,-1.0,68.3,99.84,36.1,76.688,44.0,-1.0,55.3,40.860615
149,26.91,29.1,39.83,-1.0,52.33,15.1,45.54,21.48,48.72,51.87,40.171253
150,-1.0,-1.0,-1.0,66.7,-1.0,27.6,96.858,32.7,32.5,37.4,32.62467
151,-1.0,31.1,42.4,32.8,28.01,31.8,43.921,-1.0,36.3,37.6,39.914967
152,-1.0,14.7,-1.0,-1.0,10.5,-1.0,21.065,-1.0,9.03,16.46,17.596136
153,-1.0,-1.0,-1.0,18.7,27.29,16.5,34.675,32.8,12.1,21.8,18.597445
154,19.6,-1.0,-1.0,23.4,14.58,17.9,54.516,11.4,17.2,15.5,20.419937
155,-1.0,10.91,-1.0,15.8,65.29,15.58,89.58,17.17,12.83,10.95,19.643187
156,31.1,8.8,-1.0,34.1,38.2,15.2,43.461,-1.0,20.39,29.97,29.56323
157,36.7,24.4,41.5,73.8,118.56,25.5,48.604,24.3,19.3,35.2,37.165916
158,-1.0,20.1,29.6,58.6,46.59,21.9,63.14,-1.0,33.5,68.1,34.64277
159,56.96,72.35,49.6,177.55,-1.0,50.52,78.22,8.94,41.66,51.19,47.99416
160,36.0,42.5,74.8,170.2,80.61,-1.0,115.33,52.4,61.97,70.4,66.384
161,-1.0,24.9,25.5,67.6,33.82,41.0,75.9,-1.0,51.7,32.1,43.35861
162,-1.0,12.7,41.9,-1.0,-1.0,-1.0,-1.0,-1.0,17.77,34.21,30.179125
163,7.7,-1.0,-1.0,-1.0,36.4,-1.0,50.213,-1.0,8.7,20.73,16.290035
164,-1.0,44.5,48.8,50.5,123.58,48.1,106.66,-1.0,34.3,55.9,53.10082
165,81.88,84.83,80.3,-1.0,40.77,49.72,57.53,78.29,81.96,58.86,86.086716
166,47.0,-1.0,-1.0,111.0,-1.0,52.3,66.619,22.8,41.61,42.4,45.613323
167,-1.0,-1.0,22.5,40.7,65.7,19.7,73.52,52.9,21.2,34.0,24.158056
168,-1.0,15.6,27.1,44.6,-1.0,-1.0,-1.0,-1.0,8.81,58.33,25.211134
169,-1.0,-1.0,13.3,23.9,20.3,22.4,31.286,11.4,20.3,17.4,21.326605
170,-1.0,43.8,17.8,39.7,38.92,36.1,64.124,-1.0,59.6,49.6,35.16907
171,-1.0,-1.0,-1.0,-1.0,62.5,-1.0,41.843,-1.0,21.18,35.18,37.212475
172,-1.0,30.5,37.8,-1.0,87.6,-1.0,66.426,-1.0,-1.0,20.77,47.40311
173,-1.0,-1.0,3.3,17.6,26.2,11.0,61.019,6.5,-1.0,7.3,17.612032
174,-1.0,35.3,32.7,22.8,43.65,35.4,46.472,-1.0,41.8,35.2,38.131706
175,-1.0,-1.0,-1.0,12.7,14.4,4.2,47.435,14.3,9.1,8.0,10.439231
176,27.14,52.26,45.25,-1.0,-1.0,44.71,111.44,-1.0,37.09,27.55,35.670586
177,-1.0,21.2,33.2,55.0,-1.0,23.1,-1.0,26.7,24.76,9.51,42.728962
178,-1.0,-1.0,-1.0,19.4,49.44,28.2,32.628,11.3,11.9,47.2,24.505594
179,-1.0,29.7,44.7,50.3,-1.0,32.3,61.386,-1.0,28.1,42.0,38.592323
180,59.61,42.69,65.43,-1.0,38.56,37.7,29.35,60.18,56.14,45.24,60.97657
181,-1.0,22.8,33.2,38.9,31.95,23.8,58.202,-1.0,16.8,31.6,28.382456
182,-1.0,5.6,4.2,7.4,-1.0,-1.0,-1.0,-1.0,11.48,19.36,10.034693
183,-1.0,-1.0,-1.0,22.6,31.68,16.0,39.282,36.5,25.7,48.2,28.018248
184,32.27,86.43,-1.0,-1.0,43.51,46.37,306.72,43.96,63.65,40.31,50.979115
185,-1.0,36.2,61.1,61.1,-1.0,37.8,-1.0,24.7,40.14,44.23,47.871143
186,-1.0,12.4,33.8,23.8,14.81,6.9,35.233,20.0,7.86,16.1,17.069021
187,-1.0,34.7,34.9,40.4,45.7,37.8,89.976,50.9,41.31,27.5,36.625126
188,-1.0,26.9,-1.0,-1.0,44.1,-1.0,65.429,-1.0,30.06,41.94,37.79568
189,-1.0,25.2,35.2,-1.0,-1.0,20.9,-1.0,27.0,27.12,38.08,47.62123
190,12.2,-1.0,-1.0,24.6,-1.0,16.7,30.384,35.9,27.6,27.2,29.917936
191,32.1,33.19,25.8,-1.0,-1.0,57.19,59.29,29.04,21.0,27.82,25.803667
192,-1.0,34.6,27.2,29.7,42.89,30.4,31.481,-1.0,43.8,39.8,34.40328
193,-1.0,53.6,44.2,58.1,57.9,45.1,71.541,-1.0,36.1,54.3,46.843563
194,47.01,65.0,31.41,-1.0,-1.0,39.31,48.94,58.41,42.02,42.26,32.12393
195,5.6,29.4,-1.0,8.2,13.4,5.4,22.643,-1.0,9.29,1.38,24.501116
196,-1.0,86.9,64.9,205.6,204.32,69.3,141.1,-1.0,89.3,110.6,81.75472
197,28.38,43.25,56.28,75.19,-1.0,53.31,-1.0,25.18,36.48,49.97,45.28105
198,41.1,33.0,-1.0,53.9,48.8,25.7,-1.0,-1.0,37.47,51.73,41.84366
199,11.38,28.61,21.13,-1.0,-1.0,32.59,32.84,13.08,37.1,48.57,29.23654
200,-1.0,41.8,14.0,66.6,73.77,26.9,163.79,75.1,36.7,30.4,45.159138
201,-1.0,-1.0,-1.0,-1.0,26.7,-1.0,40.071,-1.0,16.39,0.9,23.50167
202,-1.0,30.3,40.9,52.6,47.79,36.2,102.63,43.7,45.33,28.4,39.555286
203,6.7,-1.0,-1.0,25.7,-1.0,9.1,23.108,11.5,6.1,16.2,19.356897
204,36.31,93.61,138.34,-1.0,-1.0,72.83,153.19,35.96,116.38,154.57,99.936356
205,79.7,84.8,164.5,246.4,105.56,42.3,182.16,56.6,56.97,89.1,59.334522
206,43.7,43.19,35.02,-1.0,46.4,33.01,38.16,40.09,44.62,50.81,39.501904
207,-1.0,32.0,33.9,19.7,29.55,61.8,29.952,-1.0,47.6,44.6,41.59399
208,-1.0,62.1,40.0,251.1,-1.0,23.7,-1.0,24.5,36.15,39.48,45.469036
209,10.57,5.73,9.39,17.59,-1.0,5.81,-1.0,9.26,8.96,3.81,9.108975
210,-1.0,0.5,23.6,45.9,-1.0,-1.0,-1.0,-1.0,16.72,23.45,24.264223
211,-1.0,-1.0,20.2,23.3,32.68,22.3,48.827,23.5,19.2,26.1,22.24459
212,23.4,47.5,-1.0,-1.0,22.1,6.4,31.865,-1.0,11.42,45.54,26.530703
213,3.6,-1.0,-1.0,24.3,-1.0,6.4,19.381,14.4,10.4,9.1,14.86859
214,-1.0,64.1,34.8,52.0,63.26,37.4,93.096,106.1,67.17,56.6,55.886406
215,-1.0,73.9,65.0,186.7,70.68,68.5,122.66,-1.0,74.2,78.1,71.58873
216,-1.0,33.3,33.6,34.8,-1.0,23.8,-1.0,26.7,54.44,47.73,42.687595
217,-1.0,39.8,66.0,110.4,-1.0,52.4,103.72,37.1,43.2,41.9,51.075497
218,-1.0,16.3,23.9,160.5,123.6,36.0,43.919,-1.0,-1.0,34.08,43.443775
219,-1.0,-1.0,-1.0,19.5,22.49,20.0,40.853,21.6,24.8,33.7,21.109398
220,-1.0,117.3,78.1,329.8,130.6,48.6,280.21,73.1,105.27,66.1,93.10799
221,-1.0,14.2,8.7,19.0,-1.0,-1.0,-1.0,-1.0,11.88,13.05,18.576788
222,34.9,72.15,71.25,232.02,-1.0,42.88,-1.0,10.69,43.11,90.66,73.10186
223,-1.0,34.1,42.2,80.3,-1.0,28.3,121.97,69.5,39.6,40.0,38.67348
224,28.1,-1.0,30.07,-1.0,30.34,37.35,131.15,22.02,24.51,18.75,24.827505
225,-1.0,2.0,50.7,64.7,-1.0,-1.0,-1.0,-1.0,24.65,35.05,47.088955
226,-1.0,-1.0,89.0,84.7,-1.0,47.6,-1.0,61.4,47.46,87.72,68.867195
227,-1.0,64.7,55.4,92.6,76.44,78.0,96.668,-1.0,106.3,74.2,78.53352
228,9.63,13.58,21.16,-1.0,50.17,12.87,77.61,9.52,8.88,9.79,9.020511
229,-1.0,-1.0,-1.0,32.7,28.24,29.4,27.255,42.1,24.7,25.0,31.020445
230,32.4,50.6,-1.0,58.2,46.5,29.3,55.938,-1.0,35.62,79.95,45.244274
231,43.9,43.23,63.11,91.83,-1.0,56.38,26.26,46.78,-1.0,59.8,56.443142
232,-1.0,26.9,32.9,36.5,-1.0,-1.0,-1.0,-1.0,28.76,43.8,41.566204
233,-1.0,-1.0,-1.0,-1.0,53.1,-1.0,69.348,-1.0,40.97,62.95,50.394444
234,63.2,66.6,104.0,233.4,180.49,-1.0,226.28,69.0,111.19,110.3,104.35478
235,-1.0,17.6,37.4,32.5,-1.0,16.4,-1.0,-1.0,12.23,31.28,24.511942
236,-1.0,-1.0,56.2,82.4,35.86,17.8,68.633,25.0,20.1,25.3,26.356905
237,40.2,60.06,-1.0,-1.0,-1.0,53.89,37.76,27.29,44.66,66.07,39.722195
238,41.98,84.33,29.67,-1.0,22.45,43.78,10.75,55.64,40.62,35.6,35.664886
239,25.22,-1.0,30.46,-1.0,-1.0,35.04,51.39,29.44,29.68,27.59,26.238653
240,13.8,-1.0,-1.0,23.3,-1.0,-1.0,24.907,10.1,12.6,36.1,11.442014
241,21.27,26.81,30.76,-1.0,143.19,24.3,67.82,21.8,25.95,20.1,27.077602
242,-1.0,25.3,31.4,61.9,-1.0,-1.0,-1.0,8.0,29.07,10.08,40.551777
243,-1.0,17.1,19.2,13.9,-1.0,-1.0,-1.0,-1.0,7.02,18.6,11.344185
244,-1.0,42.6,69.7,-1.0,186.0,-1.0,137.51,-1.0,-1.0,142.61,76.77254
245,-1.0,43.0,50.6,78.1,85.4,40.9,70.046,-1.0,44.6,61.0,48.866722
246,-1.0,36.6,11.9,55.3,-1.0,-1.0,-1.0,-1.0,-1.0,40.03,21.232742
247,-1.0,20.1,12.9,15.6,-1.0,-1.0,-1.0,-1.0,12.19,16.95,21.183638
248,-1.0,81.1,61.5,55.1,62.17,98.5,129.0,58.6,116.93,63.3,79.40953
249,-1.0,51.5,49.2,74.1,63.48,42.9,142.35,-1.0,36.6,47.8,51.274364
250,-1.0,37.3,41.9,61.3,-1.0,41.5,66.677,44.3,57.3,52.6,48.284496
251,19.33,38.47,20.39,-1.0,34.65,43.37,57.02,24.16,35.82,30.48,28.224077
252,77.3,50.2,-1.0,55.6,116.34,64.4,107.56,78.2,89.91,89.8,77.57969
253,-1.0,-1.0,-1.0,7.3,16.13,8.5,26.94,15.3,14.4,18.7,17.423494
254,-1.0,-1.0,-1.0,33.3,56.14,19.0,-1.0,28.4,16.2,26.9,26.156654
255,-1.0,38.3,96.7,85.0,99.98,46.4,80.957,-1.0,48.4,73.2,57.234634
256,-1.0,16.4,26.4,23.0,-1.0,-1.0,-1.0,-1.0,17.78,21.38,28.684113
257,-1.0,-1.0,30.3,26.4,37.76,34.6,77.618,57.3,30.6,19.3,29.790577
258,-1.0,-1.0,14.9,14.9,19.13,10.2,26.348,15.7,6.2,7.0,11.8259325
259,-1.0,64.3,57.0,221.3,288.41,54.6,163.8,72.7,94.5,94.4,91.41944
260,-1.0,-1.0,41.7,49.5,33.04,16.8,46.124,26.0,25.4,23.6,33.340424
261,29.8,21.6,-1.0,69.3,77.0,31.9,89.311,-1.0,34.15,3.84,39.424366
262,-1.0,2.6,9.8,4.9,-1.0,-1.0,-1.0,-1.0,2.0,6.95,9.123217
263,9.58,-1.0,36.83,-1.0,38.44,27.56,63.85,14.03,20.72,26.43,26.576204
264,-1.0,26.8,49.5,41.2,45.79,38.0,109.0,-1.0,25.8,27.8,41.76005
265,-1.0,-1.0,117.2,107.3,73.6,31.0,142.35,-1.0,-1.0,6.46,43.076015
266,-1.0,1.5,6.6,5.6,-1.0,-1.0,-1.0,-1.0,-1.0,9.53,9.371925
267,-1.0,61.3,90.6,152.4,-1.0,55.2,-1.0,80.7,87.5,74.34,95.7046
268,-1.0,-1.0,49.1,48.4,74.1,51.3,90.096,112.2,70.0,58.2,56.570774
269,-1.0,30.7,50.2,101.6,-1.0,26.7,-1.0,48.4,-1.0,14.09,47.64434
270,36.01,40.59,26.68,-1.0,-1.0,46.48,33.59,26.27,57.79,40.01,40.319176
271,8.16,47.35,42.34,-1.0,36.86,32.67,76.27,29.95,28.03,29.63,34.415924
272,25.73,27.91,39.37,-1.0,-1.0,28.72,188.64,36.2,31.38,52.22,26.818043
273,-1.0,-1.0,-1.0,23.5,60.56,14.7,39.584,22.2,22.2,32.2,22.83448
274,-1.0,43.5,59.0,125.0,75.24,46.9,134.37,-1.0,50.5,47.9,54.198643
275,38.4,26.7,-1.0,-1.0,40.7,25.5,73.285,-1.0,26.07,45.77,31.926481
276,-1.0,38.5,47.7,-1.0,32.3,-1.0,74.898,-1.0,18.94,30.22,38.16907
277,-1.0,70.98,47.14,88.28,34.29,50.53,88.45,55.06,37.95,50.89,42.459187
278,-1.0,-1.0,42.0,22.5,23.2,-1.0,-1.0,-1.0,-1.0,21.35,29.579033
