,AGU,ATM,LDO,LPIN,OBL,SFE,TLA,VAL,CEN,MIR_med,MIR_pred
90,37.85,-1.0,14.14,25.87,15.97,61.14,29.8,24.56,26.15,21.98,36.067318
91,-1.0,16.1,29.8,35.9,21.0,57.463,19.8,-1.0,18.3,16.36,31.785095
92,27.7,26.9,-1.0,35.4,24.5,42.349,-1.0,31.5,33.46,30.08,38.000874
93,-1.0,-1.0,18.2,19.9,15.8,47.138,18.9,19.1,7.7,22.01,25.38016
94,-1.0,26.2,27.1,37.2,23.2,43.03,26.5,-1.0,31.1,26.76,36.615894
95,-1.0,20.5,-1.0,-1.0,-1.0,41.484,24.68,-1.0,18.82,31.5,38.705147
96,-1.0,73.5,99.9,142.9,50.8,101.08,56.1,42.4,80.45,53.9,85.06704
97,27.1,22.5,-1.0,42.7,31.1,52.131,24.9,21.7,23.6,18.91,29.901052
98,18.6,21.7,-1.0,-1.0,14.7,28.768,33.75,-1.0,17.45,26.1,33.614193
99,-1.0,195.0,26.6,27.2,-1.0,26.312,-1.0,-1.0,-1.0,53.6,59.10861
100,-1.0,34.6,27.2,29.7,30.4,31.481,39.8,-1.0,43.8,42.89,39.517105
101,-1.0,86.4,136.7,440.4,59.5,312.07,118.3,69.5,162.2,252.82,154.51514
102,-1.0,-1.0,-1.0,-1.0,-1.0,22.935,16.83,-1.0,14.32,16.1,23.842024
103,-1.0,-1.0,-1.0,24.5,22.3,35.859,15.7,18.3,18.2,38.82,27.674149
104,-1.0,-1.0,-1.0,26.0,39.0,56.522,46.8,48.3,36.4,49.51,44.949593
105,35.1,31.6,-1.0,55.5,24.4,60.135,-1.0,40.2,32.41,45.05,53.480183
106,-1.0,-1.0,-1.0,37.9,23.7,81.471,30.2,28.8,28.2,47.29,39.81657
107,-1.0,14.4,42.2,72.7,-1.0,101.48,-1.0,-1.0,-1.0,51.2,57.4161
108,-1.0,-1.0,-1.0,24.1,-1.0,46.933,28.2,50.3,25.6,34.26,28.016178
109,37.83,-1.0,73.88,-1.0,42.14,44.83,58.06,47.46,45.03,43.3,51.623142
