,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
1443,-1.0,171.0,156.2,282.88,116.9,324.89,223.4,226.1,233.56,281.9,345.87784
1444,-1.0,27.7,25.3,-1.0,-1.0,-1.0,15.71,14.2,22.97,38.4,33.943108
1445,-1.0,48.8,35.3,39.97,29.9,73.527,44.9,41.1,40.0,111.7,75.08109
1446,-1.0,33.1,82.0,59.73,20.8,153.31,65.9,29.1,41.25,141.7,111.195526
1447,-1.0,-1.0,20.22,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.64,41.971203
1448,-1.0,56.8,116.1,-1.0,44.0,-1.0,81.44,46.3,61.36,148.1,177.48117
1449,-1.0,28.4,26.7,57.55,25.1,82.689,43.4,-1.0,46.7,60.3,69.12007
1450,-1.0,17.8,39.0,-1.0,-1.0,-1.0,16.41,-1.0,19.74,55.0,26.532167
1451,-1.0,-1.0,-1.0,30.78,19.4,38.524,31.7,33.8,23.5,46.8,30.959719
1452,-1.0,14.7,7.2,-1.0,-1.0,-1.0,10.45,-1.0,14.31,1.6,14.187519
1453,3.98,-1.0,19.2,22.96,15.08,49.91,25.36,15.82,21.17,31.85,33.908234
1454,-1.0,41.6,42.1,58.85,35.7,152.14,38.2,-1.0,65.7,63.2,63.799355
1455,8.1,56.2,-1.0,46.8,20.0,68.172,-1.0,-1.0,17.84,38.2,55.189175
1456,-1.0,-1.0,24.12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,199.09,46.923798
1457,-1.0,13.9,12.3,-1.0,-1.0,-1.0,7.89,-1.0,10.95,27.4,17.121017
1458,17.8,62.3,-1.0,36.7,13.1,51.383,45.92,-1.0,18.42,26.9,45.142014
1459,-1.0,-1.0,28.1,26.86,17.7,40.912,12.5,30.3,25.4,25.7,26.495178
1460,24.2,43.0,-1.0,87.32,23.2,130.12,49.2,17.7,40.66,146.2,101.476974
1461,-1.0,55.9,63.4,228.99,58.8,158.29,62.0,-1.0,46.4,164.3,107.72689
1462,32.6,29.1,33.1,29.34,25.5,46.219,35.7,31.3,34.34,56.3,49.830303
1463,-1.0,58.1,88.0,-1.0,58.4,-1.0,35.7,49.3,46.64,84.0,96.64008
1464,-1.0,46.9,86.7,89.0,67.6,84.121,85.1,-1.0,58.4,244.8,70.29837
1465,-1.0,7.9,52.9,-1.0,35.4,-1.0,41.87,34.7,30.96,54.9,53.38956
1466,-1.0,-1.0,9.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.16,19.687742
1467,-1.0,30.8,42.7,49.66,25.0,-1.0,44.6,-1.0,31.0,47.7,38.340965
1468,-1.0,30.9,59.0,146.64,47.3,103.49,68.8,105.0,77.24,174.9,77.602875
1469,-1.0,28.6,30.5,43.8,25.6,43.323,34.9,-1.0,32.4,34.7,41.55974
1470,-1.0,-1.0,17.89,-1.0,-1.0,54.75,-1.0,-1.0,-1.0,26.67,32.123104
1471,-1.0,18.5,31.3,-1.0,-1.0,-1.0,-1.0,8.5,16.28,27.2,69.80415
