,AGU,ATM,LDO,LPIN,MIR,SFE,TLA,VAL,CEN,OBL_med,OBL_pred
120,-1.0,28.0,52.5,50.8,-1.0,65.474,29.2,-1.0,30.4,36.5,30.492556
121,20.3,18.6,18.6,17.5,18.41,35.774,16.4,10.0,8.51,9.4,16.519476
122,23.7,-1.0,-1.0,23.5,23.4,37.231,19.15,-1.0,15.21,11.4,23.44335
123,-1.0,44.7,81.3,88.0,156.03,67.439,57.9,-1.0,41.4,36.7,39.36528
124,13.19,8.0,9.97,-1.0,144.66,47.45,9.77,13.41,15.11,18.41,17.051256
125,25.8,-1.0,-1.0,52.2,57.98,53.221,-1.0,66.0,41.93,51.7,35.267776
126,40.0,34.9,-1.0,76.9,40.42,76.456,-1.0,36.9,26.44,40.5,31.842714
127,44.3,29.6,33.8,42.9,52.34,98.477,35.3,41.4,45.96,31.6,34.192074
128,-1.0,64.6,75.6,401.8,-1.0,-1.0,76.57,49.0,141.44,47.8,101.16287
129,-1.0,56.0,64.2,83.5,80.63,104.46,76.6,-1.0,67.9,54.0,55.17369
130,-1.0,-1.0,38.5,81.8,26.21,49.985,18.6,24.2,14.6,15.9,16.116667
131,28.3,39.6,-1.0,57.1,53.69,-1.0,47.4,43.3,38.33,31.7,31.032469
132,23.45,20.26,27.96,22.27,-1.0,-1.0,16.85,18.41,21.67,16.06,23.324886
133,8.5,16.59,32.54,52.28,-1.0,-1.0,14.28,17.2,26.75,21.15,21.024864
134,-1.0,-1.0,-1.0,27.9,24.42,51.51,98.8,71.1,68.0,23.4,30.639494
135,-1.0,5.1,46.7,36.0,-1.0,-1.0,30.49,29.7,24.04,27.8,24.750565
136,-1.0,80.8,61.2,93.8,185.24,124.71,56.2,53.8,53.62,49.6,62.83402
137,64.06,76.41,76.54,157.33,-1.0,82.94,67.96,49.52,-1.0,87.41,67.5886
138,-1.0,36.7,52.6,54.3,53.79,73.362,42.8,-1.0,65.0,43.3,46.028008
139,-1.0,-1.0,-1.0,7.4,8.82,13.433,13.3,15.3,15.7,19.8,13.445245
140,-1.0,-1.0,-1.0,26.0,29.01,36.846,21.5,30.5,20.9,16.3,17.67518
141,52.34,108.18,72.64,-1.0,41.43,68.15,121.91,98.47,124.26,83.5,94.33338
142,36.01,40.59,26.68,-1.0,-1.0,33.59,40.01,26.27,57.79,46.48,43.206127
143,-1.0,25.5,54.3,63.8,-1.0,-1.0,-1.0,-1.0,35.83,26.5,34.924694
144,-1.0,27.2,32.1,44.1,61.36,90.126,31.8,-1.0,27.7,23.2,29.514292
145,-1.0,59.7,62.2,103.2,53.22,85.131,49.5,-1.0,50.2,54.6,50.696728
146,47.9,59.8,-1.0,74.1,75.45,98.69,-1.0,78.4,74.71,51.3,48.71181
147,-1.0,34.2,48.1,-1.0,-1.0,-1.0,-1.0,-1.0,43.26,36.6,40.48452
148,-1.0,-1.0,-1.0,5.6,1.9,10.117,4.2,7.4,5.3,6.7,4.977942
149,-1.0,151.9,-1.0,914.7,500.0,528.04,563.61,-1.0,-1.0,151.8,151.44986
150,-1.0,18.0,19.3,26.5,22.04,16.929,20.0,-1.0,25.2,28.9,20.062012
151,-1.0,-1.0,-1.0,22.3,35.48,46.811,33.0,5.6,17.5,21.4,15.421252
152,-1.0,-1.0,-1.0,-1.0,-1.0,60.599,18.0,17.7,18.1,8.5,12.132127
153,26.8,32.2,-1.0,101.0,24.92,45.717,20.8,25.7,20.81,17.5,21.235373
154,-1.0,57.2,49.2,81.3,57.42,-1.0,49.9,-1.0,40.8,46.6,54.674713
155,5.3,11.9,-1.0,27.6,22.37,31.96,-1.0,14.4,19.99,16.6,9.238858
156,-1.0,26.6,-1.0,63.2,44.99,45.302,44.1,29.8,25.18,27.3,26.33126
157,-1.0,18.7,26.7,53.2,50.43,55.218,22.6,-1.0,13.0,10.1,20.34397
158,-1.0,21.7,44.3,81.5,27.56,63.795,48.4,-1.0,59.0,26.0,30.579437
159,-1.0,-1.0,-1.0,66.9,-1.0,60.058,49.2,45.9,42.2,35.4,20.405403
160,-1.0,39.7,50.5,93.4,45.4,39.218,50.7,-1.0,59.2,41.2,43.46778
161,6.09,4.81,9.91,7.74,-1.0,-1.0,8.42,7.14,7.05,7.78,6.946712
162,-1.0,-1.0,-1.0,10.8,-1.0,46.299,18.0,37.9,21.4,21.4,20.302233
163,42.3,100.0,-1.0,59.9,37.2,82.303,77.19,-1.0,71.02,57.2,56.437847
164,-1.0,13.1,29.3,38.9,35.86,45.517,31.7,27.4,20.3,25.8,17.207567
165,47.3,43.7,52.7,54.1,33.88,109.63,31.9,24.5,23.32,36.9,30.399952
166,-1.0,31.4,51.4,103.1,-1.0,-1.0,79.47,48.6,51.73,42.9,39.7702
167,34.8,25.3,51.9,50.3,64.44,57.377,23.9,24.3,35.79,29.8,28.903328
168,26.2,50.4,-1.0,-1.0,52.4,34.874,46.39,-1.0,24.36,24.6,22.615791
169,-1.0,54.6,48.1,57.6,58.99,73.446,50.1,-1.0,-1.0,42.3,41.43033
170,39.6,-1.0,-1.0,37.3,40.74,48.365,38.2,39.4,40.98,29.1,32.466335
171,-1.0,40.3,51.6,48.9,-1.0,-1.0,49.5,33.6,37.17,62.5,33.84421
172,21.2,40.62,55.45,133.51,-1.0,-1.0,71.93,34.47,68.0,63.27,56.327953
173,-1.0,47.4,38.0,66.6,-1.0,-1.0,23.28,26.6,24.06,28.8,33.798763
174,-1.0,12.4,24.0,65.9,88.89,67.121,26.4,-1.0,22.7,24.4,18.198954
175,40.4,26.8,-1.0,24.9,39.5,58.454,22.2,-1.0,24.34,20.1,19.364914
176,-1.0,41.7,40.6,126.9,-1.0,72.387,51.1,-1.0,39.1,47.9,44.56135
177,-1.0,28.2,35.0,58.0,48.41,56.792,27.6,-1.0,30.1,41.8,29.045544
178,-1.0,32.4,34.9,92.1,30.06,43.814,28.2,-1.0,23.7,51.8,24.776781
179,-1.0,58.0,47.8,58.4,-1.0,-1.0,44.09,39.0,34.93,45.7,42.809162
180,9.5,-1.0,-1.0,4.0,-1.0,20.003,19.6,14.9,7.0,6.1,5.0279655
181,-1.0,39.2,41.9,89.0,66.0,104.56,37.5,-1.0,44.6,39.0,34.5761
182,-1.0,25.7,59.0,79.2,-1.0,-1.0,36.22,36.2,27.66,33.4,31.68785
183,-1.0,17.1,24.5,94.8,-1.0,-1.0,48.17,14.4,15.65,11.4,19.78042
184,31.93,29.81,36.67,-1.0,-1.0,45.83,31.32,32.84,35.04,29.71,30.9291
185,-1.0,23.1,41.9,49.7,-1.0,-1.0,-1.0,-1.0,26.57,37.6,29.09196
186,-1.0,6.8,29.3,-1.0,-1.0,-1.0,-1.0,-1.0,26.57,19.1,27.127369
187,57.9,34.7,27.1,41.5,103.85,47.865,32.8,42.3,39.52,33.7,32.241642
188,19.1,39.9,-1.0,17.8,-1.0,20.628,24.25,8.4,20.96,20.6,21.31415
189,6.9,-1.0,-1.0,24.7,27.8,42.501,-1.0,40.6,13.4,26.2,11.552522
