,AGU,ATM,LDO,LPIN,MIR,OBL,TLA,VAL,CEN,SFE_med,SFE_pred
98,57.27,42.97,43.94,-1.0,73.0,28.99,32.0,48.35,35.07,71.94,39.48545
99,-1.0,-1.0,-1.0,-1.0,10.6,12.3,11.7,14.8,11.5,17.281,29.10255
100,-1.0,39.0,53.5,54.6,82.38,39.0,59.5,44.4,-1.0,86.04,66.92892
101,-1.0,-1.0,58.3,53.6,38.81,50.1,22.0,84.8,37.8,164.76,81.85778
102,16.32,28.95,-1.0,-1.0,-1.0,49.96,21.49,15.08,25.98,229.88,67.59306
103,15.5,69.1,-1.0,-1.0,23.7,10.8,44.96,-1.0,12.0,32.539,29.10837
104,-1.0,-1.0,6.1,15.5,25.66,12.0,15.4,14.1,15.4,43.979,32.918316
105,22.55,-1.0,26.19,28.07,32.32,12.96,28.17,21.51,20.59,36.89,46.154182
106,44.29,37.15,33.89,-1.0,-1.0,29.44,30.26,57.41,47.09,68.24,72.36703
107,25.26,18.38,16.67,-1.0,-1.0,14.28,11.7,21.9,16.09,40.35,55.45934
108,27.1,-1.0,-1.0,72.8,34.51,21.7,29.7,25.8,58.54,54.564,66.740395
109,28.5,18.3,-1.0,64.4,25.19,34.7,23.2,27.7,24.48,76.398,64.23417
110,24.8,19.8,-1.0,58.3,85.46,13.8,20.4,12.5,15.14,35.247,57.27491
111,-1.0,77.9,86.9,130.8,93.19,48.7,80.6,69.4,68.93,77.183,133.26874
112,-1.0,25.0,33.5,73.8,33.84,22.3,30.4,37.4,28.04,72.865,76.72055
113,-1.0,47.7,41.5,42.1,45.98,29.7,34.7,-1.0,58.3,76.194,66.40552
114,25.93,45.23,-1.0,-1.0,-1.0,21.83,20.94,39.05,63.29,64.24,60.352463
115,83.61,144.73,77.38,-1.0,43.05,96.45,127.44,92.82,135.89,24.0,62.05965
116,41.1,7.6,-1.0,57.1,-1.0,22.6,35.63,-1.0,35.63,59.34,65.329025
117,9.26,22.48,10.68,-1.0,56.09,13.97,12.2,23.56,19.46,132.16,81.99652
118,38.3,-1.0,-1.0,43.9,65.43,33.2,48.0,34.5,-1.0,70.332,86.2485
119,41.1,27.2,-1.0,78.8,41.31,32.6,-1.0,30.5,30.31,70.627,73.66975
120,17.0,19.9,-1.0,30.1,22.9,-1.0,28.09,-1.0,24.39,39.408,31.981583
121,34.41,60.46,61.59,-1.0,-1.0,90.78,99.09,18.17,111.92,107.86,91.14061
122,-1.0,20.1,63.2,194.6,-1.0,40.3,50.3,42.1,47.3,84.332,92.81703
123,-1.0,-1.0,3.2,15.25,-1.0,-1.0,-1.0,-1.0,-1.0,79.73,89.29501
124,19.95,23.82,26.04,-1.0,43.56,19.19,16.51,20.36,22.4,107.09,45.75631
125,24.5,30.0,-1.0,34.1,35.38,29.5,-1.0,29.3,26.8,41.849,47.647934
126,-1.0,21.6,45.9,-1.0,25.5,-1.0,11.69,-1.0,-1.0,42.647,57.492107
127,-1.0,-1.0,24.0,17.4,44.17,17.6,13.7,25.3,14.9,42.704,44.555805
128,-1.0,42.6,-1.0,113.9,83.61,36.4,32.6,-1.0,34.6,87.218,132.82217
129,-1.0,71.5,50.0,78.8,53.66,37.6,49.5,-1.0,73.4,113.22,95.12079
130,-1.0,32.2,71.9,-1.0,33.3,-1.0,-1.0,-1.0,-1.0,52.619,66.62341
131,-1.0,-1.0,-1.0,23.4,16.68,6.9,14.4,9.4,7.8,28.973,32.4438
132,20.46,34.73,72.14,-1.0,-1.0,34.0,37.68,32.17,35.02,172.01,59.269753
133,-1.0,54.2,74.5,75.2,87.31,54.7,49.5,-1.0,76.8,85.858,105.45293
134,-1.0,-1.0,41.33,60.49,-1.0,-1.0,-1.0,-1.0,-1.0,10.52,65.709175
135,-1.0,-1.0,-1.0,27.1,38.27,23.2,18.1,40.5,26.1,68.377,44.37965
136,-1.0,33.4,39.7,51.4,42.3,46.6,38.3,-1.0,34.6,45.116,61.18048
137,-1.0,47.3,56.4,129.3,90.22,53.1,61.2,-1.0,37.3,162.42,120.895706
138,-1.0,18.4,59.5,58.0,-1.0,48.7,47.2,41.7,54.5,67.23,65.8468
139,34.6,-1.0,-1.0,50.0,39.84,26.6,39.8,34.8,32.39,61.786,63.492203
140,26.43,23.6,8.45,-1.0,-1.0,14.46,15.56,21.23,21.21,28.03,57.513607
141,74.0,66.5,-1.0,115.8,114.41,87.6,-1.0,66.7,73.59,231.89,134.43231
142,29.61,40.66,56.01,-1.0,14.38,36.93,35.66,36.33,32.78,143.58,66.22657
143,-1.0,46.6,-1.0,-1.0,19.0,-1.0,32.36,-1.0,17.46,34.744,34.88618
144,27.89,24.32,-1.0,-1.0,44.98,25.0,53.56,27.72,55.23,38.53,52.42759
145,-1.0,-1.0,-1.0,29.0,2.62,17.6,16.6,1.9,29.5,39.623,39.265076
146,-1.0,35.9,55.8,59.6,12.76,32.5,-1.0,-1.0,33.9,57.159,70.29497
147,-1.0,24.5,51.9,-1.0,45.2,-1.0,40.94,-1.0,16.32,98.628,53.987698
148,-1.0,-1.0,14.34,25.79,-1.0,-1.0,-1.0,-1.0,-1.0,49.01,96.89891
149,-1.0,18.1,47.7,169.4,51.7,28.2,-1.0,-1.0,-1.0,180.3,103.875465
150,-1.0,72.2,68.2,55.3,97.37,66.7,72.2,89.1,-1.0,58.748,95.24525
151,20.6,-1.0,-1.0,135.0,94.3,17.6,35.7,20.3,29.97,59.069,94.04117
152,37.1,-1.0,-1.0,82.6,115.94,56.6,56.5,37.9,69.32,62.594,91.86319
153,-1.0,-1.0,47.4,102.3,147.69,51.4,67.2,56.2,62.3,143.08,109.81998
154,21.7,-1.0,-1.0,23.1,17.36,17.2,-1.0,19.3,31.66,36.964,41.75618
155,-1.0,-1.0,28.11,27.73,-1.0,-1.0,-1.0,-1.0,-1.0,15.83,94.77392
156,-1.0,27.8,41.5,67.9,-1.0,44.1,38.5,31.9,46.3,102.06,67.34685
157,-1.0,26.4,126.8,61.6,47.5,-1.0,-1.0,-1.0,-1.0,64.235,69.21784
158,31.9,46.8,-1.0,-1.0,59.3,36.8,61.86,-1.0,38.21,47.509,59.239014
159,-1.0,17.2,17.0,24.8,15.47,4.5,11.1,-1.0,15.9,16.063,33.175495
160,15.5,-1.0,41.34,-1.0,-1.0,21.78,27.31,17.9,23.64,25.09,54.736126
161,-1.0,60.2,77.5,62.5,65.06,42.0,69.0,75.7,54.31,104.97,125.63563
162,-1.0,-1.0,-1.0,40.3,41.9,18.9,50.8,24.9,34.7,55.395,67.30625
163,-1.0,-1.0,-1.0,19.8,25.63,15.3,12.3,27.3,17.5,43.663,33.996677
164,-1.0,15.6,17.2,98.1,158.97,47.4,37.6,-1.0,33.2,91.606,83.83133
165,-1.0,31.1,20.7,31.6,43.22,77.4,68.5,106.2,34.9,71.689,57.282578
166,-1.0,173.4,35.9,54.9,152.4,-1.0,-1.0,-1.0,-1.0,101.89,119.94337
167,-1.0,-1.0,139.5,296.8,330.57,110.0,146.5,139.1,173.7,213.25,192.78151
168,25.9,54.5,-1.0,65.3,133.67,33.5,-1.0,47.0,51.3,87.048,53.033566
169,-1.0,65.5,89.9,141.8,186.41,55.0,57.2,-1.0,57.5,208.61,132.34787
170,22.3,36.7,-1.0,-1.0,33.0,19.2,32.59,-1.0,17.44,30.188,38.7941
171,19.67,46.65,36.57,-1.0,42.82,54.97,91.36,56.33,102.11,28.92,104.01273
172,14.82,30.78,54.73,-1.0,88.55,46.11,55.08,18.5,96.79,57.76,75.43586
173,22.5,26.2,-1.0,34.7,-1.0,22.7,39.63,-1.0,24.77,45.78,44.591915
174,-1.0,29.6,26.8,14.7,10.6,-1.0,-1.0,-1.0,-1.0,27.612,33.675827
175,-1.0,28.2,20.2,23.5,24.92,29.8,38.7,-1.0,25.8,26.909,38.868805
176,-1.0,20.0,24.0,36.2,23.9,31.0,16.4,-1.0,6.7,51.474,42.542027
177,25.2,33.9,-1.0,28.3,44.57,31.1,-1.0,20.5,24.86,33.817,46.887974
178,90.6,34.1,45.1,184.3,147.65,37.3,49.0,-1.0,100.7,123.78,129.33191
179,-1.0,146.5,141.3,246.1,117.3,62.2,100.9,96.1,89.76,199.3,187.45444
180,-1.0,-1.0,45.2,83.0,58.51,28.2,50.9,51.8,18.6,61.389,92.19392
181,13.6,-1.0,-1.0,-1.0,-1.0,11.8,24.0,25.5,12.6,53.529,38.968838
182,35.83,34.99,47.41,-1.0,-1.0,35.99,36.64,58.06,62.34,74.32,80.26927
183,-1.0,-1.0,-1.0,17.5,10.49,10.8,23.3,15.9,8.8,18.622,24.484097
184,43.9,-1.0,-1.0,71.9,75.6,20.4,-1.0,-1.0,34.35,53.428,64.18898
185,-1.0,110.6,109.5,90.7,145.01,76.7,73.0,125.8,105.53,173.79,210.65875
186,8.88,26.44,-1.0,-1.0,31.74,15.04,17.44,12.82,21.56,75.87,31.630941
187,22.62,34.1,46.35,-1.0,-1.0,21.37,22.17,13.65,18.07,67.11,68.6883
188,-1.0,51.0,53.6,172.0,218.91,84.2,60.3,-1.0,47.5,217.78,138.15955
189,-1.0,62.0,53.5,105.6,125.13,61.5,66.5,-1.0,59.7,121.08,152.04694
190,-1.0,35.9,51.1,118.0,61.37,43.1,63.3,-1.0,-1.0,89.386,97.78846
191,-1.0,-1.0,63.17,83.14,-1.0,-1.0,-1.0,-1.0,-1.0,147.08,64.00773
192,-1.0,28.9,48.1,55.7,50.91,30.4,26.9,-1.0,23.5,69.884,64.63632
193,-1.0,-1.0,-1.0,20.4,26.23,5.8,22.2,33.5,16.9,20.836,35.745155
194,-1.0,-1.0,-1.0,19.3,21.58,17.7,17.9,28.4,20.2,30.267,31.79135
