,AGU,ATM,LDO,MIR,OBL,SFE,TLA,VAL,CEN,LPIN_med,LPIN_pred
89,-1.0,15.5,18.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.73,18.5,18.710112
90,-1.0,15.6,14.9,-1.0,-1.0,-1.0,-1.0,-1.0,13.97,29.8,17.623785
91,-1.0,40.0,46.1,-1.0,41.9,104.14,40.9,37.0,40.5,112.7,89.98318
92,-1.0,-1.0,3.49,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.74,12.0643425
93,71.5,30.7,-1.0,127.1,60.1,147.43,75.0,59.7,56.57,136.1,141.31119
94,-1.0,-1.0,50.13,80.91,-1.0,30.78,-1.0,-1.0,-1.0,63.94,87.848495
95,6.9,-1.0,-1.0,-1.0,2.7,25.168,19.2,14.2,7.3,11.5,14.027954
96,-1.0,-1.0,27.01,-1.0,-1.0,55.87,-1.0,-1.0,-1.0,40.45,42.2592
97,-1.0,7.1,29.7,-1.0,-1.0,-1.0,24.99,-1.0,23.2,26.3,29.870174
98,-1.0,26.0,37.7,-1.0,23.6,100.91,33.9,53.2,34.6,68.8,55.68549
99,-1.0,-1.0,17.42,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,121.28,31.362051
100,-1.0,-1.0,61.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,98.19,126.52411
101,-1.0,-1.0,13.51,54.69,-1.0,-1.0,-1.0,-1.0,-1.0,14.66,25.677786
102,47.4,32.8,-1.0,87.3,20.2,-1.0,65.47,-1.0,41.85,41.8,52.6098
103,-1.0,-1.0,38.93,-1.0,-1.0,139.63,-1.0,-1.0,-1.0,61.36,40.341873
104,-1.0,29.7,57.6,-1.0,43.3,-1.0,68.26,41.9,51.17,53.5,104.4517
105,-1.0,24.1,28.8,-1.0,-1.0,-1.0,18.93,-1.0,13.24,20.3,27.562151
106,-1.0,-1.0,33.5,-1.0,-1.0,46.38,-1.0,-1.0,-1.0,60.24,50.387238
107,-1.0,49.6,78.8,29.7,47.9,61.631,35.69,-1.0,-1.0,58.3,88.98067
108,-1.0,-1.0,-1.0,27.01,31.3,88.23,56.5,65.4,37.2,49.7,65.1854
109,-1.0,-1.0,-1.0,19.33,12.4,83.759,20.1,33.0,15.4,29.3,38.976467
110,6.9,-1.0,-1.0,-1.0,10.3,37.116,44.6,30.5,9.8,48.0,17.24597
111,29.0,28.6,-1.0,35.36,23.2,57.157,30.1,30.7,29.63,98.0,53.15725
112,23.0,29.7,-1.0,36.27,22.2,52.907,37.6,27.2,24.85,47.6,51.32613
113,-1.0,26.9,48.4,-1.0,34.3,64.712,34.9,-1.0,27.8,68.7,65.68828
114,-1.0,29.5,54.0,-1.0,28.6,-1.0,-1.0,29.5,27.4,22.2,57.561287
115,-1.0,33.3,68.8,81.87,43.8,84.164,72.3,76.1,53.4,71.2,103.70414
116,-1.0,25.3,32.2,42.93,31.2,49.69,35.4,-1.0,51.7,37.7,41.71732
117,-1.0,35.7,39.6,-1.0,-1.0,-1.0,7.15,10.6,18.32,30.4,57.092422
118,-1.0,-1.0,48.91,-1.0,-1.0,159.63,-1.0,-1.0,-1.0,20.38,46.976143
119,-1.0,5.5,41.0,9.9,-1.0,33.948,-1.0,-1.0,-1.0,9.4,32.54602
120,-1.0,-1.0,11.23,-1.0,-1.0,103.19,-1.0,-1.0,-1.0,11.1,21.725311
121,-1.0,82.6,102.6,133.09,70.3,179.33,90.7,-1.0,62.0,141.3,172.50795
122,-1.0,-1.0,10.99,-1.0,-1.0,13.09,-1.0,-1.0,-1.0,10.73,12.089153
123,11.5,-1.0,-1.0,-1.0,4.1,39.446,55.32,51.6,6.12,19.2,16.407288
124,41.7,39.6,-1.0,53.2,35.4,106.64,-1.0,44.6,32.88,87.0,86.36901
125,-1.0,45.9,-1.0,-1.0,35.7,-1.0,-1.0,24.1,30.14,108.3,69.132515
126,-1.0,-1.0,-1.0,12.02,0.1,31.353,17.1,15.9,13.6,20.8,22.070036
127,-1.0,35.1,41.8,68.62,47.1,93.965,43.1,-1.0,31.2,56.9,74.45056
128,-1.0,24.0,38.8,-1.0,26.7,-1.0,8.47,35.0,57.64,108.6,81.000824
129,-1.0,-1.0,23.07,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,45.97,45.66422
130,-1.0,29.5,47.3,54.71,29.4,72.053,37.8,-1.0,27.8,59.3,64.156044
131,-1.0,20.5,42.2,-1.0,-1.0,-1.0,48.98,-1.0,28.92,58.3,44.30847
132,-1.0,-1.0,-1.0,-1.0,-1.0,42.71,-1.0,-1.0,-1.0,23.08,67.47634
133,-1.0,52.4,38.5,-1.0,-1.0,-1.0,76.26,14.5,32.26,191.8,169.29005
134,37.0,20.8,-1.0,51.17,3.2,48.593,-1.0,34.6,8.53,46.2,43.94267
135,-1.0,24.1,10.0,-1.0,-1.0,-1.0,16.67,-1.0,4.55,12.2,14.175631
136,-1.0,-1.0,21.4,-1.0,-1.0,-1.0,-1.0,-1.0,13.12,35.8,20.105612
137,-1.0,35.5,35.5,-1.0,29.0,62.665,-1.0,43.0,29.8,48.4,39.928017
138,-1.0,12.0,34.7,34.42,30.2,115.09,44.5,22.0,29.65,42.1,63.514736
139,-1.0,-1.0,-1.0,24.02,0.1,27.47,18.2,25.5,19.1,19.3,24.735744
140,-1.0,-1.0,-1.0,73.04,31.2,34.427,41.1,12.4,29.7,54.7,49.50155
141,-1.0,40.9,70.0,-1.0,39.4,-1.0,-1.0,55.5,41.6,67.0,80.203384
142,-1.0,15.1,23.6,35.76,13.3,33.432,14.0,-1.0,17.5,55.6,26.027681
143,33.4,-1.0,-1.0,48.67,35.5,57.199,-1.0,83.9,42.49,51.8,47.017647
144,-1.0,58.9,-1.0,78.51,54.6,54.41,70.0,-1.0,76.6,137.2,73.80092
145,-1.0,37.75,9.05,-1.0,38.09,68.94,28.73,81.39,30.4,35.8,31.597166
146,-1.0,-1.0,-1.0,32.88,6.8,30.987,16.8,21.8,13.3,27.5,23.791603
147,44.7,53.1,-1.0,63.36,55.4,93.432,52.5,53.8,54.39,90.2,95.75569
148,-1.0,-1.0,49.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,74.63,101.88902
149,-1.0,-1.0,-1.0,28.89,10.0,71.925,16.2,17.9,17.1,39.5,39.02642
150,-1.0,44.9,62.2,99.15,43.4,129.65,67.9,105.0,67.72,177.4,104.2022
151,-1.0,-1.0,-1.0,27.64,14.7,36.987,16.8,25.6,16.0,14.6,19.765186
152,-1.0,49.2,27.8,108.7,54.0,137.29,53.2,-1.0,39.9,183.9,118.04707
153,-1.0,58.6,41.8,118.18,43.1,126.81,82.5,-1.0,58.8,175.7,119.924126
154,41.5,-1.0,-1.0,50.48,31.9,211.37,46.3,27.4,36.69,159.9,94.002815
155,-1.0,-1.0,-1.0,42.67,14.2,50.571,26.2,20.4,24.3,32.7,40.66387
156,-1.0,31.4,43.7,62.9,-1.0,60.931,-1.0,-1.0,-1.0,95.4,65.12906
157,-1.0,-1.0,58.17,-1.0,-1.0,132.86,-1.0,-1.0,-1.0,67.0,56.195545
158,-1.0,83.6,136.5,-1.0,83.2,217.39,122.5,98.2,123.98,369.6,240.07214
159,-1.0,10.7,27.0,-1.0,-1.0,-1.0,29.5,-1.0,16.32,20.8,28.276476
160,55.8,73.1,36.6,51.51,36.9,119.7,45.3,55.9,52.93,91.4,79.875854
161,55.6,23.3,-1.0,62.03,27.2,124.12,-1.0,71.1,28.17,107.8,61.336033
162,-1.0,-1.0,-1.0,26.08,13.1,55.651,36.7,47.4,28.2,25.4,40.136078
163,72.0,71.3,-1.0,80.62,50.8,132.01,57.1,72.0,53.52,126.7,135.34273
164,-1.0,56.2,56.1,-1.0,54.8,-1.0,60.31,62.3,62.76,72.2,97.54945
165,-1.0,10.8,13.5,-1.0,-1.0,-1.0,-1.0,-1.0,4.95,9.0,12.539164
166,-1.0,40.2,22.9,175.1,35.6,64.747,38.4,-1.0,29.2,99.8,88.66076
167,70.2,-1.0,-1.0,170.26,49.6,108.38,57.4,47.5,56.81,192.4,116.6771
168,-1.0,91.8,69.0,-1.0,-1.0,-1.0,-1.0,33.4,64.66,140.6,147.01558
169,-1.0,60.3,66.0,-1.0,28.2,-1.0,-1.0,28.5,-1.0,97.6,60.191753
170,-1.0,-1.0,-1.0,-1.0,-1.0,45.41,-1.0,-1.0,-1.0,71.02,68.783966
171,-1.0,51.3,44.6,110.69,51.3,137.62,40.4,78.5,64.18,66.6,100.7098
172,52.4,56.6,-1.0,78.1,47.1,-1.0,79.4,-1.0,52.35,132.9,77.05595
173,-1.0,11.09,16.99,-1.0,12.86,84.78,11.37,8.49,8.33,15.4,20.796806
174,-1.0,-1.0,-1.0,14.34,10.9,43.476,16.3,6.6,14.8,30.1,29.525597
