,0,1,2,3,4,5,6,7,8,9,10,11,12
model227-0.1,50,50,3,relu,0.1,0.811803475280594,126.9278455148342,7.559070158413832,11.266225877144226,0.7867775582940362,128.64773308580496,7.623029837827642,11.342298404018692
model227-0.05,50,50,3,relu,0.05,0.7917401170124818,140.4594388455857,7.767856096104991,11.85155849859358,0.7637062627916705,142.56779629296523,7.7963213880580895,11.940175722867952
model227-0.01,50,50,3,relu,0.01,0.8050313869090685,131.49523371669062,7.546169251734781,11.467137119468426,0.7802595521881054,132.58037124086255,7.600950426513597,11.514355007592156
model227-0.005,50,50,3,relu,0.005,0.8127608896721572,126.28212399491142,7.375798257902135,11.237531935212083,0.793423833976333,124.63770349816004,7.35864060450285,11.164125738191954
model231-1,50,50,4,relu,1.0,0.809809282299963,128.27281518921953,7.390881806739627,11.325758923322512,0.7856748752830972,129.31303674021643,7.510162699976264,11.371589015622066
model231-0.75,50,50,4,relu,0.75,0.8103975610022243,127.87605468393592,7.403253731614171,11.308229511463583,0.78837598727823,127.68332116147873,7.456961946932972,11.299704472307173
model231-0.5,50,50,4,relu,0.5,0.8107210918414013,127.65785154529895,7.382033342185305,11.298577412457684,0.7764086591884809,134.90380704243196,7.561039161950843,11.614809815164085
model231-0.1,50,50,4,relu,0.1,0.8102966202113386,127.94413350277051,7.504410614251017,11.31123925583623,0.7888399356228898,127.40339798673286,7.503257225364624,11.287311371036632
model231-0.05,50,50,4,relu,0.05,0.8190249908559872,122.05734424121549,7.32380269733934,11.04795656405362,0.7964746163722687,122.79701432756875,7.389006794373179,11.081381426860496
model231-0.01,50,50,4,relu,0.01,0.8056202380791452,131.09808711444515,7.680227907722314,11.449807295952414,0.7871798412194275,128.40501573393217,7.641579442876314,11.331593697884344
model231-0.005,50,50,4,relu,0.005,0.8105400850275866,127.77993033998055,7.442560164926074,11.303978518202365,0.7883843132052804,127.67829771445173,7.543770727248782,11.29948218789037
model238-1,50,50,5,relu,1.0,0.7974004756636344,136.64184907073067,8.051163712506076,11.689390449066652,0.7711681486829904,138.06566838943505,8.133815403858373,11.750134824308828
model238-0.75,50,50,5,relu,0.75,0.8125278867489361,126.4392712062492,7.410484831443273,11.24452183092946,0.7883708163091333,127.68644106502553,7.465061557855071,11.299842523903841
model238-0.5,50,50,5,relu,0.5,0.8103521999242701,127.90664814948228,7.782283087206176,11.309582138588599,0.77351992513715,136.64672436491526,7.8861099321212444,11.689598982211292
model238-0.1,50,50,5,relu,0.1,0.8108282258932552,127.58559572440444,7.558087399113836,11.295379397098817,0.7787637399949026,133.4828693373951,7.655007912528838,11.553478668236467
model238-0.05,50,50,5,relu,0.05,0.8038971168080594,132.26023434764085,7.755959581830917,11.500444963028206,0.7717861685744867,137.69278616650016,7.793845236483021,11.734256949909533
model238-0.01,50,50,5,relu,0.01,0.8155548206334036,124.39777656630221,7.38998434375062,11.153375119949217,0.786457413511104,128.84089239987122,7.489975513211382,11.350810208961791
model238-0.005,50,50,5,relu,0.005,0.8116332556374551,127.04264897680108,7.462448855027987,11.271319753107933,0.7794483512940019,133.06980919715193,7.607506691745965,11.535588810162745
model242-1,50,50,5,relu,1.0,0.8154429312765488,124.47323956979176,7.466437943209292,11.156757574214462,0.7899331021192152,126.7438361202031,7.505270744695422,11.258056498357215
model242-0.75,50,50,5,relu,0.75,0.8137550610022666,125.61161201180465,7.423301136851284,11.207658632016084,0.795615199369014,123.31554346718232,7.440944021440293,11.104753192537974
model242-0.5,50,50,5,relu,0.5,0.8055286962110191,131.15982689477832,7.532726215142193,11.452503084250985,0.7852426238440926,129.5738355909664,7.50892425157096,11.383050364070538
model242-0.1,50,50,5,relu,0.1,0.8076844000108384,129.705927364555,7.576361007960803,11.388851011605825,0.7834550631853993,130.65236008704827,7.598064930091834,11.430326333357604
model242-0.05,50,50,5,relu,0.05,0.8107618734819799,127.63034664964306,7.456906361297862,11.297360162871813,0.7839853892878114,130.33238790060443,7.556838490930475,11.416321119371355
model242-0.01,50,50,5,relu,0.01,0.8089250010755449,128.86921254996753,7.644884301187559,11.352057635070725,0.7783863025426904,133.7105961761851,7.722362773047861,11.563329804869579
model242-0.005,50,50,5,relu,0.005,0.8105689836763799,127.76043984601372,7.4329627131461375,11.303116377619657,0.7890874355460293,127.25406893958353,7.475997882101714,11.280694523812953
model246-1,50,50,6,relu,1.0,0.8064638621277841,130.5291107049291,7.439580850901909,11.42493372868872,0.7774923927972182,134.24993650742888,7.595357276106548,11.586627486349464
model246-0.75,50,50,6,relu,0.75,0.811199177616827,127.33540989800206,7.409335348453564,11.28429926481933,0.7827158508795264,131.09836373778413,7.518478096260025,11.449819375771137
model246-0.5,50,50,6,relu,0.5,0.8083862923693428,129.23254091397573,7.824853008917979,11.368049125244653,0.7710903657627233,138.1125987044858,7.97987832654153,11.752131666403582
