,AGU,ATM,LDO,LPIN,MIR,OBL,SFE,TLA,VAL,CEN_med,CEN_pred
133,-1.0,58.6,91.2,130.9,-1.0,47.7,-1.0,-1.0,30.5,93.69,51.030865
134,47.7,-1.0,-1.0,84.4,94.78,24.1,58.398,44.4,20.4,30.92,38.929283
135,48.9,38.6,-1.0,50.1,49.81,26.1,93.309,-1.0,42.6,36.24,37.173016
136,-1.0,25.9,25.6,59.1,43.88,34.8,54.907,49.6,-1.0,25.1,42.31086
137,-1.0,-1.0,-1.0,35.9,-1.0,6.4,31.824,9.4,21.0,11.5,12.4185095
138,49.0,-1.0,-1.0,-1.0,83.1,33.7,92.295,23.12,-1.0,45.77,35.83039
139,-1.0,40.7,25.4,32.5,-1.0,-1.0,-1.0,19.34,-1.0,25.2,20.349815
140,-1.0,-1.0,-1.0,-1.0,41.6,-1.0,57.132,11.01,-1.0,19.01,28.211351
141,-1.0,-1.0,-1.0,-1.0,-1.0,19.4,-1.0,-1.0,25.7,15.5,24.315445
142,-1.0,25.7,-1.0,-1.0,29.7,-1.0,26.454,36.28,-1.0,16.83,23.179974
143,-1.0,27.0,157.1,41.6,-1.0,25.4,-1.0,-1.0,-1.0,24.65,29.289145
144,-1.0,55.2,60.2,73.1,100.76,35.4,198.75,43.5,-1.0,3.0,41.12082
145,22.7,-1.0,-1.0,37.1,58.52,43.1,64.419,-1.0,90.6,47.72,44.734882
146,-1.0,2.3,3.1,34.8,-1.0,11.3,-1.0,-1.0,36.6,22.72,15.962773
147,-1.0,30.3,44.2,40.6,-1.0,16.8,-1.0,80.48,18.8,16.32,23.749426
148,18.2,-1.0,-1.0,33.0,-1.0,22.2,54.485,31.2,45.6,26.6,26.393818
149,-1.0,-1.0,-1.0,39.0,17.99,21.2,55.398,35.7,38.3,26.6,31.526491
150,-1.0,22.4,15.6,11.6,-1.0,-1.0,-1.0,18.64,-1.0,16.21,14.843114
151,52.35,96.36,-1.0,-1.0,-1.0,65.88,70.18,39.35,68.32,74.88,71.20189
152,-1.0,27.3,35.2,70.2,-1.0,32.8,-1.0,52.53,64.1,41.31,46.88463
153,-1.0,1.5,53.1,45.1,-1.0,-1.0,-1.0,33.01,-1.0,10.43,25.41883
154,-1.0,12.3,60.3,72.3,-1.0,16.5,-1.0,47.3,37.3,27.23,31.473125
155,43.3,-1.0,-1.0,119.2,45.85,32.8,70.934,47.1,43.4,34.49,42.157227
156,8.93,42.72,19.23,-1.0,-1.0,42.23,33.53,28.07,32.83,41.57,39.5536
157,43.8,-1.0,-1.0,69.0,74.73,42.2,96.648,45.8,50.2,53.29,48.890766
158,-1.0,25.9,11.8,11.9,-1.0,-1.0,-1.0,-1.0,-1.0,13.92,12.9272995
159,88.48,65.21,46.58,-1.0,-1.0,90.37,51.02,58.75,64.56,59.04,84.6515
160,-1.0,-1.0,26.7,49.1,-1.0,-1.0,-1.0,26.09,-1.0,15.84,24.641628
161,-1.0,0.4,11.0,4.5,-1.0,-1.0,-1.0,7.07,-1.0,4.52,6.5913215
162,-1.0,47.1,40.2,58.5,-1.0,-1.0,-1.0,-1.0,38.3,46.99,41.10666
163,-1.0,18.8,56.3,51.0,-1.0,33.0,-1.0,-1.0,36.3,30.34,32.603798
164,-1.0,14.8,23.2,19.6,-1.0,19.7,-1.0,10.85,14.9,22.78,16.979454
165,-1.0,83.3,89.0,289.1,-1.0,83.4,-1.0,146.3,66.6,94.44,105.796745
166,-1.0,-1.0,-1.0,67.9,27.02,32.7,79.46,25.2,27.1,35.9,34.130985
167,-1.0,15.5,40.8,46.4,-1.0,-1.0,-1.0,43.28,-1.0,10.33,26.63976
168,27.61,19.18,22.16,-1.0,235.17,40.85,56.02,34.76,20.79,41.36,41.489826
169,-1.0,70.1,83.8,169.8,-1.0,62.9,-1.0,74.97,67.9,79.04,78.41914
170,-1.0,32.2,30.3,48.9,-1.0,30.5,64.321,56.2,35.6,31.5,39.797455
171,-1.0,34.0,53.8,80.5,43.69,34.9,76.993,42.5,-1.0,45.5,37.95224
172,-1.0,-1.0,15.1,34.8,24.62,18.0,70.203,27.8,22.3,12.9,22.912931
173,47.7,81.3,-1.0,196.1,187.48,78.1,-1.0,77.9,71.0,104.21,96.6399
174,67.59,83.56,63.9,-1.0,29.41,78.54,95.11,68.6,53.65,79.98,79.59722
175,-1.0,-1.0,-1.0,-1.0,-1.0,29.2,-1.0,-1.0,31.8,43.27,34.055817
176,13.58,17.83,46.23,-1.0,-1.0,21.23,72.55,21.08,15.05,16.38,21.384233
177,19.2,18.7,-1.0,-1.0,31.7,15.4,20.589,39.59,-1.0,25.81,20.334341
178,-1.0,14.6,30.3,52.4,-1.0,18.4,-1.0,-1.0,-1.0,39.05,16.13898
179,-1.0,18.9,10.6,21.4,-1.0,-1.0,-1.0,8.93,-1.0,17.43,12.950957
180,51.96,72.93,65.18,-1.0,-1.0,65.86,9.83,43.14,61.32,45.87,65.046005
181,25.3,39.8,-1.0,29.4,14.05,22.8,65.943,-1.0,35.1,29.08,27.758102
182,-1.0,23.7,73.3,46.3,-1.0,27.2,-1.0,45.5,31.5,32.16,32.38479
183,-1.0,-1.0,-1.0,49.0,10.58,15.6,36.17,41.4,28.2,30.0,23.587618
184,-1.0,-1.0,-1.0,41.0,56.51,33.7,58.833,40.2,32.3,38.0,38.86037
